episode,mask,o,c,e,a,n,norm
0,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,mask_work,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,mask_home,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,mask_conference,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_work,-0.00991,0.02248,-0.00619,-0.02900,0.01826,0.04262
1,mask_home,0.00330,0.01649,0.00702,-0.01377,0.01208,0.02583
1,mask_conference,-0.00023,0.01927,0.00178,-0.02189,0.01465,0.03269
2,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2,mask_work,-0.02156,0.04540,-0.01419,-0.05644,0.03622,0.08500
2,mask_home,0.01150,0.01827,0.02065,-0.01595,0.02397,0.04149
2,mask_conference,-0.00033,0.03724,0.00333,-0.04185,0.02809,0.06276
3,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
3,mask_work,-0.03075,0.06995,-0.01939,-0.07864,0.05152,0.12269
3,mask_home,0.02181,0.01727,0.03547,-0.01844,0.03383,0.05930
3,mask_conference,0.00612,0.05233,0.01182,-0.05556,0.03670,0.08572
4,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
4,mask_work,-0.03847,0.09453,-0.02311,-0.09744,0.06499,0.15706
4,mask_home,0.03175,0.01592,0.04963,-0.02036,0.04268,0.07721
4,mask_conference,0.01481,0.06299,0.02229,-0.06766,0.04319,0.10548
5,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
5,mask_work,-0.04519,0.11947,-0.02538,-0.11256,0.07644,0.18834
5,mask_home,0.04165,0.01390,0.06339,-0.02188,0.05042,0.09470
5,mask_conference,0.02489,0.07127,0.03522,-0.07716,0.04750,0.12308
6,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
6,mask_work,-0.04970,0.14456,-0.02562,-0.12351,0.08557,0.21587
6,mask_home,0.05288,0.01243,0.07853,-0.02246,0.05605,0.11298
6,mask_conference,0.03484,0.07911,0.04792,-0.08511,0.05100,0.14005
7,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7,mask_work,-0.05165,0.16950,-0.02406,-0.13073,0.09268,0.24012
7,mask_home,0.06474,0.01186,0.09413,-0.02305,0.06000,0.13162
7,mask_conference,0.04467,0.08704,0.05934,-0.09143,0.05444,0.15625
8,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
8,mask_work,-0.05240,0.19275,-0.02201,-0.13655,0.09882,0.26229
8,mask_home,0.07652,0.01190,0.10959,-0.02331,0.06295,0.15004
8,mask_conference,0.05503,0.09469,0.07059,-0.09597,0.05755,0.17175
9,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9,mask_work,-0.05207,0.21440,-0.01960,-0.14116,0.10411,0.28253
9,mask_home,0.08799,0.01216,0.12450,-0.02358,0.06516,0.16790
9,mask_conference,0.06580,0.10219,0.08219,-0.09857,0.06008,0.18669
10,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
10,mask_work,-0.05089,0.23465,-0.01670,-0.14460,0.10854,0.30103
10,mask_home,0.09882,0.01269,0.13852,-0.02386,0.06695,0.18484
10,mask_conference,0.07630,0.10959,0.09354,-0.10024,0.06231,0.20127
11,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
11,mask_work,-0.04908,0.25347,-0.01359,-0.14725,0.11235,0.31804
11,mask_home,0.10888,0.01330,0.15167,-0.02381,0.06853,0.20075
11,mask_conference,0.08646,0.11772,0.10421,-0.10115,0.06444,0.21581
12,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
12,mask_work,-0.04682,0.27094,-0.01036,-0.14927,0.11564,0.33371
12,mask_home,0.11833,0.01391,0.16395,-0.02379,0.06984,0.21568
12,mask_conference,0.09619,0.12624,0.11412,-0.10157,0.06647,0.23010
13,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
13,mask_work,-0.04432,0.28712,-0.00711,-0.15084,0.11850,0.34821
13,mask_home,0.12709,0.01449,0.17539,-0.02365,0.07100,0.22962
13,mask_conference,0.10507,0.13533,0.12300,-0.10155,0.06841,0.24388
14,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
14,mask_work,-0.04168,0.30210,-0.00390,-0.15203,0.12101,0.36162
14,mask_home,0.13529,0.01505,0.18609,-0.02345,0.07197,0.24267
