circumstance,style,early_pct,late_pct,shift
work,drop_everything,0.4769,0.4676,-0.0093
work,help_after_task,0.0509,0.0694,0.0185
work,pair_up,0.1111,0.0972,-0.0139
work,teach,0.0833,0.0833,0.0000
work,quick_tip,0.0880,0.1157,0.0278
work,delegate,0.0509,0.0417,-0.0093
work,joke_deflect,0.0417,0.0602,0.0185
work,polite_decline,0.0463,0.0324,-0.0139
work,ignore,0.0509,0.0324,-0.0185
home,drop_everything,0.4306,0.4213,-0.0093
home,help_after_task,0.0463,0.1204,0.0741
home,pair_up,0.1111,0.1065,-0.0046
home,teach,0.1343,0.0880,-0.0463
home,quick_tip,0.0648,0.1574,0.0926
home,delegate,0.0556,0.0370,-0.0185
home,joke_deflect,0.0972,0.0463,-0.0509
home,polite_decline,0.0417,0.0139,-0.0278
home,ignore,0.0185,0.0093,-0.0093
conference,drop_everything,0.4352,0.4352,0.0000
conference,help_after_task,0.0509,0.0602,0.0093
conference,pair_up,0.1111,0.0833,-0.0278
conference,teach,0.1019,0.1435,0.0417
conference,quick_tip,0.0556,0.0972,0.0417
conference,delegate,0.0833,0.0648,-0.0185
conference,joke_deflect,0.0926,0.0648,-0.0278
conference,polite_decline,0.0370,0.0278,-0.0093
conference,ignore,0.0324,0.0231,-0.0093
