episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
1,27,-42.1760,-1.5621,2.1972,2.1972,2.2810
2,27,-49.0820,-1.8179,2.5941,2.5941,2.3355
3,27,-31.6600,-1.1726,2.8745,2.7134,2.6529
4,27,-44.2200,-1.6378,2.9620,2.8844,2.6633
5,27,-32.4280,-1.2010,3.0245,3.0299,2.7449
6,27,-37.0560,-1.3724,3.0740,2.9898,2.7948
7,27,-19.7420,-0.7312,3.1054,2.9881,2.7256
8,27,-54.4600,-2.0170,3.0869,2.9621,2.7644
9,27,-34.6100,-1.2819,3.0754,3.0080,2.7347
10,27,-24.7720,-0.9175,3.0729,3.0154,2.7680
11,27,-41.5400,-1.5385,3.0433,3.0243,2.8761
12,27,-39.2860,-1.4550,3.0227,2.9951,2.8641
13,27,-34.8380,-1.2903,3.0596,2.9638,2.9007
14,27,-41.0780,-1.5214,3.0781,2.9786,2.9908
15,27,-44.8200,-1.6600,3.0624,2.9577,3.0202
16,27,-54.5260,-2.0195,3.0395,2.9987,3.0465
17,27,-30.6400,-1.1348,3.0199,3.0675,3.0802
18,27,-36.8580,-1.3651,2.9945,3.0445,3.1001
19,27,-46.2280,-1.7121,2.9920,3.1218,3.1208
20,27,-49.5920,-1.8367,2.9876,3.1226,3.1261
21,27,-44.3940,-1.6442,3.0011,3.1389,3.1030
22,27,-41.5460,-1.5387,2.9980,3.1505,3.1053
23,27,-24.5740,-0.9101,3.0161,3.0979,3.0653
24,27,-41.5760,-1.5399,3.0067,3.0541,3.0592
25,27,-44.1660,-1.6358,3.0416,3.0833,3.0923
26,27,-37.1340,-1.3753,3.0689,3.0693,3.1125
27,27,-46.6240,-1.7268,3.0709,3.0950,3.1036
28,27,-26.7260,-0.9899,3.1022,3.0574,3.1121
29,27,-36.6960,-1.3591,3.0930,3.0961,3.1217
30,27,-31.4260,-1.1639,3.1084,3.0873,3.1225
31,27,-39.5200,-1.4637,3.1141,3.0801,3.1031
32,27,-31.2160,-1.1561,3.0970,3.0764,3.0900
33,27,-32.0380,-1.1866,3.0765,3.0392,3.0762
34,27,-41.3780,-1.5325,3.0630,3.0517,3.0721
35,27,-42.0320,-1.5567,3.0761,3.0557,3.1039
36,27,-36.8280,-1.3640,3.0901,3.0156,3.0659
37,27,-44.3580,-1.6429,3.0796,3.0439,3.0730
38,27,-26.9720,-0.9990,3.0673,3.0525,3.0585
39,27,-46.9240,-1.7379,3.0502,3.0569,3.0528
40,27,-32.6080,-1.2077,3.0478,3.0538,3.0210
41,27,-18.7640,-0.6950,3.0222,3.0467,3.0213
42,27,-28.6980,-1.0629,3.0192,3.0358,3.0257
43,27,-56.4260,-2.0899,3.0246,3.0607,3.0407
44,27,-29.6580,-1.0984,3.0131,3.0475,3.0488
45,27,-32.0620,-1.1875,3.0498,3.0176,3.0549
46,27,-33.7340,-1.2494,3.0725,3.0227,3.0874
47,27,-37.2480,-1.3796,3.0585,3.0001,3.0867
48,27,-33.8720,-1.2545,3.0519,3.0270,3.0901
49,27,-41.4800,-1.5363,3.0607,3.0194,3.1015
50,27,-24.7420,-0.9164,3.0352,3.0298,3.0922
51,27,-41.6480,-1.5425,2.9939,3.0624,3.0632
52,27,-36.4440,-1.3498,2.9999,3.0354,3.0679
53,27,-48.9020,-1.8112,3.0055,3.0408,3.0645
54,27,-44.2380,-1.6384,2.9766,3.0483,3.0799
55,27,-36.2220,-1.3416,2.9761,3.0266,3.1081
56,27,-42.2120,-1.5634,2.9356,3.0315,3.0914
57,27,-44.5740,-1.6509,2.9084,3.0713,3.1036
58,27,-41.4620,-1.5356,2.9546,3.0699,3.0974
59,27,-32.1940,-1.1924,2.9364,3.0224,3.0634
60,27,-28.7580,-1.0651,3.0350,2.9881,3.0637
61,27,-32.4760,-1.2028,3.0102,2.9576,3.0451
62,27,-36.0180,-1.3340,3.0358,2.9651,3.0824
63,27,-39.2080,-1.4521,3.0159,2.9812,3.1183
64,27,-52.0080,-1.9262,3.0336,3.0026,3.0864
65,27,-48.7880,-1.8070,3.0595,3.0785,3.1051
66,27,-32.0020,-1.1853,3.0708,3.0799,3.0986
67,27,-46.6900,-1.7293,3.1063,3.0874,3.0862
68,27,-17.4940,-0.6479,3.1072,3.0666,3.0607
69,27,-24.3700,-0.9026,3.1074,3.0859,3.0861
70,27,-34.4300,-1.2752,3.0691,3.0888,3.0889
71,27,-49.2620,-1.8245,3.0465,3.0968,3.0905
72,27,-28.7880,-1.0662,3.0501,3.0923,3.1080
73,27,-21.8640,-0.8098,3.0718,3.0840,3.0666
74,27,-26.7260,-0.9899,3.0507,3.0674,3.0752
75,27,-31.5940,-1.1701,3.0294,3.0204,3.1128
76,27,-31.7080,-1.1744,3.0341,3.0106,3.1116
77,27,-28.7760,-1.0658,3.0388,3.0085,3.0805
78,27,-41.2040,-1.5261,3.0803,3.0129,3.0954
79,27,-42.0920,-1.5590,3.0830,3.0384,3.0873
80,27,-33.7280,-1.2492,3.0831,3.0202,3.0500
81,27,-29.4000,-1.0889,3.0821,3.0247,3.0590
82,27,-48.4940,-1.7961,3.0652,3.0233,3.0566
83,27,-46.4920,-1.7219,3.0874,3.0069,3.0630
84,27,-33.7940,-1.2516,3.0831,3.0298,3.0624
85,27,-16.8280,-0.6233,3.0946,3.0471,3.0677
86,27,-29.7960,-1.1036,3.0805,3.0060,3.0872
87,27,-32.1640,-1.1913,3.0622,3.0571,3.0497
88,27,-33.7400,-1.2496,3.0676,3.1001,3.0421
89,27,-56.2100,-2.0819,3.0944,3.0892,3.0217
90,27,-44.4960,-1.6480,3.0949,3.0786,3.0080
91,27,-49.7600,-1.8430,3.0645,3.0681,2.9970
92,27,-34.0220,-1.2601,3.0592,3.0757,3.0351
93,27,-39.8800,-1.4770,3.0611,3.0864,3.0265
94,27,-41.5220,-1.5379,3.0350,3.0880,3.0484
95,27,-41.5400,-1.5385,3.0293,3.0967,3.0805
96,27,-27.2240,-1.0083,3.0352,3.0986,3.0766
97,27,-38.8900,-1.4404,3.0076,3.0866,3.0615
98,27,-21.9720,-0.8138,2.9880,3.0620,3.0593
99,27,-28.8840,-1.0698,3.0017,3.0729,3.0629
100,27,-48.8000,-1.8074,2.9856,3.0832,3.0399
101,27,-15.0780,-0.5584,2.9801,3.0912,2.9896
102,27,-39.4300,-1.4604,2.9284,3.0503,2.9627
103,27,-26.8760,-0.9954,2.9129,3.0786,2.9600
104,27,-41.6960,-1.5443,3.0121,3.1027,2.9206
105,27,-26.5280,-0.9825,3.0249,3.0903,2.9615
106,27,-26.0240,-0.9639,3.0360,3.0814,3.0106
107,27,-49.4900,-1.8330,2.9960,3.1091,3.0319
108,27,-42.3080,-1.5670,3.0324,3.1266,3.0294
109,27,-49.3580,-1.8281,3.0089,3.1266,3.0542
110,27,-41.3540,-1.5316,2.9543,3.1348,3.0787
111,27,-39.1720,-1.4508,2.9907,3.1067,3.0693
112,27,-32.6560,-1.2095,2.9459,3.0926,3.0976
113,27,-47.2000,-1.7481,3.0195,3.0939,3.0647
114,27,-44.0760,-1.6324,3.0062,3.0547,3.0590
115,27,-51.1560,-1.8947,2.9966,3.0669,2.9960
116,27,-29.4840,-1.0920,2.9780,3.0806,3.0468
117,27,-31.7140,-1.1746,3.0070,3.0596,3.0767
118,27,-46.3300,-1.7159,3.0484,3.0448,3.0677
119,27,-31.1860,-1.1550,3.0718,3.0521,3.0408
120,27,-37.0380,-1.3718,3.0586,3.0573,3.0665
