episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
1,27,-37.5600,-1.3911,1.7527,0.7642,1.8366
2,27,-36.4400,-1.3496,1.7527,1.7108,1.8016
3,27,-39.7480,-1.4721,2.0665,1.8164,1.9871
4,27,-27.8540,-1.0316,2.2225,1.8400,2.1979
5,27,-30.2640,-1.1209,2.3071,1.9561,2.1934
6,27,-33.0820,-1.2253,2.2583,2.0378,2.2278
7,27,-22.8720,-0.8471,2.3234,2.1434,2.2925
8,27,-30.6720,-1.1360,2.3730,2.1606,2.3212
9,27,-25.4440,-0.9424,2.3935,2.2056,2.3520
10,27,-53.1660,-1.9691,2.3836,2.2926,2.3835
11,27,-0.8460,-0.0313,2.4376,2.2709,2.3911
12,27,-35.0900,-1.2996,2.4594,2.3960,2.4536
13,27,-0.5400,-0.0200,2.3983,2.4249,2.4365
14,27,-11.9540,-0.4427,2.3889,2.4451,2.4823
15,27,-2.3920,-0.0886,2.4422,2.4488,2.5148
16,27,-12.4880,-0.4625,2.3628,2.4714,2.5189
17,27,-26.7440,-0.9905,2.3411,2.4720,2.5789
18,27,-25.8400,-0.9570,2.2987,2.4820,2.5523
19,27,-24.7960,-0.9184,2.2692,2.4471,2.6103
20,27,-5.2760,-0.1954,2.1831,2.4075,2.5544
21,27,-24.7600,-0.9170,2.0979,2.4777,2.6207
22,27,-17.2300,-0.6381,2.0155,2.4455,2.5796
23,27,-19.4660,-0.7210,2.1220,2.4071,2.6115
24,27,-9.9460,-0.3684,2.0973,2.4106,2.5362
25,27,-10.1860,-0.3773,2.0841,2.4496,2.5238
26,27,-16.8100,-0.6226,2.1817,2.4734,2.5712
27,27,-17.2480,-0.6388,2.1848,2.4699,2.4739
28,27,-4.5080,-0.1670,2.2294,2.4901,2.5193
29,27,-19.4300,-0.7196,2.2274,2.4960,2.5167
30,27,-16.9300,-0.6270,2.2884,2.5262,2.5539
31,27,-27.8780,-1.0325,2.2603,2.5031,2.5196
32,27,-24.3520,-0.9019,2.2976,2.4744,2.5585
33,27,-36.7500,-1.3611,2.2792,2.5603,2.5572
34,27,-17.0620,-0.6319,2.3307,2.5146,2.6184
35,27,-25.1800,-0.9326,2.3607,2.5020,2.6429
36,27,-9.5200,-0.3526,2.3350,2.5397,2.6129
37,27,-27.0560,-1.0021,2.3487,2.5123,2.6344
38,27,-9.1240,-0.3379,2.3530,2.4743,2.5658
39,27,-22.0620,-0.8171,2.3829,2.5093,2.5838
40,27,-24.8140,-0.9190,2.3541,2.5059,2.5098
41,27,-30.1740,-1.1176,2.4076,2.5800,2.5441
42,27,-26.5100,-0.9819,2.4072,2.6254,2.5751
43,27,-23.7400,-0.8793,2.4055,2.6091,2.6242
44,27,-11.7740,-0.4361,2.4022,2.6126,2.6115
45,27,-19.4480,-0.7203,2.4354,2.5944,2.5784
46,27,-26.7980,-0.9925,2.4595,2.5983,2.6343
47,27,-12.2720,-0.4545,2.4227,2.6518,2.6596
48,27,-19.6400,-0.7274,2.3976,2.6683,2.6694
49,27,-27.2300,-1.0085,2.3811,2.6622,2.6652
50,27,-24.2920,-0.8997,2.3950,2.6250,2.6629
51,27,-29.9340,-1.1087,2.3853,2.5726,2.6149
52,27,-22.7340,-0.8420,2.3802,2.5372,2.6149
53,27,-25.1740,-0.9324,2.3812,2.5732,2.6602
54,27,-15.0600,-0.5578,2.3307,2.6078,2.6385
55,27,-4.6280,-0.1714,2.3032,2.5420,2.6718
56,27,-16.2340,-0.6013,2.3054,2.5334,2.6136
57,27,-9.5200,-0.3526,2.3447,2.4484,2.5899
58,27,-27.4220,-1.0156,2.3539,2.4669,2.5803
59,27,-27.3020,-1.0112,2.3343,2.4331,2.4915
60,27,-29.7420,-1.1016,2.3382,2.4687,2.4940
61,27,-9.1780,-0.3399,2.3219,2.4829,2.5378
62,27,-15.2160,-0.5636,2.2924,2.4677,2.5500
63,27,-15.6540,-0.5798,2.3025,2.4258,2.4136
64,27,-22.5720,-0.8360,2.3329,2.4303,2.4394
65,27,-21.9780,-0.8140,2.3500,2.4367,2.4258
66,27,-7.5960,-0.2813,2.2656,2.4345,2.4264
67,27,-27.2780,-1.0103,2.2326,2.4553,2.4349
68,27,-13.3760,-0.4954,2.2248,2.4232,2.3831
69,27,-9.9220,-0.3675,2.2132,2.4824,2.4359
70,27,-10.0120,-0.3708,2.2583,2.4426,2.4126
71,27,-19.8500,-0.7352,2.2540,2.4332,2.3265
72,27,-19.8200,-0.7341,2.2783,2.4073,2.2792
73,27,-19.5980,-0.7259,2.2795,2.4600,2.3627
74,27,-16.4980,-0.6110,2.2641,2.4502,2.3981
75,27,-22.4820,-0.8327,2.2681,2.4785,2.3379
76,27,-19.8320,-0.7345,2.2681,2.5351,2.3585
77,27,-17.1100,-0.6337,2.2480,2.5490,2.3857
78,27,-12.2600,-0.4541,2.3055,2.5128,2.4743
79,27,-17.2180,-0.6377,2.3023,2.4521,2.4784
80,27,0.7560,0.0280,2.3252,2.4283,2.5285
81,27,-12.0860,-0.4476,2.3366,2.4443,2.5767
82,27,-28.9860,-1.0736,2.3384,2.5075,2.6104
83,27,-9.3340,-0.3457,2.3649,2.4714,2.5813
84,27,-12.9440,-0.4794,2.3418,2.4957,2.5366
85,27,-17.4820,-0.6475,2.3476,2.5606,2.5338
86,27,-23.9260,-0.8861,2.3677,2.5438,2.5004
87,27,-34.7180,-1.2859,2.3754,2.5062,2.4876
88,27,-16.9900,-0.6293,2.3896,2.4957,2.4419
89,27,-17.1700,-0.6359,2.4050,2.5417,2.4230
90,27,-17.6800,-0.6548,2.3847,2.5696,2.4167
91,27,-15.6180,-0.5784,2.3523,2.5391,2.3385
92,27,-20.2340,-0.7494,2.3159,2.5161,2.2847
93,27,-25.0960,-0.9295,2.3227,2.4947,2.2995
94,27,-5.5220,-0.2045,2.3391,2.4686,2.1865
95,27,-25.2460,-0.9350,2.3499,2.4229,2.2290
96,27,-22.2660,-0.8247,2.3614,2.3552,2.2115
97,27,-24.6040,-0.9113,2.3896,2.3595,2.2319
98,27,7.6560,0.2836,2.3885,2.3414,2.1741
99,27,-29.9340,-1.1087,2.3784,2.3356,2.2485
100,27,-21.9660,-0.8136,2.3822,2.3723,2.2710
101,27,-7.0080,-0.2596,2.3748,2.4151,2.3253
102,27,-12.0380,-0.4459,2.4316,2.4050,2.3400
103,27,-4.4960,-0.1665,2.4167,2.3763,2.3605
104,27,-16.9000,-0.6259,2.4105,2.3749,2.4619
105,27,-14.4780,-0.5362,2.4366,2.3305,2.4417
106,27,-37.3500,-1.3833,2.4358,2.3143,2.5042
107,27,-7.2780,-0.2696,2.4004,2.3050,2.5144
108,27,-24.0280,-0.8899,2.4361,2.3354,2.5573
109,27,-15.1680,-0.5618,2.4272,2.2103,2.5159
110,27,-12.2300,-0.4530,2.3726,2.2645,2.5324
111,27,-22.4700,-0.8322,2.3775,2.3496,2.5601
112,27,-14.8140,-0.5487,2.3646,2.4177,2.5171
113,27,-17.5180,-0.6488,2.3480,2.4262,2.5235
114,27,-23.1180,-0.8562,2.3135,2.4805,2.5023
115,27,-24.4180,-0.9044,2.3093,2.5256,2.5546
116,27,-22.7880,-0.8440,2.2935,2.4925,2.5546
117,27,-0.0360,-0.0013,2.2792,2.5340,2.5028
118,27,-25.3900,-0.9404,2.2117,2.4951,2.4816
119,27,-9.5620,-0.3541,2.1887,2.5318,2.4947
120,27,-30.3360,-1.1236,2.1424,2.5543,2.4585
