circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.1000,0.0000,0.1000
default,mask_default,c,-0.3000,0.0000,0.0000
default,mask_default,e,0.0000,0.0000,0.0000
default,mask_default,a,0.5000,0.0000,0.5000
default,mask_default,n,-0.4000,0.0000,0.0000
work,mask_work,o,0.1000,0.0389,0.1389
work,mask_work,c,-0.3000,0.6701,0.3701
work,mask_work,e,0.0000,-0.0127,0.0000
work,mask_work,a,0.5000,-0.4516,0.0484
work,mask_work,n,-0.4000,0.3734,0.0000
home,mask_home,o,0.1000,0.1116,0.2116
home,mask_home,c,-0.3000,0.3103,0.0103
home,mask_home,e,0.0000,0.2306,0.2306
home,mask_home,a,0.5000,-0.3410,0.1590
home,mask_home,n,-0.4000,0.3379,0.0000
conference,mask_conference,o,0.1000,0.2172,0.3172
conference,mask_conference,c,-0.3000,0.6507,0.3507
conference,mask_conference,e,0.0000,0.1445,0.1445
conference,mask_conference,a,0.5000,-0.2707,0.2293
conference,mask_conference,n,-0.4000,0.3209,0.0000
