partner,style,share
carol,drop_everything,0.0806
carol,help_after_task,0.1481
carol,pair_up,0.2380
carol,teach,0.2574
carol,quick_tip,0.0796
carol,delegate,0.0630
carol,joke_deflect,0.1093
carol,polite_decline,0.0241
carol,ignore,0.0000
dave,drop_everything,0.0704
dave,help_after_task,0.1583
dave,pair_up,0.2556
dave,teach,0.2481
dave,quick_tip,0.0787
dave,delegate,0.0546
dave,joke_deflect,0.1157
dave,polite_decline,0.0185
dave,ignore,0.0000
bob,drop_everything,0.0926
bob,help_after_task,0.1444
bob,pair_up,0.2269
bob,teach,0.2519
bob,quick_tip,0.0907
bob,delegate,0.0593
bob,joke_deflect,0.1083
bob,polite_decline,0.0259
bob,ignore,0.0000
