episode,total_reward,mask_default,mask_work,mask_home,mask_concert
1,11.2000,0.001019,0.000485,0.002057,0.002354
2,11.1000,0.002241,0.001483,0.004428,0.004140
3,14.7000,0.003646,0.002573,0.006306,0.004740
4,11.8000,0.004975,0.003641,0.008034,0.006364
5,16.6000,0.005585,0.004512,0.009545,0.007965
6,14.3000,0.006419,0.005555,0.011452,0.008990
7,14.2000,0.007322,0.006815,0.013451,0.010160
8,11.6000,0.007895,0.008460,0.014962,0.012914
9,13.1000,0.008784,0.009990,0.017373,0.014488
10,12.1000,0.009575,0.011567,0.019954,0.016976
11,16.3000,0.010661,0.013300,0.020949,0.018632
12,10.9000,0.011349,0.014619,0.022921,0.020250
13,15.6000,0.012032,0.016086,0.023496,0.023034
14,13.9000,0.012884,0.017531,0.025158,0.024800
15,10.1000,0.013891,0.019233,0.026608,0.026729
16,15.6000,0.014713,0.020361,0.027495,0.028369
17,15.0000,0.015354,0.022220,0.029023,0.029696
18,13.7000,0.016036,0.023329,0.029874,0.031734
19,11.6000,0.016827,0.024918,0.030873,0.034635
20,13.8000,0.017524,0.026416,0.032404,0.036384
21,13.6000,0.018538,0.027697,0.033744,0.038323
22,13.7000,0.019339,0.028993,0.034693,0.040936
23,14.4000,0.019957,0.030300,0.035858,0.042366
24,16.4000,0.020783,0.031936,0.037156,0.044031
25,13.2000,0.021200,0.033435,0.038440,0.046346
26,15.7000,0.021906,0.035114,0.039881,0.047116
27,10.1000,0.022399,0.036668,0.041833,0.050372
28,14.3000,0.022946,0.037803,0.043376,0.052447
29,15.1000,0.023755,0.039189,0.044292,0.054516
30,15.0000,0.024493,0.041150,0.045831,0.055826
31,15.5000,0.025395,0.042707,0.046755,0.058246
32,16.7000,0.026128,0.044489,0.047288,0.060441
33,11.5000,0.026584,0.046098,0.050192,0.062498
34,12.2000,0.027239,0.047452,0.051431,0.065274
35,13.3000,0.028392,0.048569,0.051619,0.066212
36,15.0000,0.029081,0.049923,0.053746,0.067364
37,14.5000,0.029548,0.051253,0.055223,0.069665
38,14.6000,0.030470,0.052997,0.056153,0.071557
39,14.6000,0.031379,0.054350,0.057321,0.073240
40,14.2000,0.032278,0.055557,0.058829,0.075464
41,14.0000,0.033263,0.057535,0.059949,0.077163
42,15.4000,0.034006,0.059273,0.061542,0.078449
43,14.2000,0.034579,0.060456,0.062444,0.080882
44,10.8000,0.035529,0.061786,0.064937,0.082564
45,11.6000,0.036148,0.063303,0.066506,0.084142
46,15.3000,0.036775,0.064455,0.067932,0.084461
47,17.8000,0.037247,0.065831,0.069156,0.085400
48,12.9000,0.038221,0.067360,0.069954,0.086968
49,16.9000,0.038741,0.068904,0.071794,0.087398
50,14.6000,0.038976,0.070352,0.072963,0.089176
