seed,circumstance,outcome,authenticity,cost,pct_accepted,pct_rejected,mask_norm,mask_o,mask_c,mask_e,mask_a,mask_n
1,work,-0.6412,-0.1043,-0.1624,0.1731,0.4296,0.8466,-0.3817,0.0228,-0.4529,-0.5,-0.3396
1,home,-0.463,-0.1046,-0.1743,0.1944,0.3796,0.8155,-0.3272,-0.3284,-0.2482,-0.5,-0.3723
1,conference,-0.2731,-0.1064,-0.1606,0.2472,0.3565,0.6529,-0.1313,0.0234,-0.2167,-0.3892,-0.4583
2,work,-0.7245,-0.1069,-0.1578,0.1574,0.4472,0.8724,-0.3906,0.044,-0.5,-0.5,-0.3265
2,home,-0.5046,-0.105,-0.1724,0.1769,0.3787,0.8241,-0.346,-0.3203,-0.2761,-0.5,-0.3613
2,conference,-0.3634,-0.1054,-0.1589,0.2324,0.3778,0.6947,-0.1163,-0.069,-0.2307,-0.4604,-0.4462
3,work,-0.7384,-0.1056,-0.1596,0.1528,0.4481,0.8568,-0.3736,0.0124,-0.481,-0.5,-0.3361
3,home,-0.5486,-0.1033,-0.1731,0.1824,0.4019,0.8264,-0.3683,-0.2996,-0.2942,-0.5,-0.3479
3,conference,-0.2824,-0.103,-0.1634,0.2463,0.3593,0.6972,-0.1962,0.003,-0.274,-0.4517,-0.4105
4,work,-0.7292,-0.1074,-0.1571,0.1537,0.4454,0.8877,-0.4198,0.0742,-0.5,-0.5,-0.3261
4,home,-0.4838,-0.1047,-0.171,0.188,0.3815,0.8291,-0.3479,-0.3271,-0.2836,-0.5,-0.3592
4,conference,-0.3866,-0.1045,-0.1646,0.2269,0.3815,0.7234,-0.1802,-0.0277,-0.2716,-0.4686,-0.4436
5,work,-0.7639,-0.1049,-0.1662,0.1657,0.4713,0.8701,-0.3874,0.0126,-0.489,-0.5,-0.3431
5,home,-0.5648,-0.104,-0.1746,0.1815,0.4074,0.844,-0.3721,-0.3464,-0.2969,-0.5,-0.3402
5,conference,-0.2917,-0.1038,-0.1653,0.2546,0.3713,0.7354,-0.2074,-0.0441,-0.2946,-0.4967,-0.4029
6,work,-0.7083,-0.1053,-0.1595,0.175,0.4583,0.875,-0.3886,0.0312,-0.5,-0.5,-0.3371
6,home,-0.4653,-0.1036,-0.1741,0.1898,0.3759,0.8125,-0.3106,-0.3263,-0.2446,-0.5,-0.384
6,conference,-0.2685,-0.1042,-0.1636,0.2454,0.3528,0.6922,-0.2171,0.0424,-0.2656,-0.4185,-0.4296
7,work,-0.6042,-0.1056,-0.1568,0.1861,0.4278,0.8599,-0.3643,0.0662,-0.4792,-0.5,-0.3502
7,home,-0.4028,-0.1039,-0.1644,0.1991,0.3602,0.8141,-0.2975,-0.3618,-0.2133,-0.5,-0.3845
7,conference,-0.3519,-0.1064,-0.1581,0.2241,0.3648,0.6825,-0.129,-0.0594,-0.2226,-0.4473,-0.4427
8,work,-0.6551,-0.1035,-0.163,0.1824,0.4444,0.8449,-0.3508,0.0328,-0.4804,-0.5,-0.33
8,home,-0.5046,-0.1027,-0.1773,0.1954,0.3972,0.8437,-0.3371,-0.3651,-0.283,-0.5,-0.3672
8,conference,-0.3611,-0.104,-0.1653,0.2287,0.3731,0.6971,-0.2127,0.0187,-0.2703,-0.4377,-0.4192
