partner,style,share
carol,drop_everything,0.1528
carol,help_after_task,0.0954
carol,pair_up,0.2019
carol,teach,0.2037
carol,quick_tip,0.2093
carol,delegate,0.0435
carol,joke_deflect,0.0935
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1583
dave,help_after_task,0.1194
dave,pair_up,0.2093
dave,teach,0.1870
dave,quick_tip,0.2074
dave,delegate,0.0500
dave,joke_deflect,0.0685
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1574
bob,help_after_task,0.1028
bob,pair_up,0.2000
bob,teach,0.1926
bob,quick_tip,0.2046
bob,delegate,0.0444
bob,joke_deflect,0.0981
bob,polite_decline,0.0000
bob,ignore,0.0000
