episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
1,27,-31.8970,-1.1814,1.4355,2.0588,1.8911
2,27,-36.8250,-1.3639,1.9888,2.3774,2.1893
3,27,-27.2510,-1.0093,2.1225,2.6206,2.2992
4,27,-9.4210,-0.3489,2.1633,2.6552,2.4389
5,27,-34.9610,-1.2949,2.2639,2.6857,2.4330
6,27,-44.7870,-1.6588,2.4232,2.6934,2.4511
7,27,-26.6990,-0.9889,2.4494,2.7166,2.4851
8,27,-24.1570,-0.8947,2.4941,2.7185,2.4482
9,27,-27.1910,-1.0071,2.4999,2.6887,2.5010
10,27,-26.9750,-0.9991,2.5417,2.6912,2.4823
11,27,-37.0530,-1.3723,2.5680,2.6847,2.5140
12,27,-31.2910,-1.1589,2.6277,2.6858,2.5312
13,27,-26.8310,-0.9937,2.6387,2.7075,2.5472
14,27,-39.5350,-1.4643,2.5986,2.7224,2.5467
15,27,-24.6790,-0.9140,2.6307,2.6850,2.5356
16,27,-19.1990,-0.7111,2.6027,2.6982,2.5761
17,27,-36.5670,-1.3543,2.5934,2.6920,2.6165
18,27,-22.6230,-0.8379,2.6067,2.7044,2.6468
19,27,-31.7290,-1.1751,2.6489,2.7100,2.6166
20,27,-36.9810,-1.3697,2.6634,2.7166,2.6027
21,27,-29.7690,-1.1026,2.6861,2.7067,2.5843
22,27,-21.8250,-0.8083,2.6695,2.6766,2.5783
23,27,-34.5230,-1.2786,2.6409,2.7142,2.5614
24,27,-29.2050,-1.0817,2.6324,2.7168,2.6035
25,27,-14.2830,-0.5290,2.6799,2.7265,2.6202
26,27,-24.8050,-0.9187,2.6610,2.7128,2.5649
27,27,-21.1650,-0.7839,2.6505,2.7299,2.5374
28,27,-39.9490,-1.4796,2.5976,2.7261,2.5444
29,27,-24.7810,-0.9178,2.5136,2.7454,2.6236
30,27,-9.4750,-0.3509,2.5721,2.7132,2.6243
31,27,-17.2690,-0.6396,2.5600,2.6979,2.6411
32,27,-34.3550,-1.2724,2.5302,2.7108,2.6460
33,27,-39.3790,-1.4585,2.5607,2.6483,2.6450
34,27,-14.6970,-0.5443,2.6001,2.6119,2.6253
35,27,-34.8290,-1.2900,2.6148,2.5363,2.6561
36,27,-16.8790,-0.6251,2.6384,2.5170,2.6523
37,27,-36.8190,-1.3637,2.6259,2.5126,2.7089
38,27,-12.7550,-0.4724,2.6331,2.4755,2.7262
39,27,-31.9390,-1.1829,2.6057,2.5013,2.6871
40,27,-27.2090,-1.0077,2.6157,2.4672,2.7212
41,27,-38.2350,-1.4161,2.6344,2.4758,2.7045
42,27,-32.2630,-1.1949,2.6414,2.4224,2.6974
43,27,-27.4550,-1.0169,2.6586,2.4140,2.7030
44,27,-27.1790,-1.0066,2.6703,2.4379,2.6964
45,27,-29.5710,-1.0952,2.6173,2.4851,2.6685
46,27,-15.1590,-0.5614,2.6199,2.5037,2.6521
47,27,-32.9650,-1.2209,2.6061,2.4247,2.5662
48,27,-37.0950,-1.3739,2.6009,2.5033,2.5268
49,27,-17.1910,-0.6367,2.6182,2.4384,2.5417
50,27,-47.3110,-1.7523,2.6290,2.5075,2.4932
51,27,-22.0230,-0.8157,2.6049,2.5190,2.5112
52,27,-21.9090,-0.8114,2.5807,2.4893,2.5289
53,27,-29.5290,-1.0937,2.6153,2.5268,2.5319
54,27,-29.3910,-1.0886,2.5903,2.5443,2.5453
55,27,-36.6390,-1.3570,2.6071,2.5322,2.6232
56,27,-35.7110,-1.3226,2.5960,2.5166,2.6219
57,27,-34.0370,-1.2606,2.5673,2.5447,2.6387
58,27,-19.8590,-0.7355,2.6023,2.5355,2.6217
59,27,-39.0970,-1.4480,2.6408,2.5939,2.6221
60,27,-34.6970,-1.2851,2.6670,2.5783,2.6145
61,27,-47.7730,-1.7694,2.6895,2.5600,2.6436
62,27,-39.6490,-1.4685,2.6926,2.5510,2.6781
63,27,-27.4730,-1.0175,2.6364,2.5333,2.6632
64,27,-14.6610,-0.5430,2.6583,2.5474,2.6652
65,27,-19.4630,-0.7209,2.6394,2.5464,2.6269
66,27,-31.7830,-1.1771,2.6315,2.5484,2.6436
67,27,-25.1650,-0.9320,2.6526,2.5291,2.6269
68,27,-34.9190,-1.2933,2.6078,2.5195,2.6418
69,27,-52.0590,-1.9281,2.5747,2.5020,2.6399
70,27,-31.6930,-1.1738,2.5416,2.4557,2.6154
71,27,-36.8010,-1.3630,2.5465,2.5041,2.6427
72,27,-34.2890,-1.2700,2.5722,2.5589,2.6141
73,27,-26.6030,-0.9853,2.5606,2.5580,2.6196
74,27,-47.6170,-1.7636,2.5742,2.6288,2.6480
75,27,-24.7450,-0.9165,2.5779,2.6409,2.6718
76,27,-27.1970,-1.0073,2.5851,2.6476,2.6456
77,27,-31.9570,-1.1836,2.5915,2.6876,2.6304
78,27,-23.9890,-0.8885,2.6088,2.7133,2.5827
79,27,-18.8870,-0.6995,2.5746,2.6872,2.5028
80,27,-38.0310,-1.4086,2.5429,2.6930,2.5490
81,27,-34.8530,-1.2909,2.5493,2.7108,2.5342
82,27,-14.1450,-0.5239,2.5447,2.7093,2.5041
83,27,-31.4830,-1.1660,2.5864,2.6871,2.5206
84,27,-39.9370,-1.4791,2.6422,2.6651,2.4786
85,27,-26.4770,-0.9806,2.6641,2.6509,2.5118
86,27,-31.9330,-1.1827,2.6498,2.6301,2.5268
87,27,-34.7810,-1.2882,2.6540,2.6314,2.5500
88,27,-20.2010,-0.7482,2.6385,2.6115,2.6094
89,27,-37.2630,-1.3801,2.6096,2.6184,2.6362
90,27,-26.6750,-0.9880,2.6209,2.6312,2.6177
91,27,-32.5570,-1.2058,2.5883,2.5881,2.6587
92,27,-25.2730,-0.9360,2.6233,2.5749,2.6542
93,27,-29.2890,-1.0848,2.6088,2.6154,2.6841
94,27,-36.5670,-1.3543,2.5735,2.6297,2.6987
95,27,-42.0230,-1.5564,2.6356,2.6494,2.6472
96,27,-39.0910,-1.4478,2.5841,2.6423,2.6469
97,27,-19.3910,-0.7182,2.6068,2.6270,2.6368
98,27,-46.8070,-1.7336,2.6479,2.6420,2.5855
99,27,-29.1090,-1.0781,2.6656,2.6147,2.5298
100,27,-16.9810,-0.6289,2.6838,2.5901,2.4940
101,27,-33.9950,-1.2591,2.6905,2.5667,2.4117
102,27,-35.1350,-1.3013,2.6709,2.5805,2.3791
103,27,-34.2170,-1.2673,2.6757,2.6321,2.4094
104,27,-30.0210,-1.1119,2.6495,2.5903,2.4701
105,27,-29.4570,-1.0910,2.6098,2.5586,2.5113
106,27,-31.8610,-1.1800,2.6360,2.6120,2.5697
107,27,-26.8610,-0.9949,2.5709,2.6660,2.5835
108,27,-39.4630,-1.4616,2.5364,2.6326,2.6214
109,27,-37.3590,-1.3837,2.4971,2.6735,2.6344
110,27,-35.9810,-1.3326,2.5028,2.6877,2.6237
111,27,-44.9670,-1.6654,2.5559,2.6644,2.6306
112,27,-52.5870,-1.9477,2.5738,2.6321,2.6321
113,27,-27.0470,-1.0017,2.5822,2.6207,2.6200
114,27,-27.3830,-1.0142,2.6038,2.6148,2.6271
115,27,-29.8770,-1.1066,2.6601,2.6356,2.6288
116,27,-15.0870,-0.5588,2.6571,2.5640,2.5977
117,27,-15.8310,-0.5863,2.6541,2.5458,2.5746
118,27,-47.1910,-1.7478,2.7078,2.5427,2.5547
119,27,-31.1230,-1.1527,2.7296,2.5663,2.5625
120,27,-24.2170,-0.8969,2.7280,2.5603,2.6205
