episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
1,27,-26.8430,-0.9942,1.8366,2.5033,2.0588
2,27,-14.2890,-0.5292,2.4411,2.4411,2.4411
3,27,-37.1190,-1.3748,2.3892,2.5690,2.5745
4,27,-17.2990,-0.6407,2.4214,2.6765,2.6151
5,27,-30.4170,-1.1266,2.5265,2.6791,2.6073
6,27,-15.1050,-0.5594,2.4564,2.6748,2.6482
7,27,-53.5710,-1.9841,2.4297,2.6485,2.6207
8,27,-32.1430,-1.1905,2.4366,2.6182,2.6215
9,27,-24.9730,-0.9249,2.5100,2.6114,2.6251
10,27,-29.5710,-1.0952,2.5268,2.6485,2.6146
11,27,-34.9430,-1.2942,2.4436,2.6291,2.6081
12,27,-25.0930,-0.9294,2.4616,2.6177,2.5980
13,27,-40.3090,-1.4929,2.4351,2.5813,2.5034
14,27,-34.8110,-1.2893,2.3857,2.5698,2.5326
15,27,-29.5770,-1.0954,2.3887,2.5696,2.5478
16,27,-28.2470,-1.0462,2.4407,2.5413,2.5206
17,27,-19.9370,-0.7384,2.5319,2.5276,2.5325
18,27,-32.6890,-1.2107,2.5331,2.5446,2.5132
19,27,-30.4590,-1.1281,2.4859,2.5050,2.4627
20,27,-30.4170,-1.1266,2.4949,2.4454,2.4548
21,27,-27.9050,-1.0335,2.5438,2.4758,2.4265
22,27,-47.9770,-1.7769,2.5063,2.4593,2.3647
23,27,-36.8790,-1.3659,2.5700,2.4518,2.4267
24,27,-40.0090,-1.4818,2.5359,2.3601,2.4066
25,27,-40.1170,-1.4858,2.5010,2.4874,2.5012
26,27,-37.6230,-1.3934,2.4934,2.4723,2.5585
27,27,-25.3750,-0.9398,2.4867,2.4764,2.5536
28,27,-42.8930,-1.5886,2.4846,2.4778,2.6033
29,27,-24.6610,-0.9134,2.5034,2.4935,2.6309
30,27,-19.9310,-0.7382,2.5143,2.4782,2.6253
31,27,-30.2190,-1.1192,2.5303,2.4565,2.5829
32,27,-37.5570,-1.3910,2.5008,2.5379,2.5697
33,27,-29.8470,-1.1054,2.5128,2.5572,2.5500
34,27,-22.8930,-0.8479,2.5872,2.5856,2.5456
35,27,-25.1470,-0.9314,2.6183,2.5476,2.5095
36,27,-32.0590,-1.1874,2.6269,2.6237,2.5053
37,27,-22.1730,-0.8212,2.6395,2.6637,2.4955
38,27,-20.1710,-0.7471,2.6251,2.6362,2.4106
39,27,-45.0210,-1.6674,2.6068,2.6219,2.4023
40,27,-29.9130,-1.1079,2.6581,2.6390,2.4873
41,27,-37.2270,-1.3788,2.6626,2.6073,2.5482
42,27,-19.9130,-0.7375,2.6543,2.5688,2.6218
43,27,-34.4870,-1.2773,2.6360,2.5960,2.6254
44,27,-20.4710,-0.7582,2.6403,2.5850,2.6213
45,27,-45.8250,-1.6972,2.6074,2.5747,2.6657
46,27,-26.9090,-0.9966,2.6165,2.5469,2.6262
47,27,-9.6490,-0.3574,2.5855,2.4722,2.6672
48,27,-19.7090,-0.7300,2.5910,2.4816,2.6710
49,27,-42.3110,-1.5671,2.6592,2.4842,2.7108
50,27,-12.5030,-0.4631,2.6159,2.4938,2.7027
51,27,-25.4410,-0.9423,2.6659,2.4724,2.6764
52,27,-39.6910,-1.4700,2.6733,2.4553,2.6693
53,27,-32.8210,-1.2156,2.6325,2.3634,2.6776
54,27,-19.0430,-0.7053,2.6935,2.4431,2.6765
55,27,-29.8710,-1.1063,2.7175,2.5110,2.6363
56,27,-9.9310,-0.3678,2.7037,2.4806,2.6539
57,27,-35.1230,-1.3009,2.6912,2.5055,2.6155
58,27,-40.4590,-1.4985,2.6806,2.5038,2.6444
59,27,-30.3510,-1.1241,2.6314,2.5633,2.6222
60,27,-29.9490,-1.1092,2.6184,2.6287,2.6489
61,27,-22.5750,-0.8361,2.5635,2.6670,2.6299
62,27,-30.1050,-1.1150,2.4625,2.6515,2.6429
63,27,-29.7150,-1.1006,2.4382,2.7034,2.6040
64,27,-27.1550,-1.0057,2.3928,2.6933,2.6413
65,27,-37.5690,-1.3914,2.4772,2.6709,2.5762
66,27,-39.8350,-1.4754,2.4613,2.7045,2.6095
67,27,-32.7610,-1.2134,2.4959,2.7051,2.6350
68,27,-29.8170,-1.1043,2.5229,2.6849,2.6567
69,27,-29.9610,-1.1097,2.5353,2.6518,2.6514
70,27,-42.1910,-1.5626,2.5066,2.6624,2.5890
71,27,-29.1630,-1.0801,2.5028,2.6824,2.5702
72,27,-24.2950,-0.8998,2.5546,2.6669,2.6224
73,27,-32.6350,-1.2087,2.5578,2.6542,2.6216
74,27,-24.6430,-0.9127,2.5512,2.6283,2.5973
75,27,-18.1090,-0.6707,2.4791,2.6062,2.6427
76,27,-43.0790,-1.5955,2.4767,2.5586,2.6216
77,27,-16.9270,-0.6269,2.5043,2.6089,2.5853
78,27,-42.1670,-1.5617,2.5273,2.6567,2.5856
79,27,-29.8950,-1.1072,2.5432,2.6324,2.5680
80,27,-22.5870,-0.8366,2.5636,2.5970,2.5670
81,27,-27.4790,-1.0177,2.5641,2.5292,2.5586
82,27,-34.8230,-1.2897,2.5117,2.5572,2.4937
83,27,-27.4970,-1.0184,2.5180,2.5230,2.4786
84,27,-42.7490,-1.5833,2.5754,2.5274,2.5114
85,27,-24.8530,-0.9205,2.6091,2.5342,2.3942
86,27,-12.4190,-0.4600,2.6222,2.5687,2.4560
87,27,-22.3410,-0.8274,2.6089,2.5407,2.4289
88,27,-9.5170,-0.3525,2.6082,2.4746,2.4083
89,27,-31.9450,-1.1831,2.5662,2.5177,2.4575
90,27,-48.1990,-1.7851,2.5483,2.5345,2.5267
91,27,-27.4610,-1.0171,2.5132,2.5700,2.5367
92,27,-25.6390,-0.9496,2.5646,2.5170,2.5440
93,27,-20.1470,-0.7462,2.5985,2.5544,2.5612
94,27,-30.2790,-1.1214,2.5741,2.5584,2.5434
95,27,-17.1970,-0.6369,2.5219,2.5616,2.4929
96,27,-17.4610,-0.6467,2.4706,2.5334,2.4839
97,27,-20.0510,-0.7426,2.5012,2.5464,2.4968
98,27,-20.2190,-0.7489,2.4769,2.5097,2.4989
99,27,-36.6390,-1.3570,2.4871,2.4740,2.5621
100,27,-32.7850,-1.2143,2.5513,2.4236,2.5203
101,27,-38.1450,-1.4128,2.5655,2.4674,2.5348
102,27,-10.4710,-0.3878,2.5764,2.4816,2.5488
103,27,-32.6290,-1.2085,2.5241,2.4394,2.4814
104,27,-22.7190,-0.8414,2.5178,2.4075,2.5020
105,27,-32.5690,-1.2063,2.5591,2.3553,2.5165
106,27,-22.1790,-0.8214,2.5813,2.4062,2.5975
107,27,-37.3170,-1.3821,2.5810,2.4426,2.6127
108,27,-28.1270,-1.0417,2.5614,2.4931,2.5664
109,27,-30.2070,-1.1188,2.5665,2.4426,2.5127
110,27,-19.7270,-0.7306,2.5406,2.4266,2.5134
111,27,-32.4430,-1.2016,2.5087,2.4323,2.5204
112,27,-29.6970,-1.0999,2.4281,2.4816,2.4622
113,27,-30.0450,-1.1128,2.4341,2.5169,2.4747
114,27,-25.0930,-0.9294,2.4794,2.5623,2.4391
115,27,-26.5670,-0.9840,2.4970,2.5602,2.4491
116,27,-25.3270,-0.9380,2.5282,2.5029,2.3839
117,27,-27.2210,-1.0082,2.5552,2.4535,2.3936
118,27,-39.2890,-1.4551,2.5735,2.4265,2.4004
119,27,-42.4430,-1.5720,2.5736,2.4152,2.3895
120,27,-32.5210,-1.2045,2.5523,2.4559,2.4690
