partner,style,share
carol,drop_everything,0.1796
carol,help_after_task,0.0954
carol,pair_up,0.2454
carol,teach,0.2130
carol,quick_tip,0.1241
carol,delegate,0.0361
carol,joke_deflect,0.1065
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.2037
dave,help_after_task,0.1019
dave,pair_up,0.2370
dave,teach,0.2148
dave,quick_tip,0.1111
dave,delegate,0.0296
dave,joke_deflect,0.1019
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1833
bob,help_after_task,0.0796
bob,pair_up,0.2630
bob,teach,0.2148
bob,quick_tip,0.1343
bob,delegate,0.0204
bob,joke_deflect,0.1046
bob,polite_decline,0.0000
bob,ignore,0.0000
