partner,style,share
carol,drop_everything,0.1130
carol,help_after_task,0.1213
carol,pair_up,0.1620
carol,teach,0.1519
carol,quick_tip,0.1611
carol,delegate,0.1093
carol,joke_deflect,0.0972
carol,polite_decline,0.0778
carol,ignore,0.0065
dave,drop_everything,0.1287
dave,help_after_task,0.1000
dave,pair_up,0.1444
dave,teach,0.1574
dave,quick_tip,0.1454
dave,delegate,0.1222
dave,joke_deflect,0.0907
dave,polite_decline,0.1037
dave,ignore,0.0074
bob,drop_everything,0.1361
bob,help_after_task,0.0944
bob,pair_up,0.1657
bob,teach,0.1454
bob,quick_tip,0.1407
bob,delegate,0.1222
bob,joke_deflect,0.0870
bob,polite_decline,0.1056
bob,ignore,0.0028
