episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
1,27,-43.5150,-1.6117,1.8366,2.1972,2.4194
2,27,-26.6810,-0.9882,2.5941,2.6416,2.7472
3,27,-30.9310,-1.1456,2.8004,2.6341,2.8336
4,27,-31.8610,-1.1800,2.8124,2.9162,2.8742
5,27,-38.9890,-1.4440,2.8607,2.9274,2.8394
6,27,-36.4410,-1.3497,2.8478,2.9606,2.8780
7,27,-23.6470,-0.8758,2.8345,2.9548,2.8630
8,27,-36.8070,-1.3632,2.8610,2.9682,2.8665
9,27,-54.2350,-2.0087,2.8661,2.9843,2.8930
10,27,-29.2350,-1.0828,2.8846,2.9790,2.9107
11,27,-51.2790,-1.8992,2.9278,2.9748,2.9407
12,27,-32.2630,-1.1949,2.9311,2.9738,2.9479
13,27,-31.6090,-1.1707,2.9250,2.9626,2.9324
14,27,-36.6750,-1.3583,2.9389,2.9619,2.9008
15,27,-33.5570,-1.2429,2.9263,2.9520,2.9175
16,27,-39.1870,-1.4514,2.9112,2.9636,2.9709
17,27,-31.3390,-1.1607,2.9136,2.9426,2.9603
18,27,-37.0950,-1.3739,2.9179,2.9642,2.9601
19,27,-21.5070,-0.7966,2.9252,2.9385,2.9989
20,27,-46.4650,-1.7209,2.9276,2.9652,3.0147
21,27,-31.8190,-1.1785,2.9249,2.9680,3.0407
22,27,-38.7730,-1.4360,2.9255,2.9669,3.0265
23,27,-47.2810,-1.7511,3.0358,2.9618,3.0309
24,27,-25.0030,-0.9260,3.0326,2.9301,3.0403
25,27,-39.6910,-1.4700,3.0509,2.8998,3.0221
26,27,-32.4970,-1.2036,3.0478,2.8875,3.0053
27,27,-53.4250,-1.9787,3.0428,2.8934,2.9942
28,27,-33.8390,-1.2533,3.0392,2.9019,2.9757
29,27,-36.9510,-1.3686,3.0436,2.9217,3.0027
30,27,-59.6370,-2.2088,3.0253,2.9635,3.0197
31,27,-44.1990,-1.6370,3.0283,2.9696,2.9463
32,27,-46.9030,-1.7371,3.0301,3.0000,2.9301
33,27,-31.3150,-1.1598,2.9586,3.0158,2.9344
34,27,-39.4390,-1.4607,2.9352,3.0195,2.9534
35,27,-36.4050,-1.3483,2.9614,2.9962,2.9470
36,27,-34.0550,-1.2613,2.9747,2.9967,2.9730
37,27,-29.3010,-1.0852,2.9614,2.9845,2.9640
38,27,-13.8690,-0.5137,2.9698,2.9806,2.9396
