partner,style,share
carol,drop_everything,0.0769
carol,help_after_task,0.1648
carol,pair_up,0.1852
carol,teach,0.2287
carol,quick_tip,0.1926
carol,delegate,0.0843
carol,joke_deflect,0.0602
carol,polite_decline,0.0074
carol,ignore,0.0000
dave,drop_everything,0.0917
dave,help_after_task,0.1352
dave,pair_up,0.1694
dave,teach,0.2333
dave,quick_tip,0.2000
dave,delegate,0.0880
dave,joke_deflect,0.0750
dave,polite_decline,0.0074
dave,ignore,0.0000
bob,drop_everything,0.1009
bob,help_after_task,0.1398
bob,pair_up,0.1944
bob,teach,0.2009
bob,quick_tip,0.2037
bob,delegate,0.0889
bob,joke_deflect,0.0676
bob,polite_decline,0.0037
bob,ignore,0.0000
