episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
1,27,-41.7410,-1.5460,2.4194,2.4194,2.0588
2,27,-31.9810,-1.1845,2.5577,2.6633,2.5577
3,27,-29.7630,-1.1023,2.4595,2.6394,2.5275
4,27,-47.4850,-1.7587,2.6315,2.6702,2.5359
5,27,-32.8750,-1.2176,2.6380,2.6412,2.5728
6,27,-29.2410,-1.0830,2.6515,2.6114,2.6364
7,27,-35.3030,-1.3075,2.6025,2.5872,2.6334
8,27,-6.8550,-0.2539,2.5922,2.5832,2.6281
9,27,-39.9010,-1.4778,2.6033,2.6380,2.6592
10,27,-32.4730,-1.2027,2.6107,2.6444,2.6635
11,27,-29.3670,-1.0877,2.5871,2.5837,2.6766
12,27,-16.7350,-0.6198,2.4986,2.5456,2.7056
13,27,-47.3830,-1.7549,2.4640,2.6020,2.7224
14,27,-32.6050,-1.2076,2.4387,2.6000,2.7241
15,27,-41.9450,-1.5535,2.4777,2.6376,2.7116
16,27,-34.6550,-1.2835,2.5376,2.6282,2.6913
17,27,-26.2910,-0.9737,2.5747,2.6155,2.6620
18,27,-22.0230,-0.8157,2.5464,2.6175,2.6712
19,27,-42.5570,-1.5762,2.5318,2.5829,2.6944
20,27,-24.8590,-0.9207,2.5309,2.6000,2.6718
21,27,-21.1770,-0.7843,2.5573,2.6154,2.6666
22,27,-28.6650,-1.0617,2.5487,2.6177,2.6088
23,27,-42.2930,-1.5664,2.4910,2.5378,2.6280
24,27,-32.0410,-1.1867,2.4561,2.5430,2.6036
25,27,-37.2090,-1.3781,2.4609,2.5552,2.6729
26,27,-28.9830,-1.0734,2.4665,2.5440,2.7340
27,27,-17.2750,-0.6398,2.4428,2.5525,2.7421
28,27,-19.3850,-0.7180,2.4438,2.5377,2.7098
29,27,-37.3290,-1.3826,2.5087,2.5592,2.7229
30,27,-24.1030,-0.8927,2.4473,2.5312,2.7206
31,27,-19.3070,-0.7151,2.4127,2.5115,2.7095
32,27,-21.5430,-0.7979,2.4345,2.4863,2.7161
33,27,-16.5730,-0.6138,2.4415,2.4776,2.7174
34,27,-7.3290,-0.2714,2.4989,2.4256,2.7285
35,27,-33.5150,-1.2413,2.5476,2.3699,2.7106
36,27,-41.3570,-1.5317,2.5620,2.3305,2.7099
37,27,-20.2910,-0.7515,2.5660,2.3318,2.7196
38,27,-11.4770,-0.4251,2.5595,2.3069,2.7400
39,27,-24.6370,-0.9125,2.5399,2.3115,2.7421
40,27,-16.8190,-0.6229,2.5341,2.4087,2.7321
41,27,-29.9130,-1.1079,2.5530,2.4368,2.7450
42,27,-42.2810,-1.5660,2.5575,2.4504,2.6869
43,27,-21.6210,-0.8008,2.5913,2.4680,2.6545
44,27,-7.1010,-0.2630,2.5575,2.4789,2.6407
45,27,-16.7950,-0.6220,2.5541,2.4947,2.6091
46,27,-22.3410,-0.8274,2.5381,2.5106,2.5999
