circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.3874,0.1626
work,mask_work,c,0.3500,0.0126,0.3626
work,mask_work,e,0.5000,-0.4890,0.0110
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3431,0.0000
home,mask_home,o,0.5500,-0.3721,0.1779
home,mask_home,c,0.3500,-0.3464,0.0036
home,mask_home,e,0.5000,-0.2969,0.2031
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3402,0.0000
conference,mask_conference,o,0.5500,-0.2074,0.3426
conference,mask_conference,c,0.3500,-0.0441,0.3059
conference,mask_conference,e,0.5000,-0.2946,0.2054
conference,mask_conference,a,0.7500,-0.4967,0.2533
conference,mask_conference,n,0.3000,-0.4029,0.0000
