episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
1,27,-29.9670,-1.1099,1.3921,2.1133,2.1972
2,27,-27.3110,-1.0115,1.9749,2.4886,2.3719
3,27,-27.6590,-1.0244,2.0440,2.4580,2.4519
4,27,-17.2990,-0.6407,2.0197,2.4837,2.4473
5,27,-37.5810,-1.3919,2.1818,2.5942,2.4223
6,27,-50.0210,-1.8526,2.3408,2.6013,2.4550
7,27,-19.5050,-0.7224,2.4042,2.6161,2.4986
8,27,-17.3350,-0.6420,2.4168,2.5952,2.5052
9,27,-22.3890,-0.8292,2.4256,2.5933,2.5013
10,27,-19.8350,-0.7346,2.4701,2.5826,2.4994
11,27,-19.8410,-0.7349,2.5124,2.5676,2.5184
12,27,-19.2050,-0.7113,2.5759,2.5066,2.5246
13,27,-27.4970,-1.0184,2.6069,2.5083,2.5360
14,27,-25.0030,-0.9260,2.5902,2.5103,2.5475
15,27,-12.4070,-0.4595,2.5754,2.4342,2.5024
16,27,-31.9690,-1.1840,2.5565,2.4240,2.5208
17,27,-26.9690,-0.9989,2.4665,2.4606,2.5925
18,27,-17.8150,-0.6598,2.4577,2.5099,2.6284
19,27,-11.7770,-0.4362,2.5204,2.5098,2.6169
20,27,-12.2090,-0.4522,2.5102,2.4890,2.5718
21,27,-22.6230,-0.8379,2.5220,2.4935,2.5623
22,27,-19.5890,-0.7255,2.4699,2.4635,2.5733
23,27,-32.2390,-1.1940,2.4278,2.4901,2.6339
24,27,-6.8850,-0.2550,2.4198,2.4645,2.6427
25,27,-22.1670,-0.8210,2.4661,2.4774,2.6427
26,27,-14.9310,-0.5530,2.4151,2.4750,2.5743
27,27,-11.8490,-0.4389,2.3981,2.3939,2.5572
28,27,-30.2250,-1.1194,2.3787,2.3496,2.5514
29,27,-10.0030,-0.3705,2.2523,2.3258,2.5690
30,27,-9.5410,-0.3534,2.3390,2.3736,2.5716
31,27,-10.0750,-0.3731,2.3264,2.4034,2.5663
32,27,-9.6790,-0.3585,2.3043,2.4111,2.5753
33,27,-24.4030,-0.9038,2.3986,2.3968,2.5612
34,27,-2.3590,-0.0874,2.4231,2.3530,2.5631
35,27,-24.9730,-0.9249,2.4649,2.3350,2.5885
36,27,-17.0050,-0.6298,2.5044,2.3245,2.5794
37,27,-34.9910,-1.2960,2.5301,2.3024,2.6550
38,27,-12.9050,-0.4780,2.5237,2.1957,2.6394
39,27,-14.7870,-0.5477,2.4850,2.2132,2.6573
40,27,-7.4070,-0.2743,2.4596,2.1728,2.6987
41,27,-18.2350,-0.6754,2.4583,2.1133,2.6877
42,27,-19.7090,-0.7300,2.5039,2.0965,2.6728
43,27,-39.9730,-1.4805,2.5005,2.0864,2.6914
44,27,-29.5230,-1.0934,2.5467,2.1514,2.6785
45,27,-24.7750,-0.9176,2.4899,2.2186,2.6705
46,27,-15.2070,-0.5632,2.4580,2.2204,2.6520
47,27,-12.8750,-0.4769,2.4260,2.1835,2.5390
48,27,-19.8290,-0.7344,2.4260,2.2950,2.5644
49,27,-15.1410,-0.5608,2.4711,2.2537,2.5105
50,27,-22.0230,-0.8157,2.5301,2.3322,2.4697
51,27,-22.0770,-0.8177,2.5472,2.3512,2.4825
52,27,2.9650,0.1098,2.5009,2.2957,2.5307
53,27,-27.5090,-1.0189,2.5071,2.3330,2.5183
54,27,-29.5170,-1.0932,2.4711,2.3496,2.5542
55,27,-24.6430,-0.9127,2.4945,2.3389,2.6128
56,27,-12.7490,-0.4722,2.5393,2.3404,2.6406
57,27,-11.9030,-0.4409,2.5415,2.3797,2.6611
58,27,-15.0030,-0.5557,2.5185,2.3596,2.6219
59,27,-29.3130,-1.0857,2.5914,2.3974,2.6585
60,27,-37.2930,-1.3812,2.5070,2.3981,2.6585
61,27,-19.9970,-0.7406,2.5530,2.4068,2.6726
62,27,-24.7150,-0.9154,2.5849,2.3958,2.6874
63,27,-25.0690,-0.9285,2.5165,2.4003,2.6361
64,27,-9.7990,-0.3629,2.4623,2.4138,2.6341
65,27,-21.8190,-0.8081,2.4995,2.4226,2.5711
66,27,-14.2530,-0.5279,2.5007,2.4840,2.5501
67,27,-2.3770,-0.0880,2.5125,2.4782,2.5390
68,27,-24.9010,-0.9223,2.5154,2.4896,2.5759
69,27,-14.6370,-0.5421,2.4431,2.4982,2.5596
70,27,-29.2590,-1.0837,2.4574,2.4810,2.5268
