partner,style,share
carol,drop_everything,0.1269
carol,help_after_task,0.1370
carol,pair_up,0.2370
carol,teach,0.2389
carol,quick_tip,0.1241
carol,delegate,0.0444
carol,joke_deflect,0.0880
carol,polite_decline,0.0037
carol,ignore,0.0000
dave,drop_everything,0.1176
dave,help_after_task,0.1259
dave,pair_up,0.2454
dave,teach,0.2602
dave,quick_tip,0.1120
dave,delegate,0.0389
dave,joke_deflect,0.0907
dave,polite_decline,0.0093
dave,ignore,0.0000
bob,drop_everything,0.1222
bob,help_after_task,0.1602
bob,pair_up,0.2565
bob,teach,0.2111
bob,quick_tip,0.1074
bob,delegate,0.0380
bob,joke_deflect,0.0954
bob,polite_decline,0.0093
bob,ignore,0.0000
