partner,style,share
carol,drop_everything,0.1194
carol,help_after_task,0.1287
carol,pair_up,0.1324
carol,teach,0.1306
carol,quick_tip,0.1463
carol,delegate,0.1213
carol,joke_deflect,0.1074
carol,polite_decline,0.0907
carol,ignore,0.0231
dave,drop_everything,0.1269
dave,help_after_task,0.1213
dave,pair_up,0.1296
dave,teach,0.1472
dave,quick_tip,0.1407
dave,delegate,0.1287
dave,joke_deflect,0.0991
dave,polite_decline,0.0963
dave,ignore,0.0102
bob,drop_everything,0.1213
bob,help_after_task,0.1139
bob,pair_up,0.1398
bob,teach,0.1407
bob,quick_tip,0.1389
bob,delegate,0.1407
bob,joke_deflect,0.0935
bob,polite_decline,0.0972
bob,ignore,0.0139
