episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
1,27,-46.9270,-1.7380,2.1972,2.2810,2.5033
2,27,-56.6870,-2.0995,2.5047,2.6361,2.3696
3,27,-39.6610,-1.4689,2.6984,2.7408,2.6667
4,27,-41.6870,-1.5440,2.7693,2.7942,2.8443
5,27,-33.5990,-1.2444,2.7415,2.8326,2.7797
6,27,-59.3970,-2.1999,2.7969,2.9393,2.8026
7,27,-41.8430,-1.5497,2.8181,2.9953,2.8536
8,27,-57.0650,-2.1135,2.8594,3.0013,2.8524
9,27,-46.4950,-1.7220,2.8339,2.9949,2.8313
10,27,-34.7930,-1.2886,2.8720,3.0224,2.8818
11,27,-39.3910,-1.4589,2.9580,3.0536,2.9102
12,27,-27.1490,-1.0055,2.9762,3.0413,2.9411
13,27,-39.7210,-1.4711,2.9503,3.0577,2.9156
14,27,-44.0070,-1.6299,2.9378,3.0463,2.9166
15,27,-41.5010,-1.5371,2.9068,3.0308,2.9871
16,27,-31.5190,-1.1674,2.9725,3.0245,3.0199
17,27,-18.6710,-0.6915,2.9974,2.9357,2.9974
18,27,-35.8110,-1.3263,3.0376,2.9383,2.9981
19,27,-41.6150,-1.5413,3.0322,2.8755,3.0187
20,27,-33.8450,-1.2535,3.0399,2.9076,2.9885
21,27,-26.8610,-0.9949,3.0203,2.8655,2.9795
22,27,-39.3730,-1.4583,2.9861,2.8694,2.9500
23,27,-48.6050,-1.8002,2.9809,2.8947,2.9458
24,27,-19.5170,-0.7229,2.9692,2.9255,2.9024
25,27,-27.1550,-1.0057,2.9506,2.9762,2.8575
26,27,-34.5770,-1.2806,2.9803,3.0054,2.8322
27,27,-34.4150,-1.2746,3.0009,3.0362,2.8328
28,27,-39.6490,-1.4685,3.0047,3.0259,2.8655
29,27,-39.4570,-1.4614,3.0027,3.0234,2.9248
30,27,-24.7090,-0.9151,2.9872,2.9889,2.9316
31,27,-21.4650,-0.7950,2.9586,2.8933,2.9695
32,27,-34.5830,-1.2809,2.9784,2.9406,3.0004
33,27,-29.2110,-1.0819,2.9784,2.8687,3.0086
34,27,-31.8970,-1.1814,2.9872,2.8767,3.0070
35,27,-28.9290,-1.0714,3.0037,2.8857,3.0185
36,27,-41.7350,-1.5457,2.9660,2.9312,3.0205
37,27,-34.1270,-1.2640,2.9939,2.9259,3.0117
38,27,-46.8790,-1.7363,2.9653,2.9722,3.0253
39,27,-39.9730,-1.4805,2.9684,2.9826,2.9514
40,27,-51.2250,-1.8972,3.0175,2.9909,2.9800
41,27,-51.1350,-1.8939,3.0180,3.0452,2.9696
42,27,-31.7350,-1.1754,3.0169,3.0378,2.9603
43,27,-41.9870,-1.5551,3.0032,3.0493,2.9321
44,27,-43.9530,-1.6279,3.0178,3.0562,2.9428
45,27,-31.9330,-1.1827,3.0234,3.0472,2.9413
46,27,-34.6250,-1.2824,3.0103,3.0420,2.9258
47,27,-46.5550,-1.7243,3.0103,3.0200,2.9281
48,27,-43.9410,-1.6274,3.0142,2.9948,2.9257
49,27,-29.1390,-1.0792,3.0359,2.9899,2.9132
50,27,-43.9290,-1.6270,3.0162,3.0155,2.9321
51,27,-31.0150,-1.1487,2.9934,2.9800,2.9488
52,27,-41.3150,-1.5302,2.9986,2.9383,2.9600
53,27,-54.6910,-2.0256,3.0156,2.9840,2.9662
54,27,-44.5830,-1.6512,3.0420,2.9874,2.9430
55,27,-31.1230,-1.1527,3.0233,3.0510,2.9179
56,27,-39.2950,-1.4554,3.0190,3.0138,2.9208
57,27,-31.6810,-1.1734,3.0279,3.0312,2.9052
58,27,-36.8610,-1.3652,3.0164,3.0166,2.9236
59,27,-31.6750,-1.1731,2.9664,3.0232,2.9240
60,27,-18.9950,-0.7035,2.9501,3.0252,2.9100
61,27,-34.3670,-1.2729,2.9677,3.0254,2.8870
62,27,-21.2070,-0.7854,2.9580,3.0274,2.8742
63,27,-47.1850,-1.7476,2.9865,3.0337,2.8261
64,27,-25.0570,-0.9280,3.0065,3.0189,2.8569
65,27,-29.3550,-1.0872,2.9815,3.0175,2.8727
66,27,-34.7810,-1.2882,2.9639,3.0053,2.8494
67,27,-36.0450,-1.3350,2.9862,2.9864,2.9288
68,27,-29.3550,-1.0872,3.0005,2.9717,2.9220
69,27,-39.0850,-1.4476,3.0234,2.8947,2.9626
70,27,-31.3450,-1.1609,3.0224,2.9057,2.9712
71,27,-26.2610,-0.9726,3.0303,2.8985,2.9801
72,27,-28.9110,-1.0708,3.0062,2.9094,2.9601
73,27,-44.6730,-1.6546,3.0071,2.9358,2.9786
74,27,-44.3310,-1.6419,3.0335,2.9781,2.9893
75,27,-34.3550,-1.2724,3.0383,2.9736,2.9847
76,27,-39.7810,-1.4734,3.0755,2.9816,2.9780
77,27,-32.1490,-1.1907,3.0382,2.9832,2.9696
78,27,-41.4110,-1.5337,3.0512,3.0154,2.9891
79,27,-64.4630,-2.3875,3.0575,3.0392,2.9811
80,27,-53.2150,-1.9709,3.0193,3.0498,2.9783
81,27,-21.7290,-0.8048,2.9994,3.0476,2.9598
82,27,-29.2470,-1.0832,3.0105,3.0349,2.9869
83,27,-19.9310,-0.7382,3.0020,2.9828,2.9792
84,27,-39.1510,-1.4500,2.9559,3.0003,2.9676
85,27,-21.9090,-0.8114,3.0065,3.0015,2.9677
86,27,-26.3810,-0.9771,3.0541,3.0298,2.9369
87,27,-29.1930,-1.0812,3.0768,3.0311,2.9038
88,27,-36.7170,-1.3599,3.0725,3.0542,2.9281
89,27,-41.8190,-1.5489,3.0844,3.0587,2.9229
90,27,-49.9550,-1.8502,3.0709,3.0204,2.8860
91,27,-19.3730,-0.7175,3.0334,3.0335,2.8804
92,27,-23.8270,-0.8825,3.0371,3.0375,2.8729
93,27,-31.7530,-1.1760,3.0019,3.0083,2.8727
94,27,-42.1310,-1.5604,3.0390,3.0179,2.8595
95,27,-42.6650,-1.5802,3.0586,3.0065,2.8772
96,27,-33.5930,-1.2442,2.9874,3.0067,2.9076
97,27,-51.0150,-1.8894,3.0016,2.9893,2.9861
98,27,-36.3270,-1.3454,2.9809,2.9654,2.9554
99,27,-39.4810,-1.4623,3.0197,2.9319,2.9679
100,27,-28.9470,-1.0721,2.9848,2.9367,2.9782
101,27,-49.3970,-1.8295,3.0242,2.9713,2.9754
102,27,-36.8910,-1.3663,3.0274,3.0386,2.9540
103,27,-41.5670,-1.5395,2.9900,3.0475,2.9527
104,27,-31.7110,-1.1745,3.0271,3.0605,2.9402
105,27,-46.4530,-1.7205,2.9788,3.0457,2.9538
106,27,-39.2470,-1.4536,2.9791,3.0621,2.9674
107,27,-21.8370,-0.8088,2.9942,3.0814,2.9483
108,27,-21.8790,-0.8103,2.9810,3.0752,2.9427
109,27,-26.4650,-0.9802,2.9467,3.0856,2.9273
110,27,-44.7030,-1.6557,2.9769,3.0876,2.9152
111,27,-28.9230,-1.0712,2.9423,3.0517,2.9070
112,27,-46.0390,-1.7051,2.8678,3.0012,2.9151
113,27,-39.3910,-1.4589,2.8815,2.9829,2.9296
114,27,-39.1390,-1.4496,2.9208,2.9911,2.9468
115,27,-43.9290,-1.6270,2.9097,2.9634,2.9716
116,27,-34.2110,-1.2671,2.9134,2.9505,2.9792
117,27,-29.2410,-1.0830,2.9105,2.9507,2.9641
118,27,-18.7910,-0.6960,2.9336,2.9968,2.9475
