circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.2074,0.3426
work,mask_work,c,0.3500,0.1886,0.5386
work,mask_work,e,0.5000,-0.3085,0.1915
work,mask_work,a,0.7500,-0.4526,0.2974
work,mask_work,n,0.3000,-0.4368,0.0000
home,mask_home,o,0.5500,-0.0364,0.5136
home,mask_home,c,0.3500,-0.4624,0.0000
home,mask_home,e,0.5000,0.0869,0.5869
home,mask_home,a,0.7500,-0.2770,0.4730
home,mask_home,n,0.3000,-0.5000,0.0000
conference,mask_conference,o,0.5500,0.0620,0.6120
conference,mask_conference,c,0.3500,-0.0748,0.2752
conference,mask_conference,e,0.5000,-0.0083,0.4917
conference,mask_conference,a,0.7500,-0.2685,0.4815
conference,mask_conference,n,0.3000,-0.5000,0.0000
