condition,measure,seed,circumstance,outcome,pct_accepted,pct_rejected
fixed,cosine,1,work,-1.0208,0.1352,0.5435
fixed,cosine,1,home,-0.794,0.1528,0.4704
fixed,cosine,1,conference,-0.8125,0.1796,0.5046
fixed,cosine,10,work,-1.1944,0.112,0.5898
fixed,cosine,10,home,-0.8519,0.1472,0.488
fixed,cosine,10,conference,-0.6898,0.2037,0.4796
fixed,cosine,2,work,-1.1481,0.1213,0.5806
fixed,cosine,2,home,-0.8796,0.1407,0.4926
fixed,cosine,2,conference,-0.6782,0.1991,0.4704
fixed,cosine,3,work,-1.1481,0.1194,0.5787
fixed,cosine,3,home,-0.9005,0.1389,0.4991
fixed,cosine,3,conference,-0.6505,0.1852,0.4454
fixed,cosine,4,work,-1.2523,0.112,0.613
fixed,cosine,4,home,-0.7708,0.1611,0.4694
fixed,cosine,4,conference,-0.7106,0.1926,0.4769
fixed,cosine,5,work,-1.2361,0.1074,0.6019
fixed,cosine,5,home,-0.8264,0.1565,0.487
fixed,cosine,5,conference,-0.6088,0.2204,0.4639
fixed,cosine,6,work,-1.1366,0.1102,0.5648
fixed,cosine,6,home,-0.7963,0.1537,0.4722
fixed,cosine,6,conference,-0.6296,0.1935,0.4454
fixed,cosine,7,work,-1.1736,0.1204,0.5898
fixed,cosine,7,home,-0.8032,0.1556,0.4769
fixed,cosine,7,conference,-0.6296,0.2083,0.4602
fixed,cosine,8,work,-1.0995,0.1287,0.5685
fixed,cosine,8,home,-0.9097,0.1343,0.4981
fixed,cosine,8,conference,-0.713,0.1972,0.4824
fixed,cosine,9,work,-1.162,0.1148,0.5796
fixed,cosine,9,home,-0.8356,0.1472,0.4815
fixed,cosine,9,conference,-0.5856,0.2102,0.4444
fixed,dot,1,work,-1.213,0.1287,0.6139
fixed,dot,1,home,-0.6134,0.1806,0.4259
fixed,dot,1,conference,-0.419,0.2296,0.3972
fixed,dot,10,work,-1.2616,0.1259,0.6306
fixed,dot,10,home,-0.6921,0.175,0.4519
fixed,dot,10,conference,-0.5463,0.2037,0.4222
fixed,dot,2,work,-1.2176,0.138,0.625
fixed,dot,2,home,-0.7477,0.1407,0.4398
fixed,dot,2,conference,-0.4491,0.2296,0.4093
fixed,dot,3,work,-1.2824,0.1231,0.6361
fixed,dot,3,home,-0.7199,0.1704,0.4583
fixed,dot,3,conference,-0.4144,0.2352,0.4009
fixed,dot,4,work,-1.3056,0.1148,0.637
fixed,dot,4,home,-0.6736,0.1759,0.4454
fixed,dot,4,conference,-0.5602,0.2028,0.4269
fixed,dot,5,work,-1.3287,0.1028,0.6343
fixed,dot,5,home,-0.7847,0.1667,0.4806
fixed,dot,5,conference,-0.3866,0.2306,0.3852
fixed,dot,6,work,-1.2569,0.1296,0.6324
fixed,dot,6,home,-0.6389,0.162,0.4176
fixed,dot,6,conference,-0.3935,0.237,0.3944
fixed,dot,7,work,-1.2986,0.113,0.6324
fixed,dot,7,home,-0.6644,0.1759,0.4417
fixed,dot,7,conference,-0.3704,0.2444,0.3926
