episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
1,27,-12.1350,-0.4494,2.1972,1.4466,0.5033
2,27,4.3490,0.1611,2.4466,1.7225,1.3863
3,27,-13.9750,-0.5176,2.4255,1.9918,1.3952
4,27,-7.7370,-0.2866,2.3717,2.0635,1.7889
5,27,-2.6410,-0.0978,2.3359,2.0293,1.8109
6,27,-16.6010,-0.6149,2.2771,2.0043,1.9235
7,27,-4.4850,-0.1661,2.2395,1.9830,1.7899
8,27,9.7390,0.3607,2.2282,2.0677,1.7756
9,27,1.8010,0.0667,2.2324,2.0113,1.7028
10,27,7.1490,0.2648,2.2396,2.0099,1.6844
11,27,-1.9130,-0.0709,2.1882,2.0623,1.7342
12,27,-1.7810,-0.0660,2.1406,2.1251,1.5680
13,27,0.0890,0.0033,2.2050,2.0954,1.5901
14,27,-30.6390,-1.1348,2.2644,2.1732,1.5016
15,27,2.2330,0.0827,2.2917,2.2633,1.4555
16,27,1.8970,0.0703,2.3203,2.3310,1.3267
17,27,-3.7470,-0.1388,2.3805,2.3328,1.4849
18,27,13.0510,0.4834,2.4182,2.3059,1.4514
19,27,-5.7710,-0.2137,2.3988,2.3650,1.4316
20,27,10.1070,0.3743,2.4303,2.3625,1.3738
21,27,13.9530,0.5168,2.4407,2.3773,1.3749
22,27,14.3250,0.5306,2.4284,2.4820,1.3749
23,27,-1.4690,-0.0544,2.4269,2.5751,1.3134
24,27,1.2910,0.0478,2.4128,2.4962,1.2265
25,27,-11.5110,-0.4263,2.4621,2.4785,1.2367
26,27,13.0690,0.4840,2.4901,2.4750,1.1538
27,27,4.0770,0.1510,2.4721,2.4484,1.0892
28,27,5.4610,0.2023,2.4606,2.4544,1.0362
29,27,16.5130,0.6116,2.4395,2.5086,1.0570
30,27,-9.1430,-0.3386,2.4693,2.4603,1.0344
31,27,2.5090,0.0929,2.5063,2.3894,0.9511
32,27,20.3830,0.7549,2.5135,2.3949,0.9692
33,27,15.9650,0.5913,2.4937,2.3016,0.9320
34,27,-23.0490,-0.8537,2.5039,2.2584,1.0460
35,27,20.7730,0.7694,2.4400,2.2646,1.0264
36,27,0.8330,0.0309,2.4210,2.1949,1.0736
37,27,9.2710,0.3434,2.4134,2.2497,0.9477
38,27,5.3530,0.1983,2.3937,2.2888,0.9914
39,27,22.0350,0.8161,2.4099,2.1673,1.0316
40,27,0.5330,0.0197,2.3593,2.1973,1.0316
41,27,19.2650,0.7135,2.3502,2.2217,1.0090
42,27,-5.2310,-0.1937,2.3204,2.0806,0.9600
43,27,-1.8830,-0.0697,2.3367,2.0299,1.0441
44,27,33.1890,1.2292,2.3138,1.9999,1.0523
45,27,10.0690,0.3729,2.3762,2.0211,1.0523
46,27,5.3650,0.1987,2.3144,2.0081,1.0315
47,27,15.0170,0.5562,2.3180,1.9443,1.1360
48,27,18.5490,0.6870,2.3144,1.8579,1.1166
49,27,3.3210,0.1230,2.3754,1.8960,1.0749
