episode,circumstance,interactions,outcome
1,work,9,-1.6667
1,home,9,-0.4167
1,conference,9,1.2500
2,work,9,-0.6944
2,home,9,0.9722
2,conference,9,1.3889
3,work,9,0.8333
3,home,9,-0.1389
3,conference,9,1.5278
4,work,9,-0.8333
4,home,9,-0.9722
4,conference,9,0.5556
5,work,9,-0.2778
5,home,9,0.5556
5,conference,9,0.4167
6,work,9,-0.1389
6,home,9,-0.2778
6,conference,9,0.9722
7,work,9,0.6944
7,home,9,0.5556
7,conference,9,1.1111
8,work,9,-0.4167
8,home,9,0.0000
8,conference,9,0.2778
9,work,9,-0.2778
9,home,9,-0.5556
9,conference,9,1.1111
10,work,9,-0.5556
10,home,9,-0.6944
10,conference,9,-0.4167
11,work,9,-0.5556
11,home,9,-0.8333
11,conference,9,0.5556
12,work,9,0.6944
12,home,9,-0.8333
12,conference,9,1.2500
13,work,9,-0.1389
13,home,9,-1.6667
13,conference,9,0.1389
14,work,9,-1.3889
14,home,9,-0.5556
14,conference,9,0.5556
15,work,9,0.0000
15,home,9,-0.5556
15,conference,9,1.2500
16,work,9,-0.6944
16,home,9,0.1389
16,conference,9,1.6667
17,work,9,-0.4167
17,home,9,-0.2778
17,conference,9,1.1111
18,work,9,0.1389
18,home,9,0.9722
18,conference,9,1.1111
19,work,9,-0.1389
19,home,9,-0.5556
19,conference,9,0.4167
20,work,9,0.5556
20,home,9,0.0000
20,conference,9,-0.5556
21,work,9,0.0000
21,home,9,1.5278
21,conference,9,0.1389
22,work,9,-0.4167
22,home,9,-0.4167
22,conference,9,2.0833
23,work,9,0.1389
23,home,9,-0.5556
23,conference,9,1.6667
24,work,9,0.5556
24,home,9,-0.4167
24,conference,9,1.5278
25,work,9,2.5000
25,home,9,0.1389
25,conference,9,2.5000
26,work,9,-0.6944
26,home,9,0.2778
26,conference,9,0.6944
27,work,9,0.5556
27,home,9,0.0000
27,conference,9,1.6667
28,work,9,-0.4167
28,home,9,-0.1389
28,conference,9,1.6667
29,work,9,-0.1389
29,home,9,-0.1389
29,conference,9,1.1111
30,work,9,-0.1389
30,home,9,-0.4167
30,conference,9,1.5278
31,work,9,1.5278
31,home,9,0.0000
31,conference,9,-0.1389
32,work,9,0.9722
32,home,9,-0.9722
32,conference,9,2.5000
33,work,9,0.4167
33,home,9,1.1111
33,conference,9,2.5000
34,work,9,-0.2778
34,home,9,0.8333
34,conference,9,0.2778
35,work,9,0.5556
35,home,9,-0.9722
35,conference,9,1.5278
36,work,9,-0.6944
36,home,9,0.6944
36,conference,9,1.6667
37,work,9,0.0000
37,home,9,-0.5556
37,conference,9,0.8333
38,work,9,-1.1111
38,home,9,0.5556
38,conference,9,-0.4167
39,work,9,-0.2778
39,home,9,0.5556
39,conference,9,1.6667
40,work,9,0.8333
40,home,9,-0.2778
40,conference,9,1.5278
41,work,9,0.2778
41,home,9,-0.2778
41,conference,9,0.9722
42,work,9,0.5556
42,home,9,1.5278
42,conference,9,1.6667
43,work,9,0.1389
43,home,9,-0.1389
43,conference,9,0.6944
44,work,9,0.6944
44,home,9,0.4167
44,conference,9,1.1111
45,work,9,1.6667
45,home,9,-0.4167
45,conference,9,0.6944
46,work,9,1.1111
46,home,9,0.1389
46,conference,9,1.6667
47,work,9,-0.5556
47,home,9,0.1389
47,conference,9,1.6667
48,work,9,0.1389
48,home,9,-0.8333
48,conference,9,1.5278
49,work,9,0.5556
49,home,9,0.4167
49,conference,9,0.6944
50,work,9,0.6944
50,home,9,0.9722
50,conference,9,0.6944
51,work,9,0.0000
51,home,9,0.0000
51,conference,9,1.5278
