episode,mask,o,c,e,a,n,norm
0,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_work,-0.00300,0.00438,-0.02951,-0.01317,0.00332,0.03292
1,mask_home,-0.00189,-0.00280,-0.00151,0.00011,0.00164,0.00405
1,mask_conference,-0.00008,-0.00697,0.00975,0.00711,-0.00024,0.01394
2,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2,mask_work,-0.00634,0.00924,-0.07149,-0.02937,0.00738,0.07844
2,mask_home,-0.00676,-0.01121,-0.00430,0.00273,0.00491,0.01488
2,mask_conference,0.00538,-0.01011,0.02762,0.01588,-0.00156,0.03389
3,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
3,mask_work,-0.00424,0.01461,-0.08652,-0.03506,0.00549,0.09474
3,mask_home,-0.01632,-0.01306,-0.01922,0.00296,0.00327,0.02874
3,mask_conference,0.01039,-0.01297,0.04306,0.02396,-0.00294,0.05209
4,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
4,mask_work,0.00200,0.02896,-0.11210,-0.04661,-0.00095,0.12483
4,mask_home,-0.02864,-0.01567,-0.03424,0.00072,0.00469,0.04754
4,mask_conference,0.01833,-0.01582,0.05838,0.03272,-0.00568,0.07140
5,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
5,mask_work,0.00652,0.04002,-0.13021,-0.05497,-0.00552,0.14714
5,mask_home,-0.04026,-0.01519,-0.05514,-0.00301,0.00410,0.07013
5,mask_conference,0.02500,-0.01663,0.06332,0.03689,-0.00749,0.07955
6,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
6,mask_work,0.01110,0.05232,-0.15135,-0.06617,-0.00969,0.17389
6,mask_home,-0.05247,-0.01754,-0.07146,-0.00581,0.00534,0.09072
6,mask_conference,0.03349,-0.02006,0.08192,0.04658,-0.01024,0.10251
7,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7,mask_work,0.01724,0.05138,-0.14536,-0.06643,-0.01199,0.16918
7,mask_home,-0.06282,-0.01520,-0.09237,-0.01038,0.00486,0.11331
7,mask_conference,0.04110,-0.02369,0.10043,0.05355,-0.01064,0.12377
8,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
8,mask_work,0.02115,0.05535,-0.15363,-0.07229,-0.01394,0.18037
8,mask_home,-0.07425,-0.01574,-0.11001,-0.01304,0.00480,0.13437
8,mask_conference,0.04675,-0.02381,0.10471,0.05504,-0.01068,0.12985
9,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9,mask_work,0.02276,0.05724,-0.15464,-0.07480,-0.01657,0.18324
9,mask_home,-0.08644,-0.00949,-0.14371,-0.02231,0.00426,0.16950
9,mask_conference,0.05404,-0.02674,0.11964,0.06303,-0.01293,0.14863
10,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
10,mask_work,0.02554,0.06323,-0.16378,-0.08166,-0.02053,0.19638
10,mask_home,-0.09700,-0.01263,-0.16080,-0.02457,0.00524,0.18988
10,mask_conference,0.06045,-0.02535,0.12356,0.06609,-0.01515,0.15544
11,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
11,mask_work,0.02862,0.07178,-0.18085,-0.09021,-0.02499,0.21781
11,mask_home,-0.10909,-0.01121,-0.19102,-0.03177,0.00695,0.22265
11,mask_conference,0.06862,-0.02266,0.13093,0.07059,-0.01928,0.16649
12,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
12,mask_work,0.03170,0.08420,-0.20311,-0.10098,-0.03012,0.24587
12,mask_home,-0.12277,-0.01525,-0.21626,-0.03637,0.00997,0.25199
12,mask_conference,0.07807,-0.01858,0.13788,0.07380,-0.02436,0.17746
13,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
13,mask_work,0.03658,0.09321,-0.21665,-0.10913,-0.03538,0.26481
13,mask_home,-0.13750,-0.01857,-0.24762,-0.04274,0.01357,0.28737
13,mask_conference,0.08775,-0.01695,0.15262,0.08112,-0.02949,0.19680
14,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
14,mask_work,0.04124,0.10197,-0.22727,-0.11589,-0.03961,0.28063
14,mask_home,-0.15294,-0.02439,-0.27255,-0.04594,0.01739,0.31730
14,mask_conference,0.09551,-0.01728,0.16666,0.08801,-0.03285,0.21453
15,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
15,mask_work,0.04739,0.11341,-0.24471,-0.12658,-0.04591,0.30516
15,mask_home,-0.16772,-0.03221,-0.29305,-0.04705,0.02111,0.34308
15,mask_conference,0.10252,-0.01617,0.17514,0.09235,-0.03571,0.22638
16,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
16,mask_work,0.05513,0.12563,-0.26010,-0.13696,-0.05243,0.32861
16,mask_home,-0.18396,-0.04081,-0.31532,-0.04824,0.02548,0.37136
16,mask_conference,0.11009,-0.01620,0.18790,0.09906,-0.03921,0.24298
17,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
17,mask_work,0.06207,0.13825,-0.27808,-0.14833,-0.05912,0.35467
17,mask_home,-0.20026,-0.04943,-0.34357,-0.05176,0.03037,0.40521
17,mask_conference,0.11771,-0.01630,0.20165,0.10623,-0.04288,0.26059
18,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18,mask_work,0.06652,0.14660,-0.28993,-0.15639,-0.06243,0.37193
18,mask_home,-0.21531,-0.06339,-0.35652,-0.04868,0.03526,0.42555
18,mask_conference,0.12611,-0.01561,0.21656,0.11389,-0.04750,0.27977
19,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
19,mask_work,0.07371,0.16198,-0.30980,-0.16964,-0.06789,0.40129
19,mask_home,-0.23224,-0.07184,-0.38366,-0.05151,0.04003,0.45885
19,mask_conference,0.13287,-0.01630,0.22958,0.12035,-0.05015,0.29602
20,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
20,mask_work,0.07966,0.17839,-0.32657,-0.18198,-0.07422,0.42830
20,mask_home,-0.24888,-0.08312,-0.41279,-0.05454,0.04585,0.49429
20,mask_conference,0.13774,-0.01453,0.23224,0.12165,-0.05105,0.30087
21,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
21,mask_work,0.08520,0.19277,-0.34355,-0.19481,-0.08051,0.45484
21,mask_home,-0.26640,-0.09205,-0.44075,-0.05730,0.05079,0.52874
21,mask_conference,0.14493,-0.01511,0.24775,0.13050,-0.05497,0.32042
22,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
22,mask_work,0.09354,0.20573,-0.35992,-0.20608,-0.08506,0.47992
22,mask_home,-0.28221,-0.10500,-0.46478,-0.05864,0.05635,0.55973
22,mask_conference,0.15153,-0.01534,0.25923,0.13764,-0.05865,0.33583
23,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
23,mask_work,0.10043,0.21987,-0.37359,-0.21644,-0.09027,0.50298
23,mask_home,-0.29944,-0.11532,-0.49845,-0.06358,0.06198,0.59941
23,mask_conference,0.15830,-0.01501,0.27069,0.14450,-0.06245,0.35119
24,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
24,mask_work,0.10880,0.23285,-0.38801,-0.22759,-0.09565,0.52683
24,mask_home,-0.31516,-0.12627,-0.50000,-0.06598,0.06742,0.61169
24,mask_conference,0.16619,-0.01634,0.28936,0.15594,-0.06810,0.37493
25,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
25,mask_work,0.11419,0.24700,-0.40021,-0.23781,-0.10199,0.54880
25,mask_home,-0.33170,-0.13341,-0.50000,-0.07007,0.07175,0.62280
25,mask_conference,0.17414,-0.01734,0.30775,0.16740,-0.07417,0.39857
26,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
26,mask_work,0.12078,0.26156,-0.41206,-0.24892,-0.10838,0.57140
26,mask_home,-0.34788,-0.14240,-0.50000,-0.07422,0.07660,0.63456
26,mask_conference,0.18173,-0.01431,0.31619,0.17412,-0.08010,0.41223
27,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
27,mask_work,0.12162,0.26746,-0.42012,-0.25602,-0.11145,0.58378
27,mask_home,-0.35920,-0.14764,-0.50000,-0.07682,0.07938,0.64267
27,mask_conference,0.18889,-0.01299,0.32663,0.18137,-0.08522,0.42743
28,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
28,mask_work,0.12852,0.27874,-0.42780,-0.26479,-0.11807,0.60106
28,mask_home,-0.36800,-0.14661,-0.50000,-0.07802,0.07971,0.64758
28,mask_conference,0.19543,-0.01064,0.33503,0.18779,-0.09039,0.44044
29,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
29,mask_work,0.13503,0.29249,-0.44406,-0.27673,-0.12394,0.62683
29,mask_home,-0.38048,-0.15079,-0.50000,-0.08008,0.08200,0.65623
29,mask_conference,0.20186,-0.00862,0.34186,0.19328,-0.09488,0.45171
30,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
30,mask_work,0.14271,0.30538,-0.45585,-0.28773,-0.13068,0.64906
30,mask_home,-0.39121,-0.15299,-0.50000,-0.08223,0.08375,0.66350
30,mask_conference,0.20787,-0.01026,0.35574,0.20212,-0.09859,0.46951
31,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
31,mask_work,0.15100,0.32173,-0.47212,-0.30005,-0.13763,0.67689
31,mask_home,-0.40241,-0.15722,-0.50000,-0.08324,0.08605,0.67156
31,mask_conference,0.21312,-0.00771,0.35778,0.20429,-0.10112,0.47481
32,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
32,mask_work,0.15750,0.33243,-0.48163,-0.30952,-0.14238,0.69524
32,mask_home,-0.41327,-0.15944,-0.50000,-0.08518,0.08776,0.67909
32,mask_conference,0.22015,-0.00936,0.37469,0.21581,-0.10679,0.49692
33,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
