update,episode,circumstance,mask,partner,style,outcome,chosen_regret,o,c,e,a,n,step_o,step_c,step_e,step_a,step_n
1,1,work,mask_work,environment,network_actively,failed,-1.2101,-0.00046,0.00105,-0.00371,-0.00172,0.00026,-0.000465,0.001055,-0.003714,-0.001716,0.000263
2,1,work,mask_work,environment,network_actively,goal_achieved,1.2011,-0.00015,-0.00029,0.00006,0.00004,0.00017,0.000312,-0.001345,0.003776,0.001751,-0.000089
3,1,work,mask_work,environment,network_actively,goal_achieved,1.1938,0.00017,-0.00162,0.00382,0.00178,0.00007,0.000318,-0.001328,0.003762,0.001748,-0.000100
4,1,work,mask_work,environment,network_actively,failed,-1.2031,-0.00031,-0.00058,0.00012,0.00007,0.00035,-0.000471,0.001038,-0.003701,-0.001715,0.000275
5,1,work,mask_work,environment,network_actively,delayed,-0.6085,-0.00058,-0.00012,-0.00172,-0.00078,0.00052,-0.000270,0.000456,-0.001844,-0.000850,0.000174
6,1,work,mask_work,environment,network_actively,failed,-1.2120,-0.00104,0.00093,-0.00544,-0.00250,0.00078,-0.000465,0.001056,-0.003717,-0.001716,0.000262
7,1,work,mask_work,environment,tidy_up,failed,-2.0154,-0.00081,0.00045,-0.00579,-0.00279,0.00112,0.000229,-0.000485,-0.000351,-0.000297,0.000331
8,1,work,mask_work,environment,network_actively,goal_achieved,1.3842,-0.00010,-0.00154,-0.00145,-0.00092,0.00123,0.000710,-0.001990,0.004339,0.001870,0.000116
9,1,work,mask_work,environment,network_actively,failed,-1.0317,-0.00018,-0.00114,-0.00461,-0.00252,0.00170,-0.000075,0.000406,-0.003156,-0.001597,0.000471
10,1,home,mask_home,environment,tidy_up,delayed,-1.1800,0.00012,-0.00046,0.00031,0.00008,0.00018,0.000124,-0.000460,0.000305,0.000076,0.000185
11,1,home,mask_home,environment,deep_work,goal_achieved,2.2008,0.00063,-0.00005,-0.00037,-0.00042,-0.00009,0.000507,0.000410,-0.000679,-0.000492,-0.000271
12,1,home,mask_home,environment,network_actively,failed,-1.3353,0.00075,0.00156,-0.00480,-0.00264,-0.00018,0.000120,0.001609,-0.004424,-0.002227,-0.000094
13,1,home,mask_home,environment,network_actively,failed,-1.3471,0.00089,0.00320,-0.00925,-0.00488,-0.00030,0.000138,0.001641,-0.004454,-0.002239,-0.000115
14,1,home,mask_home,environment,take_notes,failed,-1.1520,0.00059,0.00397,-0.01270,-0.00671,-0.00027,-0.000301,0.000772,-0.003449,-0.001833,0.000022
15,1,home,mask_home,environment,network_actively,failed,-1.1098,0.00029,0.00476,-0.01617,-0.00855,-0.00026,-0.000294,0.000787,-0.003465,-0.001838,0.000009
16,1,home,mask_home,environment,network_actively,delayed,-0.4996,0.00019,0.00493,-0.01775,-0.00953,-0.00034,-0.000104,0.000172,-0.001583,-0.000973,-0.000072
17,1,home,mask_home,environment,tidy_up,goal_achieved,3.4304,-0.00067,0.00657,-0.02160,-0.01133,-0.00067,-0.000860,0.001634,-0.003855,-0.001804,-0.000337
18,1,home,mask_home,environment,network_actively,goal_achieved,1.2166,-0.00054,0.00533,-0.01791,-0.00979,-0.00110,0.000126,-0.001238,0.003691,0.001543,-0.000428
19,1,conference,mask_conference,environment,network_actively,goal_achieved,1.1944,0.00032,-0.00133,0.00376,0.00175,-0.00010,0.000317,-0.001331,0.003764,0.001749,-0.000099
20,1,conference,mask_conference,environment,network_actively,goal_achieved,1.1871,0.00064,-0.00264,0.00751,0.00349,-0.00021,0.000323,-0.001313,0.003749,0.001746,-0.000109
21,1,conference,mask_conference,environment,network_actively,goal_achieved,1.1798,0.00097,-0.00394,0.01125,0.00524,-0.00033,0.000329,-0.001296,0.003734,0.001743,-0.000120
22,1,conference,mask_conference,environment,network_actively,goal_achieved,1.1726,0.00130,-0.00522,0.01497,0.00698,-0.00046,0.000335,-0.001278,0.003719,0.001740,-0.000131
23,1,conference,mask_conference,environment,network_actively,goal_achieved,1.1654,0.00165,-0.00648,0.01867,0.00871,-0.00060,0.000341,-0.001261,0.003704,0.001737,-0.000142
24,1,conference,mask_conference,environment,network_actively,delayed,-0.5937,0.00137,-0.00605,0.01685,0.00786,-0.00040,-0.000281,0.000424,-0.001816,-0.000850,0.000197
25,1,conference,mask_conference,environment,quick_scan,failed,-3.1205,0.00193,-0.00639,0.01942,0.00963,-0.00126,0.000563,-0.000334,0.002568,0.001767,-0.000860
26,1,conference,mask_conference,environment,network_actively,goal_achieved,1.4309,0.00260,-0.00700,0.02290,0.01183,-0.00219,0.000671,-0.000607,0.003482,0.002200,-0.000924
27,1,conference,mask_conference,environment,network_actively,goal_achieved,1.4276,0.00328,-0.00759,0.02638,0.01403,-0.00312,0.000676,-0.000595,0.003474,0.002202,-0.000934
28,2,work,mask_work,environment,take_notes,goal_achieved,2.6174,0.00052,-0.00081,-0.00575,-0.00312,0.00186,0.000694,0.000332,-0.001141,-0.000602,0.000161
29,2,work,mask_work,environment,rest_deeply,failed,-1.8968,0.00174,0.00012,-0.00548,-0.00352,0.00176,0.001219,0.000928,0.000266,-0.000402,-0.000105
30,2,work,mask_work,environment,tidy_up,failed,-2.0430,0.00296,0.00105,-0.00522,-0.00393,0.00165,0.001221,0.000932,0.000256,-0.000405,-0.000106
31,2,work,mask_work,environment,rest_deeply,delayed,-0.8035,0.00392,0.00170,-0.00568,-0.00444,0.00168,0.000963,0.000641,-0.000453,-0.000507,0.000026
32,2,work,mask_work,environment,network_actively,delayed,-0.4585,0.00490,0.00287,-0.00696,-0.00544,0.00169,0.000978,0.001174,-0.001285,-0.001003,0.000010
33,2,work,mask_work,environment,network_actively,delayed,-0.4614,0.00589,0.00405,-0.00826,-0.00645,0.00170,0.000986,0.001185,-0.001297,-0.001007,0.000006
34,2,work,mask_work,environment,network_actively,goal_achieved,1.3647,0.00743,0.00339,-0.00391,-0.00485,0.00147,0.001541,-0.000666,0.004350,0.001601,-0.000225
35,2,work,mask_work,environment,take_notes,failed,-1.7187,0.00763,0.00232,-0.00177,-0.00438,0.00174,0.000204,-0.001071,0.002144,0.000465,0.000268
36,2,work,mask_work,environment,quick_scan,delayed,-0.4358,0.00844,0.00246,-0.00078,-0.00413,0.00148,0.000809,0.000145,0.000987,0.000256,-0.000257
37,2,home,mask_home,environment,network_actively,delayed,-0.6426,-0.00096,0.00600,-0.01993,-0.01085,-0.00134,-0.000413,0.000672,-0.002013,-0.001065,-0.000234
38,2,home,mask_home,environment,rest_deeply,goal_achieved,2.9261,-0.00190,0.00605,-0.02334,-0.01211,-0.00130,-0.000944,0.000054,-0.003412,-0.001260,0.000039
39,2,home,mask_home,environment,rest_deeply,goal_achieved,2.9206,-0.00285,0.00611,-0.02676,-0.01337,-0.00126,-0.000946,0.000054,-0.003424,-0.001262,0.000036
40,2,home,mask_home,environment,network_actively,failed,-1.5917,-0.00397,0.00680,-0.03211,-0.01551,-0.00117,-0.001127,0.000697,-0.005345,-0.002135,0.000091
41,2,home,mask_home,environment,network_actively,failed,-1.6044,-0.00510,0.00751,-0.03747,-0.01765,-0.00109,-0.001128,0.000705,-0.005367,-0.002139,0.000079
42,2,home,mask_home,environment,network_actively,failed,-1.6171,-0.00623,0.00822,-0.04286,-0.01979,-0.00102,-0.001129,0.000712,-0.005388,-0.002142,0.000068
43,2,home,mask_home,environment,rest_deeply,goal_achieved,3.0938,-0.00725,0.00850,-0.04698,-0.02135,-0.00099,-0.001016,0.000277,-0.004123,-0.001565,0.000028
44,2,home,mask_home,environment,tidy_up,goal_achieved,2.7921,-0.00860,0.00929,-0.05155,-0.02301,-0.00113,-0.001351,0.000789,-0.004561,-0.001653,-0.000137
45,2,home,mask_home,environment,network_actively,failed,-1.7012,-0.00984,0.01019,-0.05713,-0.02519,-0.00115,-0.001246,0.000900,-0.005583,-0.002179,-0.000014
46,2,conference,mask_conference,environment,network_actively,goal_achieved,1.4242,0.00396,-0.00817,0.02985,0.01624,-0.00407,0.000682,-0.000584,0.003467,0.002205,-0.000945
47,2,conference,mask_conference,environment,quick_scan,failed,-3.2405,0.00457,-0.00857,0.03270,0.01816,-0.00498,0.000616,-0.000392,0.002853,0.001921,-0.000913
48,2,conference,mask_conference,environment,quick_scan,delayed,-2.1323,0.00503,-0.00927,0.03564,0.01984,-0.00551,0.000454,-0.000706,0.002945,0.001681,-0.000527
49,2,conference,mask_conference,environment,network_actively,goal_achieved,1.3684,0.00567,-0.00993,0.03912,0.02197,-0.00635,0.000641,-0.000659,0.003478,0.002130,-0.000842
50,2,conference,mask_conference,environment,network_actively,goal_achieved,1.3647,0.00632,-0.01058,0.04259,0.02410,-0.00720,0.000647,-0.000647,0.003469,0.002132,-0.000853
51,2,conference,mask_conference,environment,network_actively,goal_achieved,1.3610,0.00697,-0.01121,0.04605,0.02624,-0.00807,0.000652,-0.000635,0.003460,0.002134,-0.000863
52,2,conference,mask_conference,environment,network_actively,goal_achieved,1.3574,0.00762,-0.01184,0.04950,0.02837,-0.00894,0.000657,-0.000623,0.003451,0.002136,-0.000873
53,2,conference,mask_conference,environment,network_actively,goal_achieved,1.3538,0.00829,-0.01245,0.05294,0.03051,-0.00982,0.000662,-0.000611,0.003442,0.002137,-0.000884
54,2,conference,mask_conference,environment,rest_deeply,failed,-3.0908,0.00937,-0.01245,0.05737,0.03268,-0.01090,0.001086,-0.000005,0.004425,0.002169,-0.001081
55,3,work,mask_work,environment,network_actively,delayed,-0.0804,0.00911,0.00305,-0.00116,-0.00450,0.00128,0.000674,0.000589,-0.000379,-0.000377,-0.000197
56,3,work,mask_work,environment,network_actively,failed,-0.6857,0.00961,0.00425,-0.00342,-0.00575,0.00117,0.000492,0.001205,-0.002260,-0.001250,-0.000116
57,3,work,mask_work,environment,take_notes,failed,-1.4705,0.00993,0.00361,-0.00175,-0.00524,0.00108,0.000321,-0.000644,0.001670,0.000508,-0.000083
58,3,work,mask_work,environment,network_actively,goal_achieved,1.8186,0.01100,0.00206,0.00385,-0.00287,0.00070,0.001072,-0.001555,0.005597,0.002373,-0.000385
59,3,work,mask_work,environment,network_actively,delayed,0.0032,0.01152,0.00234,0.00381,-0.00311,0.00056,0.000518,0.000287,-0.000034,-0.000236,-0.000142
60,3,work,mask_work,environment,network_actively,failed,-0.5980,0.01185,0.00324,0.00191,-0.00422,0.00050,0.000334,0.000896,-0.001907,-0.001108,-0.000058
61,3,work,mask_work,environment,tidy_up,delayed,-0.4621,0.01228,0.00350,0.00265,-0.00402,0.00021,0.000429,0.000260,0.000740,0.000192,-0.000291
62,3,work,mask_work,environment,network_actively,goal_achieved,1.7803,0.01328,0.00205,0.00814,-0.00167,-0.00021,0.001001,-0.001446,0.005490,0.002355,-0.000424
63,3,work,mask_work,environment,network_actively,failed,-0.6245,0.01354,0.00305,0.00614,-0.00279,-0.00030,0.000265,0.000993,-0.001993,-0.001126,-0.000086
64,3,home,mask_home,environment,network_actively,failed,-1.7152,-0.01109,0.01110,-0.06273,-0.02737,-0.00117,-0.001248,0.000908,-0.005602,-0.002181,-0.000026
65,3,home,mask_home,environment,rest_deeply,goal_achieved,3.0774,-0.01225,0.01164,-0.06729,-0.02908,-0.00122,-0.001161,0.000542,-0.004558,-0.001709,-0.000052
66,3,home,mask_home,environment,deep_work,failed,-1.6958,-0.01437,0.01013,-0.06960,-0.02943,-0.00019,-0.002115,-0.001512,-0.002312,-0.000352,0.001033
67,3,home,mask_home,environment,rest_deeply,goal_achieved,3.3311,-0.01601,0.00963,-0.07306,-0.03046,0.00030,-0.001645,-0.000492,-0.003458,-0.001034,0.000492
68,3,home,mask_home,environment,network_actively,delayed,-0.8250,-0.01759,0.00882,-0.07564,-0.03110,0.00079,-0.001578,-0.000811,-0.002583,-0.000639,0.000483
69,3,home,mask_home,environment,network_actively,delayed,-0.8291,-0.01917,0.00801,-0.07823,-0.03174,0.00127,-0.001583,-0.000817,-0.002594,-0.000639,0.000485
70,3,home,mask_home,environment,network_actively,goal_achieved,1.1519,-0.02026,0.00513,-0.07498,-0.02978,0.00169,-0.001086,-0.002873,0.003253,0.001958,0.000420
71,3,home,mask_home,environment,take_notes,goal_achieved,2.3919,-0.02086,0.00630,-0.07996,-0.03142,0.00188,-0.000602,0.001166,-0.004983,-0.001636,0.000187
72,3,home,mask_home,environment,network_actively,failed,-1.7831,-0.02212,0.00710,-0.08558,-0.03336,0.00224,-0.001255,0.000800,-0.005618,-0.001941,0.000362
73,3,conference,mask_conference,environment,quick_scan,failed,-3.0665,0.01052,-0.01235,0.06175,0.03494,-0.01213,0.001143,0.000105,0.004381,0.002257,-0.001222
74,3,conference,mask_conference,environment,network_actively,goal_achieved,1.6277,0.01166,-0.01243,0.06651,0.03731,-0.01329,0.001147,-0.000083,0.004764,0.002377,-0.001159
75,3,conference,mask_conference,environment,network_actively,goal_achieved,1.6202,0.01281,-0.01251,0.07126,0.03969,-0.01445,0.001147,-0.000079,0.004745,0.002378,-0.001166
76,3,conference,mask_conference,environment,network_actively,delayed,-0.0319,0.01327,-0.01111,0.07073,0.03952,-0.01514,0.000459,0.001403,-0.000532,-0.000169,-0.000691
77,3,conference,mask_conference,environment,deep_work,goal_achieved,1.5278,0.01463,-0.01031,0.07401,0.04114,-0.01662,0.001362,0.000797,0.003281,0.001617,-0.001476
78,3,conference,mask_conference,environment,rest_deeply,failed,-3.1765,0.01599,-0.00952,0.07728,0.04276,-0.01809,0.001357,0.000790,0.003268,0.001617,-0.001474
