circumstance,style,early_pct,late_pct,shift
work,deep_work,0.1389,0.2731,0.1343
work,handle_backlog,0.0000,0.1111,0.1111
work,quick_scan,0.0602,0.0000,-0.0602
work,tidy_up,0.0741,0.1250,0.0509
work,rest_deeply,0.1157,0.0694,-0.0463
work,zone_out,0.0000,0.0000,0.0000
work,take_notes,0.1574,0.2222,0.0648
work,network_actively,0.4537,0.1991,-0.2546
work,step_away,0.0000,0.0000,0.0000
home,deep_work,0.1389,0.0000,-0.1389
home,handle_backlog,0.0000,0.0000,0.0000
home,quick_scan,0.0185,0.0926,0.0741
home,tidy_up,0.1343,0.0093,-0.1250
home,rest_deeply,0.2454,0.4074,0.1620
home,zone_out,0.0093,0.3148,0.3056
home,take_notes,0.1250,0.0000,-0.1250
home,network_actively,0.3287,0.1389,-0.1898
home,step_away,0.0000,0.0370,0.0370
conference,deep_work,0.0139,0.0370,0.0231
conference,handle_backlog,0.0000,0.0000,0.0000
conference,quick_scan,0.1852,0.1713,-0.0139
conference,tidy_up,0.0324,0.0000,-0.0324
conference,rest_deeply,0.0741,0.0509,-0.0231
conference,zone_out,0.0000,0.0000,0.0000
conference,take_notes,0.0093,0.0833,0.0741
conference,network_actively,0.6852,0.6574,-0.0278
conference,step_away,0.0000,0.0000,0.0000
