episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
1,27,-12.1350,-0.4494,2.1972,1.4466,0.5033
2,27,0.7430,0.0275,2.4047,1.7225,1.3863
3,27,-19.2990,-0.7148,2.3538,1.9918,1.6507
4,27,-12.8750,-0.4769,2.2790,2.0635,1.8890
5,27,-8.8490,-0.3277,2.2670,2.0358,1.8899
6,27,-23.0010,-0.8519,2.1432,2.0180,1.9882
7,27,-4.3890,-0.1626,2.0612,1.9509,1.9908
8,27,-3.3610,-0.1245,2.0689,2.0135,2.0711
9,27,-6.1510,-0.2278,2.0811,1.9501,2.0345
10,27,-8.0490,-0.2981,2.0150,1.9483,2.0494
11,27,-12.7850,-0.4735,1.8973,1.9983,2.1927
12,27,-10.3570,-0.3836,1.7973,2.0503,2.1428
13,27,-3.7270,-0.1380,1.8237,2.0180,2.1170
14,27,-30.5970,-1.1332,1.7756,2.0035,2.0455
15,27,-25.4710,-0.9434,1.7735,2.0832,2.0210
16,27,-12.0330,-0.4457,1.8152,2.0905,2.0129
17,27,-19.8050,-0.7335,1.8435,2.1208,2.1159
18,27,-0.1950,-0.0072,1.7987,2.1220,2.0935
19,27,-16.2570,-0.6021,1.7848,2.1655,2.0639
20,27,-14.2690,-0.5285,1.9168,2.1737,1.9149
21,27,-12.4830,-0.4623,1.9460,2.1676,1.8084
22,27,4.0430,0.1497,2.0026,2.1174,1.8157
23,27,-10.1650,-0.3765,1.8753,2.1056,1.8639
24,27,-12.6470,-0.4684,1.9114,2.0793,1.9512
25,27,-35.2010,-1.3037,1.8844,1.9922,2.0080
26,27,-15.8370,-0.5866,1.9272,2.0490,1.9329
27,27,-29.6170,-1.0969,1.9864,2.0829,1.8537
28,27,-5.2190,-0.1933,2.0248,2.0226,1.8068
29,27,-2.5390,-0.0940,2.1326,2.0478,1.8858
30,27,-34.8830,-1.2920,2.0763,1.9671,1.9447
31,27,-15.5670,-0.5766,2.0145,1.9817,1.9322
32,27,-4.1430,-0.1534,2.0805,1.9511,1.9760
33,27,-6.3610,-0.2356,2.1795,1.9935,1.9662
34,27,-40.6270,-1.5047,2.0772,1.9714,2.0363
35,27,12.2390,0.4533,2.1554,1.9596,2.0612
36,27,-21.0470,-0.7795,2.1030,1.8154,2.0763
37,27,-3.1570,-0.1169,2.1341,1.8281,1.9829
38,27,-16.7390,-0.6200,2.1839,1.8673,2.0129
39,27,5.7370,0.2125,2.0208,1.9092,1.9934
40,27,-25.3510,-0.9389,1.9963,1.9586,2.0412
41,27,-12.6350,-0.4680,2.0296,1.8108,2.0317
42,27,-31.5470,-1.1684,1.9240,1.8737,1.9767
43,27,-11.7210,-0.4341,1.8671,1.7973,1.9861
44,27,4.8470,0.1795,2.0344,1.9557,1.9523
45,27,-9.4730,-0.3509,1.8833,2.0270,1.9168
46,27,-23.1750,-0.8583,1.9760,2.1306,1.9048
47,27,-11.3670,-0.4210,2.0362,2.0462,2.0639
48,27,-16.6610,-0.6171,1.9939,2.1340,2.0987
49,27,-17.9890,-0.6663,1.9923,2.1296,2.0735
50,27,-14.1250,-0.5231,2.0157,2.1151,2.0494
51,27,0.9170,0.0340,2.0572,2.1678,2.0548
52,27,6.6310,0.2456,2.1450,2.2108,2.1065
53,27,-27.0450,-1.0017,2.1368,2.2388,2.0769
54,27,-15.0090,-0.5559,2.0838,2.1930,2.0971
55,27,-9.3650,-0.3469,2.1681,2.1992,2.0869
56,27,-21.3790,-0.7918,2.0746,2.2131,2.0510
57,27,-25.8370,-0.9569,2.0222,2.2267,1.9187
58,27,-19.5230,-0.7231,1.9523,2.1834,1.9399
59,27,4.4870,0.1662,2.0096,2.1955,1.9479
60,27,-23.3330,-0.8642,1.9473,2.1922,2.0164
61,27,-6.8970,-0.2554,1.9400,2.3014,2.0246
62,27,-32.2550,-1.1946,1.8506,2.2668,2.1143
63,27,-19.0830,-0.7068,1.8330,2.2574,2.2047
64,27,-22.8630,-0.8468,1.8009,2.2425,2.1574
65,27,7.3470,0.2721,1.6882,2.2928,2.1993
66,27,-22.7010,-0.8408,1.7196,2.2474,2.2011
67,27,-14.2270,-0.5269,1.6177,2.3374,2.2191
68,27,-19.2630,-0.7134,1.6773,2.2744,2.1579
69,27,-13.3370,-0.4940,1.6853,2.3082,2.2312
70,27,-15.5610,-0.5763,1.8381,2.3683,2.2443
71,27,-27.0150,-1.0006,1.8010,2.2876,2.2785
72,27,-10.5490,-0.3907,1.9218,2.2820,2.2139
73,27,-9.4490,-0.3500,1.9523,2.2505,2.1007
74,27,-17.7670,-0.6580,1.9789,2.2212,2.1077
75,27,4.9970,0.1851,2.0262,2.2032,2.0657
76,27,-14.5330,-0.5383,2.0507,2.2174,1.9999
77,27,8.0750,0.2991,2.1136,2.0975,1.9340
78,27,-22.0630,-0.8171,2.0027,2.1286,2.0154
79,27,-14.8530,-0.5501,1.9766,2.0975,1.9977
80,27,-7.9230,-0.2934,1.8585,2.0828,1.9046
81,27,-24.9170,-0.9229,1.8916,2.0586,1.8288
82,27,-2.2430,-0.0831,1.8081,2.0378,1.8887
83,27,-27.0870,-1.0032,1.7164,2.0129,1.9999
84,27,-28.4450,-1.0535,1.7690,1.9465,2.0569
85,27,-33.8310,-1.2530,1.8237,1.8814,2.0612
86,27,-25.3450,-0.9387,1.8985,1.8896,2.1528
87,27,-13.1450,-0.4869,1.8916,1.9200,2.2280
88,27,-18.8010,-0.6963,1.9331,1.9988,2.1865
