episode,circumstance,interactions,outcome
1,work,9,-0.9722
1,home,9,-0.9722
1,conference,9,1.5278
2,work,9,0.4167
2,home,9,-0.2778
2,conference,9,0.8333
3,work,9,-1.6667
3,home,9,-0.1389
3,conference,9,0.5556
4,work,9,-0.6944
4,home,9,0.8333
4,conference,9,-0.6944
5,work,9,-0.9722
5,home,9,-0.6944
5,conference,9,1.5278
6,work,9,-1.5278
6,home,9,-0.5556
6,conference,9,0.4167
7,work,9,-0.8333
7,home,9,-0.6944
7,conference,9,1.9444
8,work,9,0.0000
8,home,9,-0.6944
8,conference,9,1.2500
9,work,9,-0.4167
9,home,9,-0.9722
9,conference,9,1.5278
10,work,9,0.4167
10,home,9,-0.5556
10,conference,9,0.1389
11,work,9,-1.3889
11,home,9,-0.1389
11,conference,9,0.9722
12,work,9,-1.3889
12,home,9,0.0000
12,conference,9,1.1111
13,work,9,0.1389
13,home,9,-0.1389
13,conference,9,0.5556
14,work,9,-0.8333
14,home,9,-1.5278
14,conference,9,-0.1389
15,work,9,-1.5278
15,home,9,-0.9722
15,conference,9,0.5556
16,work,9,0.6944
16,home,9,-1.1111
16,conference,9,0.0000
17,work,9,-1.5278
17,home,9,-0.2778
17,conference,9,0.4167
18,work,9,0.4167
18,home,9,-0.5556
18,conference,9,0.9722
19,work,9,-1.5278
19,home,9,-1.3889
19,conference,9,2.0833
20,work,9,-1.8056
20,home,9,-0.9722
20,conference,9,2.0833
21,work,9,-1.2500
21,home,9,-0.8333
21,conference,9,1.6667
22,work,9,0.4167
22,home,9,-1.1111
22,conference,9,2.0833
23,work,9,-1.1111
23,home,9,-1.6667
23,conference,9,2.5000
24,work,9,-0.4167
24,home,9,-0.2778
24,conference,9,0.1389
25,work,9,-1.3889
25,home,9,-1.1111
25,conference,9,-0.5556
26,work,9,-0.6944
26,home,9,-0.6944
26,conference,9,0.5556
27,work,9,-1.3889
27,home,9,-0.8333
27,conference,9,-0.1389
28,work,9,-0.5556
28,home,9,0.0000
28,conference,9,0.8333
29,work,9,0.4167
29,home,9,-1.1111
29,conference,9,1.2500
30,work,9,-1.5278
30,home,9,-1.3889
30,conference,9,-0.1389
31,work,9,-1.9444
31,home,9,-0.1389
31,conference,9,1.2500
32,work,9,0.5556
32,home,9,-0.5556
32,conference,9,0.4167
33,work,9,0.1389
33,home,9,0.1389
33,conference,9,-0.1389
34,work,9,-2.0833
34,home,9,-0.8333
34,conference,9,-0.6944
35,work,9,1.1111
35,home,9,-0.1389
35,conference,9,1.2500
36,work,9,0.0000
36,home,9,-1.6667
36,conference,9,0.2778
37,work,9,-0.1389
37,home,9,-0.8333
37,conference,9,1.5278
38,work,9,-0.6944
38,home,9,-1.2500
38,conference,9,0.9722
39,work,9,0.0000
39,home,9,0.0000
39,conference,9,1.5278
40,work,9,-1.2500
40,home,9,-0.6944
40,conference,9,0.0000
41,work,9,-0.8333
41,home,9,-1.6667
41,conference,9,1.9444
42,work,9,-2.2222
42,home,9,-1.2500
42,conference,9,0.8333
43,work,9,-0.9722
43,home,9,-1.1111
43,conference,9,1.6667
44,work,9,0.8333
44,home,9,-0.1389
44,conference,9,0.6944
45,work,9,-1.1111
45,home,9,-1.5278
45,conference,9,2.5000
46,work,9,0.0000
46,home,9,-1.9444
46,conference,9,0.2778
47,work,9,0.6944
47,home,9,-0.5556
47,conference,9,-0.5556
48,work,9,-1.1111
48,home,9,-1.1111
48,conference,9,1.2500
49,work,9,-0.6944
49,home,9,-1.5278
49,conference,9,1.1111
50,work,9,-0.9722
50,home,9,-0.1389
50,conference,9,0.4167
51,work,9,0.2778
51,home,9,-0.8333
51,conference,9,1.5278
52,work,9,-0.2778
52,home,9,-0.6944
52,conference,9,2.5000
53,work,9,-0.8333
53,home,9,-1.5278
53,conference,9,0.2778
54,work,9,-0.5556
54,home,9,-0.9722
54,conference,9,0.6944
55,work,9,0.1389
55,home,9,-0.9722
55,conference,9,0.6944
56,work,9,-2.0833
56,home,9,-0.1389
56,conference,9,0.6944
57,work,9,-0.8333
57,home,9,-1.5278
57,conference,9,0.4167
58,work,9,-1.1111
58,home,9,-0.2778
58,conference,9,0.0000
59,work,9,-0.1389
59,home,9,-0.5556
59,conference,9,2.0833
60,work,9,-0.9722
60,home,9,-1.5278
60,conference,9,0.6944
61,work,9,-1.6667
61,home,9,0.1389
61,conference,9,1.5278
62,work,9,-1.3889
62,home,9,-1.8056
62,conference,9,0.5556
63,work,9,-1.2500
63,home,9,0.0000
63,conference,9,0.0000
64,work,9,-0.9722
64,home,9,-1.1111
64,conference,9,0.4167
65,work,9,0.8333
65,home,9,-0.8333
65,conference,9,1.6667
66,work,9,-0.9722
66,home,9,-0.9722
66,conference,9,0.2778
67,work,9,-0.9722
67,home,9,-1.2500
67,conference,9,1.5278
68,work,9,-1.8056
68,home,9,-0.9722
68,conference,9,1.5278
69,work,9,0.1389
69,home,9,0.1389
69,conference,9,-0.8333
70,work,9,-0.6944
70,home,9,-0.2778
70,conference,9,0.1389
71,work,9,-0.8333
71,home,9,-1.6667
71,conference,9,0.4167
72,work,9,-0.4167
72,home,9,-0.8333
72,conference,9,0.9722
73,work,9,-1.2500
73,home,9,0.0000
73,conference,9,1.1111
74,work,9,-0.4167
74,home,9,-0.9722
74,conference,9,0.2778
75,work,9,-0.4167
75,home,9,0.2778
75,conference,9,1.5278
76,work,9,-0.6944
76,home,9,-1.1111
76,conference,9,1.1111
77,work,9,0.1389
77,home,9,-0.4167
77,conference,9,2.0833
78,work,9,-0.6944
78,home,9,-0.5556
78,conference,9,-0.2778
79,work,9,-0.6944
79,home,9,-0.6944
79,conference,9,0.5556
80,work,9,-1.5278
80,home,9,0.2778
80,conference,9,1.2500
81,work,9,-0.6944
81,home,9,-1.8056
81,conference,9,0.6944
82,work,9,-0.4167
82,home,9,-0.9722
82,conference,9,2.0833
83,work,9,-1.9444
83,home,9,-1.1111
83,conference,9,0.9722
84,work,9,0.4167
84,home,9,-2.0833
84,conference,9,-0.5556
85,work,9,-1.5278
85,home,9,-0.9722
85,conference,9,-0.4167
86,work,9,-1.1111
86,home,9,-1.1111
86,conference,9,0.2778
87,work,9,-0.2778
87,home,9,-1.3889
87,conference,9,1.1111
88,work,9,-0.8333
88,home,9,-1.1111
88,conference,9,0.6944
89,work,9,-0.6944
89,home,9,-2.0833
89,conference,9,0.6944
90,work,9,-2.0833
90,home,9,0.1389
90,conference,9,1.3889
91,work,9,1.1111
91,home,9,-1.5278
91,conference,9,0.5556
92,work,9,-1.1111
92,home,9,0.9722
92,conference,9,2.0833
93,work,9,-0.1389
93,home,9,-1.1111
93,conference,9,1.1111
94,work,9,-0.5556
94,home,9,-0.6944
94,conference,9,1.5278
95,work,9,-1.3889
95,home,9,-0.4167
95,conference,9,1.1111
96,work,9,-1.2500
96,home,9,0.0000
96,conference,9,-0.5556
97,work,9,-1.9444
97,home,9,-1.3889
97,conference,9,0.0000
98,work,9,-0.6944
98,home,9,-1.6667
98,conference,9,1.5278
99,work,9,-1.6667
99,home,9,-0.1389
99,conference,9,1.6667
100,work,9,-1.2500
100,home,9,-1.3889
100,conference,9,0.6944
101,work,9,-0.1389
101,home,9,-1.3889
101,conference,9,1.3889
102,work,9,0.0000
102,home,9,-0.4167
102,conference,9,0.9722
103,work,9,-2.0833
103,home,9,-1.5278
103,conference,9,1.2500
104,work,9,-0.6944
104,home,9,-1.6667
104,conference,9,0.4167
105,work,9,-1.1111
105,home,9,-1.3889
105,conference,9,-0.1389
106,work,9,-1.2500
106,home,9,-0.4167
106,conference,9,1.1111
107,work,9,0.0000
107,home,9,-1.3889
107,conference,9,0.5556
108,work,9,-1.1111
108,home,9,-0.4167
108,conference,9,1.5278
109,work,9,-0.9722
109,home,9,-0.8333
109,conference,9,0.6944
110,work,9,-0.2778
110,home,9,-1.3889
110,conference,9,0.6944
111,work,9,-2.0833
111,home,9,-1.1111
111,conference,9,1.2500
112,work,9,0.4167
112,home,9,-0.1389
112,conference,9,0.1389
113,work,9,-1.1111
113,home,9,-0.5556
113,conference,9,1.1111
114,work,9,-0.2778
114,home,9,-1.1111
114,conference,9,1.5278
115,work,9,-0.1389
115,home,9,-1.1111
115,conference,9,0.8333
116,work,9,-0.9722
116,home,9,-0.5556
116,conference,9,-0.2778
117,work,9,-0.5556
117,home,9,-0.4167
117,conference,9,0.6944
118,work,9,-0.9722
118,home,9,0.4167
118,conference,9,1.2500
119,work,9,-0.6944
119,home,9,0.6944
119,conference,9,2.0833
120,work,9,0.0000
120,home,9,-1.2500
120,conference,9,0.4167
