update,episode,circumstance,mask,partner,style,outcome,chosen_regret,o,c,e,a,n,step_o,step_c,step_e,step_a,step_n
1,1,work,mask_work,environment,network_actively,failed,-1.2101,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.000000,0.000000,-0.000000,-0.000000,0.000000
2,1,work,mask_work,environment,take_notes,delayed,0.1155,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1,work,mask_work,environment,deep_work,goal_achieved,3.5320,-0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,-0.000000
4,1,work,mask_work,environment,rest_deeply,delayed,0.2337,-0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
5,1,work,mask_work,environment,quick_scan,failed,-0.7759,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
6,1,work,mask_work,environment,take_notes,goal_achieved,3.6913,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
7,1,work,mask_work,environment,deep_work,delayed,0.3270,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
8,1,work,mask_work,environment,network_actively,failed,-0.9152,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
9,1,work,mask_work,environment,take_notes,failed,-0.6542,-0.00000,0.00000,-0.00000,-0.00000,-0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
10,1,home,mask_home,environment,take_notes,failed,-2.3087,-0.00000,-0.00000,0.00000,0.00000,0.00000,-0.000000,-0.000000,0.000000,0.000000,0.000000
11,1,home,mask_home,environment,network_actively,delayed,-0.3618,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.000000,0.000000,-0.000000,-0.000000,0.000000
12,1,home,mask_home,environment,network_actively,delayed,-0.3618,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
13,1,home,mask_home,environment,quick_scan,goal_achieved,3.2438,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
14,1,home,mask_home,environment,network_actively,failed,-1.2213,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
15,1,home,mask_home,environment,deep_work,goal_achieved,2.9646,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
16,1,home,mask_home,environment,network_actively,failed,-1.4348,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
17,1,home,mask_home,environment,network_actively,failed,-1.4348,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
18,1,home,mask_home,environment,network_actively,delayed,-0.8337,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.000000,-0.000000,0.000000,0.000000,0.000000
19,1,conference,mask_conference,environment,network_actively,goal_achieved,1.1944,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.000000,-0.000000,0.000000,0.000000,-0.000000
20,1,conference,mask_conference,environment,network_actively,goal_achieved,1.1944,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
21,1,conference,mask_conference,environment,rest_deeply,failed,-3.3702,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
22,1,conference,mask_conference,environment,network_actively,delayed,-0.3056,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,-0.000000,-0.000000,0.000000
