circumstance,style,early_pct,late_pct,shift
work,deep_work,0.1157,0.0787,-0.0370
work,handle_backlog,0.0000,0.0000,0.0000
work,quick_scan,0.0880,0.1157,0.0278
work,tidy_up,0.0370,0.0833,0.0463
work,rest_deeply,0.1111,0.0926,-0.0185
work,zone_out,0.0000,0.0000,0.0000
work,take_notes,0.0833,0.1204,0.0370
work,network_actively,0.5648,0.5093,-0.0556
work,step_away,0.0000,0.0000,0.0000
home,deep_work,0.0833,0.0833,0.0000
home,handle_backlog,0.0000,0.0000,0.0000
home,quick_scan,0.1250,0.1296,0.0046
home,tidy_up,0.0694,0.0556,-0.0139
home,rest_deeply,0.1157,0.1157,0.0000
home,zone_out,0.0000,0.0000,0.0000
home,take_notes,0.0787,0.1296,0.0509
home,network_actively,0.5278,0.4861,-0.0417
home,step_away,0.0000,0.0000,0.0000
conference,deep_work,0.0880,0.0648,-0.0231
conference,handle_backlog,0.0000,0.0000,0.0000
conference,quick_scan,0.0926,0.1019,0.0093
conference,tidy_up,0.0926,0.1157,0.0231
conference,rest_deeply,0.0972,0.1157,0.0185
conference,zone_out,0.0000,0.0000,0.0000
conference,take_notes,0.0648,0.0741,0.0093
conference,network_actively,0.5648,0.5278,-0.0370
conference,step_away,0.0000,0.0000,0.0000
