episode,mask,o,c,e,a,n,norm
0,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_work,0.00491,0.00005,-0.00311,-0.01100,-0.00344,0.01291
1,mask_home,0.00287,-0.00630,0.00605,-0.00311,-0.00332,0.01026
1,mask_conference,-0.00066,0.00155,-0.00066,-0.00007,0.00031,0.00183
2,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2,mask_work,0.00797,0.01040,-0.01061,-0.02229,-0.00579,0.02854
2,mask_home,0.00539,-0.00915,0.01330,-0.00380,-0.00669,0.01868
2,mask_conference,0.00358,0.00703,-0.00012,-0.00734,-0.00363,0.01137
3,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
3,mask_work,0.00820,0.03099,-0.02117,-0.02633,-0.00538,0.04688
3,mask_home,0.00255,-0.01245,0.02021,0.00281,-0.00636,0.02486
3,mask_conference,0.01145,0.02276,0.00456,-0.01239,-0.01068,0.03062
4,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
4,mask_work,0.00831,0.05201,-0.03201,-0.03041,-0.00495,0.06891
4,mask_home,0.00144,-0.01506,0.02815,0.00806,-0.00716,0.03373
4,mask_conference,0.01932,0.04009,0.00842,-0.01738,-0.01764,0.05162
5,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
5,mask_work,0.00830,0.07347,-0.04311,-0.03452,-0.00452,0.09240
5,mask_home,-0.00046,-0.02120,0.03700,0.01280,-0.00785,0.04521
5,mask_conference,0.02933,0.05811,0.01455,-0.02353,-0.02660,0.07556
6,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
6,mask_work,0.00793,0.09553,-0.05473,-0.03892,-0.00397,0.11711
6,mask_home,-0.00192,-0.02820,0.04598,0.01637,-0.00893,0.05710
6,mask_conference,0.03920,0.07671,0.02056,-0.02871,-0.03529,0.09956
7,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7,mask_work,0.00743,0.11801,-0.06662,-0.04337,-0.00340,0.14252
7,mask_home,-0.00400,-0.03233,0.05436,0.02084,-0.00967,0.06742
7,mask_conference,0.04914,0.09420,0.02578,-0.03473,-0.04383,0.12280
8,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
8,mask_work,0.00684,0.14088,-0.07875,-0.04783,-0.00284,0.16850
8,mask_home,-0.00531,-0.04022,0.06253,0.02304,-0.01079,0.07876
8,mask_conference,0.05973,0.10745,0.03245,-0.04233,-0.05310,0.14414
9,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9,mask_work,0.00613,0.16415,-0.09116,-0.05234,-0.00226,0.19503
9,mask_home,-0.00677,-0.04839,0.07017,0.02497,-0.01171,0.08985
9,mask_conference,0.06941,0.12465,0.03763,-0.04798,-0.06142,0.16687
10,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
10,mask_work,0.00530,0.18781,-0.10383,-0.05690,-0.00166,0.22209
10,mask_home,-0.00872,-0.05618,0.07714,0.02835,-0.01196,0.10064
10,mask_conference,0.07944,0.14005,0.04333,-0.05434,-0.07003,0.18884
11,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
11,mask_work,0.00464,0.21170,-0.11651,-0.06120,-0.00119,0.24932
11,mask_home,-0.00971,-0.06371,0.08484,0.03110,-0.01300,0.11175
11,mask_conference,0.08857,0.15660,0.04824,-0.05965,-0.07795,0.21054
12,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
12,mask_work,0.00369,0.23605,-0.12961,-0.06572,-0.00063,0.27722
12,mask_home,-0.01061,-0.06974,0.09197,0.03363,-0.01404,0.12151
12,mask_conference,0.09918,0.16808,0.05493,-0.06747,-0.08709,0.23074
13,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
13,mask_work,0.00154,0.25896,-0.14262,-0.07081,0.00022,0.30400
13,mask_home,-0.01300,-0.07652,0.09861,0.03794,-0.01391,0.13184
13,mask_conference,0.10801,0.18240,0.06064,-0.07281,-0.09501,0.25088
14,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
14,mask_work,0.00060,0.28292,-0.15582,-0.07556,0.00093,0.33171
14,mask_home,-0.01242,-0.08402,0.10726,0.03858,-0.01625,0.14307
14,mask_conference,0.11746,0.19555,0.06695,-0.07786,-0.10282,0.27047
15,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
15,mask_work,-0.00000,0.30458,-0.16784,-0.08003,0.00161,0.35685
15,mask_home,-0.01311,-0.09044,0.11646,0.04215,-0.01776,0.15494
15,mask_conference,0.12693,0.21057,0.07230,-0.08269,-0.11045,0.29106
16,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
16,mask_work,-0.00116,0.32547,-0.17964,-0.08449,0.00228,0.38125
16,mask_home,-0.01378,-0.09660,0.12436,0.04522,-0.01895,0.16550
16,mask_conference,0.13645,0.22444,0.07821,-0.08706,-0.11789,0.31078
17,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
17,mask_work,-0.00270,0.34710,-0.19226,-0.08955,0.00323,0.40680
17,mask_home,-0.01443,-0.10466,0.13269,0.04832,-0.02014,0.17751
17,mask_conference,0.14670,0.23671,0.08496,-0.09236,-0.12595,0.33040
18,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18,mask_work,-0.00340,0.36985,-0.20534,-0.09457,0.00417,0.43350
18,mask_home,-0.01393,-0.10938,0.14133,0.05008,-0.02251,0.18748
18,mask_conference,0.15721,0.24896,0.09245,-0.09716,-0.13415,0.35026
19,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
19,mask_work,-0.00437,0.39299,-0.21884,-0.09981,0.00520,0.46081
19,mask_home,-0.01537,-0.11642,0.14953,0.05471,-0.02315,0.19919
19,mask_conference,0.16682,0.26326,0.09832,-0.10109,-0.14149,0.37019
20,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
20,mask_work,-0.00539,0.41568,-0.23214,-0.10489,0.00617,0.48759
20,mask_home,-0.01547,-0.12331,0.15835,0.05668,-0.02517,0.21063
20,mask_conference,0.17587,0.27726,0.10413,-0.10497,-0.14874,0.38960
21,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
21,mask_work,-0.00692,0.43964,-0.24636,-0.11027,0.00722,0.51598
21,mask_home,-0.01610,-0.13044,0.16571,0.05875,-0.02642,0.22110
21,mask_conference,0.18606,0.28751,0.11146,-0.10980,-0.15648,0.40773
22,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
22,mask_work,-0.00830,0.46287,-0.26025,-0.11553,0.00825,0.54357
22,mask_home,-0.01580,-0.13582,0.17342,0.05962,-0.02862,0.23053
22,mask_conference,0.19611,0.29777,0.11872,-0.11441,-0.16410,0.42572
23,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
23,mask_work,-0.00937,0.48453,-0.27316,-0.12031,0.00913,0.56924
23,mask_home,-0.01604,-0.14043,0.18131,0.06223,-0.03036,0.24010
23,mask_conference,0.20533,0.31018,0.12473,-0.11794,-0.17095,0.44392
24,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
24,mask_work,-0.01053,0.50000,-0.28695,-0.12545,0.01014,0.59016
24,mask_home,-0.01535,-0.14554,0.19010,0.06386,-0.03295,0.25044
24,mask_conference,0.21562,0.32103,0.13067,-0.12296,-0.17825,0.46208
25,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
25,mask_work,-0.01140,0.50000,-0.30103,-0.13060,0.01115,0.59827
25,mask_home,-0.01216,-0.15177,0.19977,0.06145,-0.03762,0.26130
25,mask_conference,0.22524,0.33213,0.13679,-0.12708,-0.18524,0.47981
26,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
26,mask_work,-0.01274,0.50000,-0.31554,-0.13575,0.01209,0.60688
26,mask_home,-0.01053,-0.15644,0.20814,0.06123,-0.04092,0.27080
26,mask_conference,0.23531,0.33960,0.14444,-0.13224,-0.19283,0.49622
27,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
27,mask_work,-0.01333,0.50000,-0.32753,-0.14036,0.01298,0.61427
27,mask_home,-0.01028,-0.16226,0.21574,0.06222,-0.04308,0.28054
27,mask_conference,0.24479,0.35051,0.15087,-0.13570,-0.19959,0.51361
28,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
28,mask_work,-0.01454,0.50000,-0.34141,-0.14544,0.01394,0.62300
28,mask_home,-0.00944,-0.16791,0.22349,0.06231,-0.04574,0.29018
28,mask_conference,0.25439,0.36073,0.15741,-0.13952,-0.20649,0.53078
29,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
29,mask_work,-0.01532,0.50000,-0.35500,-0.15044,0.01489,0.63176
29,mask_home,-0.00923,-0.17440,0.23147,0.06272,-0.04815,0.30055
29,mask_conference,0.26394,0.37025,0.16371,-0.14393,-0.21346,0.54757
30,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
30,mask_work,-0.01674,0.50000,-0.36880,-0.15553,0.01585,0.64088
30,mask_home,-0.00947,-0.17953,0.23856,0.06399,-0.04998,0.30955
30,mask_conference,0.27427,0.37824,0.17081,-0.14873,-0.22075,0.56420
31,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
31,mask_work,-0.01751,0.50000,-0.38241,-0.16038,0.01671,0.65003
31,mask_home,-0.01095,-0.18450,0.24530,0.06684,-0.05090,0.31842
31,mask_conference,0.28378,0.38821,0.17714,-0.15245,-0.22747,0.58103
32,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
32,mask_work,-0.01880,0.50000,-0.39644,-0.16547,0.01764,0.65970
32,mask_home,-0.00970,-0.19051,0.25319,0.06672,-0.05379,0.32839
32,mask_conference,0.29291,0.39757,0.18454,-0.15597,-0.23459,0.59772
33,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
33,mask_work,-0.01850,0.50000,-0.40981,-0.17042,0.01863,0.66908
