partner,style,share
carol,drop_everything,0.1806
carol,help_after_task,0.0731
carol,pair_up,0.2398
carol,teach,0.1694
carol,quick_tip,0.1056
carol,delegate,0.0028
carol,joke_deflect,0.2287
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1537
dave,help_after_task,0.0611
dave,pair_up,0.2463
dave,teach,0.2093
dave,quick_tip,0.1093
dave,delegate,0.0037
dave,joke_deflect,0.2167
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1759
bob,help_after_task,0.0611
bob,pair_up,0.2463
bob,teach,0.1824
bob,quick_tip,0.1083
bob,delegate,0.0046
bob,joke_deflect,0.2213
bob,polite_decline,0.0000
bob,ignore,0.0000
