circumstance,style,early_pct,late_pct,shift
work,drop_everything,0.2083,0.0694,-0.1389
work,help_after_task,0.0417,0.1713,0.1296
work,pair_up,0.2176,0.2130,-0.0046
work,teach,0.1667,0.3009,0.1343
work,quick_tip,0.1343,0.1019,-0.0324
work,delegate,0.0000,0.0000,0.0000
work,joke_deflect,0.2315,0.1435,-0.0880
work,polite_decline,0.0000,0.0000,0.0000
work,ignore,0.0000,0.0000,0.0000
home,drop_everything,0.2593,0.2639,0.0046
home,help_after_task,0.0093,0.0000,-0.0093
home,pair_up,0.2361,0.2824,0.0463
home,teach,0.1481,0.0972,-0.0509
home,quick_tip,0.0926,0.0833,-0.0093
home,delegate,0.0000,0.0000,0.0000
home,joke_deflect,0.2546,0.2731,0.0185
home,polite_decline,0.0000,0.0000,0.0000
home,ignore,0.0000,0.0000,0.0000
conference,drop_everything,0.1898,0.1019,-0.0880
conference,help_after_task,0.0509,0.0556,0.0046
conference,pair_up,0.1991,0.2824,0.0833
conference,teach,0.1667,0.1713,0.0046
conference,quick_tip,0.1065,0.1111,0.0046
conference,delegate,0.0000,0.0139,0.0139
conference,joke_deflect,0.2870,0.2639,-0.0231
conference,polite_decline,0.0000,0.0000,0.0000
conference,ignore,0.0000,0.0000,0.0000
