episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
1,27,-23.9950,-0.8887,1.8911,2.0588,1.8366
2,27,-34.8890,-1.2922,2.1916,2.2880,2.2608
3,27,-24.7390,-0.9163,2.3695,2.2631,2.2856
4,27,-20.1410,-0.7460,2.2917,2.1897,2.4116
5,27,-33.4210,-1.2378,2.2348,2.1514,2.4046
6,27,-28.0310,-1.0382,2.2148,2.1508,2.3572
7,27,-27.3290,-1.0122,2.3065,2.1322,2.3046
8,27,-29.5410,-1.0941,2.2978,2.1833,2.2949
9,27,-32.3290,-1.1974,2.3402,2.2706,2.3149
10,27,-27.6950,-1.0257,2.3466,2.3139,2.3572
11,27,-12.2810,-0.4549,2.3350,2.2665,2.3685
12,27,-25.1290,-0.9307,2.3529,2.2932,2.3818
13,27,-27.2450,-1.0091,2.3548,2.3227,2.3927
14,27,-35.1170,-1.3006,2.3739,2.3641,2.3894
15,27,-14.1030,-0.5223,2.4048,2.3746,2.4018
16,27,-31.5190,-1.1674,2.4294,2.3688,2.4464
17,27,-11.9750,-0.4435,2.4204,2.3993,2.4886
18,27,-32.8270,-1.2158,2.4771,2.3849,2.4949
19,27,-32.1370,-1.1903,2.4767,2.3512,2.4620
20,27,-42.3890,-1.5700,2.5140,2.3635,2.4542
21,27,-15.5310,-0.5752,2.5118,2.3673,2.4485
22,27,-22.2930,-0.8257,2.5434,2.3299,2.4534
23,27,-32.7430,-1.2127,2.5066,2.3212,2.4257
24,27,-28.8870,-1.0699,2.5263,2.3172,2.4323
25,27,-24.9250,-0.9231,2.5315,2.3418,2.4419
26,27,-25.8970,-0.9591,2.4606,2.3954,2.4498
27,27,-4.7450,-0.1757,2.3638,2.3413,2.4246
28,27,-22.4310,-0.8308,2.4029,2.3308,2.4564
29,27,-10.4590,-0.3874,2.3786,2.2649,2.4436
30,27,-20.3810,-0.7549,2.3945,2.2017,2.4210
31,27,-18.2290,-0.6751,2.4065,2.1457,2.4107
32,27,-24.8650,-0.9209,2.4192,2.1332,2.4083
33,27,-18.2350,-0.6754,2.4425,2.1278,2.4196
34,27,-24.8470,-0.9203,2.4492,2.0869,2.4175
35,27,-19.7030,-0.7297,2.4493,2.1284,2.4107
36,27,-4.0910,-0.1515,2.4917,2.0691,2.4113
37,27,-25.1530,-0.9316,2.5084,2.1267,2.4342
38,27,-17.1130,-0.6338,2.4968,2.1619,2.3926
39,27,6.1490,0.2277,2.5259,2.2038,2.3744
40,27,-12.9830,-0.4809,2.5227,2.2003,2.3636
41,27,-45.7650,-1.6950,2.5089,2.2478,2.3513
42,27,-5.5790,-0.2066,2.4972,2.2405,2.4059
43,27,-37.7250,-1.3972,2.5183,2.2417,2.3964
44,27,-14.6310,-0.5419,2.4935,2.2356,2.4142
45,27,-27.1910,-1.0071,2.4691,2.2354,2.3862
46,27,-37.9890,-1.4070,2.4607,2.2626,2.4449
47,27,5.0870,0.1884,2.4242,2.2354,2.4130
48,27,-24.5410,-0.9089,2.4487,2.1898,2.4186
49,27,-21.9150,-0.8117,2.4254,2.2355,2.4367
50,27,-24.3850,-0.9031,2.4530,2.2549,2.4495
51,27,-17.3770,-0.6436,2.4217,2.2097,2.4553
52,27,-10.3450,-0.3831,2.4586,2.1881,2.4683
