episode,circumstance,interactions,outcome
1,work,9,-1.6667
1,home,9,0.0000
1,conference,9,-0.5556
2,work,9,-2.5000
2,home,9,0.8333
2,conference,9,-0.5556
3,work,9,-1.6667
3,home,9,0.2778
3,conference,9,-1.1111
4,work,9,-0.5556
4,home,9,-0.8333
4,conference,9,0.2778
5,work,9,-2.2222
5,home,9,0.2778
5,conference,9,-0.5556
6,work,9,-1.6667
6,home,9,-0.2778
6,conference,9,-0.2778
7,work,9,-1.9444
7,home,9,0.0000
7,conference,9,-1.6667
8,work,9,-2.2222
8,home,9,-0.8333
8,conference,9,-1.6667
9,work,9,-1.9444
9,home,9,0.0000
9,conference,9,0.2778
10,work,9,-1.9444
10,home,9,-0.5556
10,conference,9,-1.3889
11,work,9,-2.2222
11,home,9,0.0000
11,conference,9,-0.2778
12,work,9,-1.6667
12,home,9,-0.5556
12,conference,9,0.2778
13,work,9,-2.2222
13,home,9,0.5556
13,conference,9,-0.2778
14,work,9,-1.6667
14,home,9,-0.8333
14,conference,9,0.0000
15,work,9,-2.5000
15,home,9,1.1111
15,conference,9,-0.5556
16,work,9,-1.6667
16,home,9,0.0000
16,conference,9,-0.2778
17,work,9,-1.3889
17,home,9,0.0000
17,conference,9,1.3889
18,work,9,-1.6667
18,home,9,-0.8333
18,conference,9,0.0000
19,work,9,-2.2222
19,home,9,0.2778
19,conference,9,0.5556
20,work,9,-1.1111
20,home,9,0.0000
20,conference,9,-0.2778
21,work,9,-1.3889
21,home,9,-0.2778
21,conference,9,0.0000
22,work,9,-1.6667
22,home,9,-1.1111
22,conference,9,-0.5556
23,work,9,-0.8333
23,home,9,-0.8333
23,conference,9,0.2778
24,work,9,-1.9444
24,home,9,-0.5556
24,conference,9,0.2778
25,work,9,-1.6667
25,home,9,-0.5556
25,conference,9,0.2778
26,work,9,-2.2222
26,home,9,-0.2778
26,conference,9,0.5556
27,work,9,-0.8333
27,home,9,-1.6667
27,conference,9,0.5556
28,work,9,-0.8333
28,home,9,-0.8333
28,conference,9,0.0000
29,work,9,-1.9444
29,home,9,0.5556
29,conference,9,-0.2778
30,work,9,-2.2222
30,home,9,0.8333
30,conference,9,0.2778
31,work,9,-1.3889
31,home,9,-0.8333
31,conference,9,0.0000
32,work,9,-1.1111
32,home,9,0.0000
32,conference,9,0.8333
33,work,9,-1.1111
33,home,9,0.2778
33,conference,9,-1.9444
34,work,9,-1.1111
34,home,9,0.5556
34,conference,9,-0.8333
35,work,9,-0.5556
35,home,9,-0.2778
35,conference,9,-1.1111
36,work,9,-0.5556
36,home,9,-0.8333
36,conference,9,-0.8333
37,work,9,-1.1111
37,home,9,0.0000
37,conference,9,0.2778
38,work,9,-1.1111
38,home,9,-0.5556
38,conference,9,1.3889
39,work,9,-2.2222
39,home,9,0.0000
39,conference,9,0.0000
40,work,9,-0.8333
40,home,9,-0.5556
40,conference,9,0.0000
41,work,9,-0.8333
41,home,9,-0.2778
41,conference,9,0.0000
42,work,9,-0.2778
42,home,9,0.0000
42,conference,9,0.0000
43,work,9,-2.2222
43,home,9,0.2778
43,conference,9,-0.5556
44,work,9,-1.3889
44,home,9,-0.5556
44,conference,9,-1.1111
45,work,9,-1.9444
45,home,9,0.0000
45,conference,9,0.0000
46,work,9,-1.3889
46,home,9,0.2778
46,conference,9,-0.2778
47,work,9,-0.8333
47,home,9,0.8333
47,conference,9,0.0000
48,work,9,-0.8333
48,home,9,-0.5556
48,conference,9,1.1111
49,work,9,-1.6667
49,home,9,0.5556
49,conference,9,-0.8333
50,work,9,-1.3889
50,home,9,0.2778
50,conference,9,0.0000
51,work,9,-1.9444
51,home,9,0.2778
51,conference,9,-0.5556
52,work,9,-1.3889
52,home,9,-0.8333
52,conference,9,-0.2778
53,work,9,-1.6667
53,home,9,-0.2778
53,conference,9,0.5556
54,work,9,0.2778
54,home,9,-0.2778
54,conference,9,0.0000
55,work,9,0.2778
55,home,9,0.0000
55,conference,9,-0.5556
56,work,9,-1.3889
56,home,9,0.5556
56,conference,9,-0.5556
57,work,9,-0.5556
57,home,9,-0.2778
57,conference,9,-0.2778
58,work,9,-1.9444
58,home,9,-0.2778
58,conference,9,0.2778
59,work,9,-1.6667
59,home,9,1.1111
59,conference,9,-0.5556
60,work,9,0.2778
60,home,9,0.0000
60,conference,9,0.5556
61,work,9,-1.1111
61,home,9,0.5556
61,conference,9,1.1111
62,work,9,-0.2778
62,home,9,0.0000
62,conference,9,-1.1111
63,work,9,-1.6667
63,home,9,0.2778
63,conference,9,-0.8333
64,work,9,0.0000
64,home,9,0.5556
64,conference,9,-0.2778
65,work,9,-0.5556
65,home,9,-0.2778
65,conference,9,0.0000
66,work,9,-1.3889
66,home,9,-1.3889
66,conference,9,0.0000
67,work,9,-1.6667
67,home,9,0.5556
67,conference,9,-0.8333
68,work,9,-2.2222
68,home,9,-0.2778
68,conference,9,0.0000
69,work,9,-1.3889
69,home,9,-0.5556
69,conference,9,0.0000
70,work,9,-1.9444
70,home,9,-0.5556
70,conference,9,0.5556
71,work,9,-1.9444
71,home,9,-0.5556
71,conference,9,0.0000
72,work,9,-0.8333
72,home,9,0.2778
72,conference,9,0.5556
73,work,9,-1.3889
73,home,9,-0.2778
73,conference,9,-0.8333
74,work,9,0.0000
74,home,9,-0.2778
74,conference,9,0.0000
75,work,9,-1.6667
75,home,9,0.5556
75,conference,9,0.8333
76,work,9,-2.5000
76,home,9,-0.5556
76,conference,9,0.2778
77,work,9,-0.8333
77,home,9,0.5556
77,conference,9,0.2778
78,work,9,-1.1111
78,home,9,-0.8333
78,conference,9,-0.8333
79,work,9,-1.3889
79,home,9,-0.5556
79,conference,9,0.0000
80,work,9,-1.6667
80,home,9,0.5556
80,conference,9,0.5556
81,work,9,-1.1111
81,home,9,-0.2778
81,conference,9,0.0000
82,work,9,-1.3889
82,home,9,0.0000
82,conference,9,0.8333
