episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
1,27,-27.1490,-1.0055,1.5305,1.8366,1.4466
2,27,-25.1050,-0.9298,2.0713,2.1916,1.7689
3,27,-22.5510,-0.8352,2.0355,2.1337,2.1304
4,27,-40.2490,-1.4907,2.0492,2.2421,2.1668
5,27,-42.5030,-1.5742,2.0308,2.2736,2.2649
6,27,-29.6250,-1.0972,2.1382,2.3510,2.2596
7,27,-17.1130,-0.6338,2.2027,2.3468,2.2924
8,27,-17.9470,-0.6647,2.2087,2.2973,2.3280
9,27,-21.9270,-0.8121,2.1754,2.2848,2.3490
10,27,-24.5470,-0.9091,2.2133,2.2796,2.3354
11,27,-32.4070,-1.2003,2.2463,2.3058,2.3193
12,27,-17.1010,-0.6334,2.2459,2.2875,2.3553
13,27,-29.9730,-1.1101,2.2900,2.2895,2.3281
14,27,-39.7990,-1.4740,2.3380,2.3197,2.3340
15,27,-30.0930,-1.1146,2.3862,2.3587,2.3009
16,27,-27.9590,-1.0355,2.3958,2.3273,2.2763
17,27,-24.8230,-0.9194,2.3980,2.3178,2.3291
18,27,-12.8630,-0.4764,2.3978,2.3056,2.3100
19,27,-12.1010,-0.4482,2.4224,2.3446,2.3159
20,27,-22.2390,-0.8237,2.4273,2.3547,2.3343
21,27,-39.8650,-1.4765,2.3815,2.3143,2.3101
22,27,-44.6490,-1.6537,2.3905,2.3269,2.3401
23,27,-37.1610,-1.3763,2.3451,2.2898,2.2767
24,27,-15.0390,-0.5570,2.2820,2.2503,2.3257
25,27,-27.0590,-1.0022,2.2526,2.1623,2.3552
26,27,-27.6470,-1.0240,2.2386,2.2391,2.3734
27,27,-35.3210,-1.3082,2.1984,2.2292,2.2355
28,27,-21.8550,-0.8094,2.2286,2.3163,2.2436
29,27,-40.7230,-1.5083,2.2009,2.3062,2.2079
30,27,-27.0170,-1.0006,2.2531,2.2917,2.1867
31,27,-27.4610,-1.0171,2.2978,2.2898,2.2457
32,27,-40.0150,-1.4820,2.2784,2.3165,2.2375
33,27,-17.3230,-0.6416,2.2938,2.3034,2.2542
34,27,-37.0530,-1.3723,2.3320,2.2878,2.2767
35,27,-32.9290,-1.2196,2.3451,2.3002,2.2892
36,27,-29.4330,-1.0901,2.3745,2.2416,2.3102
37,27,-17.4130,-0.6449,2.3919,2.2772,2.3009
38,27,-28.2950,-1.0480,2.3457,2.2295,2.3247
39,27,-37.2510,-1.3797,2.3892,2.2688,2.3295
40,27,-4.9670,-0.1840,2.3932,2.2892,2.3308
41,27,-28.8330,-1.0679,2.4248,2.2990,2.3255
42,27,-21.8370,-0.8088,2.4454,2.3066,2.3447
43,27,-19.1990,-0.7111,2.4492,2.3146,2.3523
44,27,-30.8310,-1.1419,2.4670,2.3280,2.2910
45,27,-22.2570,-0.8243,2.4317,2.3214,2.2918
46,27,-30.1350,-1.1161,2.4192,2.2840,2.2825
47,27,-35.3990,-1.3111,2.3723,2.2556,2.3201
48,27,-28.0190,-1.0377,2.3939,2.2341,2.2784
49,27,-6.8250,-0.2528,2.4030,2.2391,2.2790
50,27,-45.1470,-1.6721,2.4252,2.2893,2.2879
51,27,-21.8550,-0.8094,2.3840,2.2692,2.2433
52,27,-43.3490,-1.6055,2.3438,2.2560,2.2232
53,27,-31.8490,-1.1796,2.3316,2.2827,2.2102
54,27,-35.6750,-1.3213,2.2898,2.3054,2.2720
55,27,-17.6530,-0.6538,2.2686,2.3162,2.2495
56,27,-22.3290,-0.8270,2.3165,2.3521,2.3147
57,27,-41.7410,-1.5460,2.3515,2.3798,2.2260
58,27,-12.9290,-0.4789,2.3429,2.3594,2.2294
59,27,-42.3770,-1.5695,2.3370,2.3749,2.2202
60,27,-34.8290,-1.2900,2.2596,2.3621,2.1983
61,27,-30.2430,-1.1201,2.2658,2.3476,2.1994
62,27,-45.0270,-1.6677,2.2705,2.3600,2.1978
63,27,-35.1590,-1.3022,2.2187,2.3410,2.1624
64,27,-19.7810,-0.7326,2.2694,2.3564,2.1196
65,27,-30.2850,-1.1217,2.2731,2.3781,2.0910
66,27,-22.0950,-0.8183,2.2833,2.4158,2.0497
67,27,-34.9190,-1.2933,2.2535,2.3678,2.1444
68,27,-15.2610,-0.5652,2.2608,2.3932,2.1987
69,27,-48.3010,-1.7889,2.2576,2.3410,2.1507
70,27,-20.3450,-0.7535,2.2967,2.2991,2.1444
71,27,-29.9850,-1.1106,2.2758,2.3179,2.1507
72,27,-35.3030,-1.3075,2.2788,2.3000,2.2212
73,27,-37.4910,-1.3886,2.3041,2.2828,2.2809
74,27,-37.6350,-1.3939,2.2566,2.3133,2.3424
75,27,-17.5990,-0.6518,2.2739,2.3298,2.3854
76,27,-26.6570,-0.9873,2.2976,2.2600,2.3762
77,27,-31.7650,-1.1765,2.3025,2.2961,2.3669
78,27,-24.7510,-0.9167,2.3397,2.3613,2.3516
79,27,-14.9610,-0.5541,2.3444,2.3641,2.3471
80,27,-27.4370,-1.0162,2.3068,2.3749,2.3680
