episode,circumstance,interactions,outcome
1,work,9,-1.9444
1,home,9,0.0000
1,conference,9,-0.2778
2,work,9,-1.6667
2,home,9,0.5556
2,conference,9,-0.8333
3,work,9,-1.9444
3,home,9,0.0000
3,conference,9,0.2778
4,work,9,-1.9444
4,home,9,-0.2778
4,conference,9,-1.3889
5,work,9,-2.5000
5,home,9,-0.2778
5,conference,9,-1.1111
6,work,9,-2.2222
6,home,9,1.1111
6,conference,9,-1.3889
7,work,9,-0.8333
7,home,9,-0.5556
7,conference,9,0.2778
8,work,9,-1.6667
8,home,9,1.1111
8,conference,9,-0.5556
9,work,9,-2.5000
9,home,9,-0.2778
9,conference,9,1.1111
10,work,9,-1.1111
10,home,9,-0.8333
10,conference,9,0.0000
11,work,9,-1.1111
11,home,9,-0.5556
11,conference,9,-1.1111
12,work,9,-1.1111
12,home,9,0.2778
12,conference,9,-0.2778
13,work,9,-2.2222
13,home,9,0.5556
13,conference,9,-0.8333
14,work,9,-1.1111
14,home,9,-1.1111
14,conference,9,-1.3889
15,work,9,-1.3889
15,home,9,-1.3889
15,conference,9,0.2778
16,work,9,-1.9444
16,home,9,0.0000
16,conference,9,-0.2778
17,work,9,-1.1111
17,home,9,0.0000
17,conference,9,-0.8333
18,work,9,-1.3889
18,home,9,1.1111
18,conference,9,-0.2778
19,work,9,-1.9444
19,home,9,1.1111
19,conference,9,0.2778
20,work,9,-1.9444
20,home,9,0.0000
20,conference,9,0.2778
21,work,9,-1.9444
21,home,9,-0.5556
21,conference,9,-1.1111
22,work,9,-2.5000
22,home,9,-1.3889
22,conference,9,-0.2778
23,work,9,-2.5000
23,home,9,0.0000
23,conference,9,-0.8333
24,work,9,-1.9444
24,home,9,0.8333
24,conference,9,0.2778
25,work,9,-1.1111
25,home,9,-0.2778
25,conference,9,-0.8333
26,work,9,-1.9444
26,home,9,0.0000
26,conference,9,-0.2778
27,work,9,-1.9444
27,home,9,0.8333
27,conference,9,-1.9444
28,work,9,-1.9444
28,home,9,0.2778
28,conference,9,0.0000
29,work,9,-2.5000
29,home,9,-0.2778
29,conference,9,-0.8333
30,work,9,-1.6667
30,home,9,-0.8333
30,conference,9,0.2778
31,work,9,-1.3889
31,home,9,-0.5556
31,conference,9,-0.2778
32,work,9,-1.9444
32,home,9,-0.8333
32,conference,9,-0.8333
33,work,9,-1.6667
33,home,9,0.2778
33,conference,9,0.2778
34,work,9,-1.3889
34,home,9,-1.1111
34,conference,9,-0.8333
35,work,9,-1.6667
35,home,9,-0.8333
35,conference,9,-0.2778
36,work,9,-1.6667
36,home,9,0.0000
36,conference,9,-0.8333
37,work,9,-1.3889
37,home,9,0.5556
37,conference,9,-0.2778
38,work,9,-1.9444
38,home,9,-0.2778
38,conference,9,0.0000
39,work,9,-2.2222
39,home,9,0.5556
39,conference,9,-1.6667
40,work,9,-0.8333
40,home,9,0.8333
40,conference,9,0.2778
41,work,9,-1.6667
41,home,9,-0.2778
41,conference,9,-0.5556
42,work,9,-1.3889
42,home,9,-1.3889
42,conference,9,1.1111
43,work,9,-0.5556
43,home,9,0.0000
43,conference,9,-0.8333
44,work,9,-1.9444
44,home,9,0.0000
44,conference,9,-0.5556
45,work,9,-1.9444
45,home,9,0.2778
45,conference,9,0.0000
46,work,9,-2.2222
46,home,9,1.1111
46,conference,9,-1.3889
47,work,9,-2.2222
47,home,9,0.0000
47,conference,9,-0.8333
48,work,9,-1.3889
48,home,9,0.0000
48,conference,9,-0.8333
49,work,9,-1.9444
49,home,9,0.8333
49,conference,9,1.1111
50,work,9,-1.1111
50,home,9,-1.6667
50,conference,9,-1.3889
51,work,9,-2.5000
51,home,9,0.8333
51,conference,9,0.0000
52,work,9,-2.2222
52,home,9,-0.5556
52,conference,9,-1.1111
53,work,9,-1.9444
53,home,9,0.0000
53,conference,9,-0.8333
54,work,9,-2.5000
54,home,9,-0.5556
54,conference,9,0.0000
55,work,9,-1.9444
55,home,9,0.8333
55,conference,9,0.0000
56,work,9,-1.3889
56,home,9,-0.8333
56,conference,9,0.5556
57,work,9,-1.3889
57,home,9,-1.6667
57,conference,9,-0.8333
58,work,9,-0.8333
58,home,9,1.1111
58,conference,9,-0.8333
59,work,9,-1.9444
59,home,9,-1.1111
59,conference,9,-0.8333
