update,episode,circumstance,mask,partner,style,outcome,chosen_regret,o,c,e,a,n,step_o,step_c,step_e,step_a,step_n
1,1,work,mask_work,carol,quick_tip,rejected,-2.1114,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.000000,-0.000000,0.000000,0.000000,-0.000000
2,1,work,mask_work,dave,pair_up,rejected,-1.8915,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,-0.000000,0.000000,-0.000000,-0.000000,0.000000
3,1,work,mask_work,bob,drop_everything,rejected,-2.0261,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,-0.000000
4,1,work,mask_work,carol,pair_up,rejected,-1.6259,0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.000000,-0.000000,-0.000000,0.000000,0.000000
5,1,work,mask_work,dave,drop_everything,rejected,-1.3847,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,-0.000000
6,1,work,mask_work,bob,pair_up,rejected,-1.3127,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
7,1,work,mask_work,carol,drop_everything,rejected,-1.1192,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
8,1,work,mask_work,dave,quick_tip,accepted,3.5778,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
9,1,work,mask_work,bob,pair_up,rejected,-1.3127,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
10,1,home,mask_home,carol,pair_up,accepted,1.8257,0.00000,0.00000,0.00000,0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,-0.000000
11,1,home,mask_home,dave,joke_deflect,accepted,1.9905,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,-0.000000,0.000000,-0.000000,0.000000
12,1,home,mask_home,bob,teach,rejected,-2.1808,-0.00000,-0.00000,0.00000,-0.00000,-0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
