episode,mask,o,c,e,a,n,norm
0,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_work,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
1,mask_home,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000
1,mask_conference,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000
2,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2,mask_work,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000
2,mask_home,-0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000
2,mask_conference,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000
3,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
3,mask_work,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
3,mask_home,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
3,mask_conference,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000
4,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
4,mask_work,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
4,mask_home,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
4,mask_conference,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000
5,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
5,mask_work,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
5,mask_home,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
5,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
6,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
6,mask_work,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
6,mask_home,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000
6,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
7,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7,mask_work,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
7,mask_home,-0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000
7,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
8,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
8,mask_work,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
8,mask_home,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000
8,mask_conference,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000
9,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9,mask_work,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
9,mask_home,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000
9,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
10,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
10,mask_work,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
10,mask_home,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000
10,mask_conference,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000
11,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
11,mask_work,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
11,mask_home,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000
11,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
12,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
12,mask_work,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
12,mask_home,-0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000
12,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
13,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
13,mask_work,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
13,mask_home,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000
13,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
14,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
14,mask_work,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
14,mask_home,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000
14,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
15,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
15,mask_work,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
15,mask_home,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000
15,mask_conference,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000
16,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
16,mask_work,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
16,mask_home,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000
16,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
17,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
17,mask_work,0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000
17,mask_home,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000
17,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
18,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18,mask_work,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000
18,mask_home,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000
18,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
19,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
19,mask_work,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000
19,mask_home,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000
19,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
20,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
20,mask_work,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000
20,mask_home,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000
20,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
21,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
21,mask_work,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000
21,mask_home,-0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000
21,mask_conference,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000
22,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
22,mask_work,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000
22,mask_home,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000
22,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
23,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
23,mask_work,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000
23,mask_home,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000
23,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
24,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
24,mask_work,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000
24,mask_home,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000
24,mask_conference,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000
25,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
25,mask_work,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000
25,mask_home,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000
25,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
26,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
26,mask_work,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000
26,mask_home,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000
26,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
27,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
27,mask_work,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000
27,mask_home,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000
27,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
28,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
28,mask_work,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000
28,mask_home,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000
28,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
29,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
29,mask_work,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000
29,mask_home,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000
29,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
30,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
30,mask_work,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000
30,mask_home,-0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000
30,mask_conference,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.00000
31,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
31,mask_work,0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000
31,mask_home,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000
31,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
32,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
32,mask_work,0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000
32,mask_home,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000
32,mask_conference,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000
33,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
