partner,style,share
carol,drop_everything,0.2593
carol,help_after_task,0.0204
carol,pair_up,0.2306
carol,teach,0.1352
carol,quick_tip,0.0944
carol,delegate,0.0000
carol,joke_deflect,0.2602
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.2167
dave,help_after_task,0.0167
dave,pair_up,0.2583
dave,teach,0.1611
dave,quick_tip,0.1037
dave,delegate,0.0000
dave,joke_deflect,0.2435
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.2407
bob,help_after_task,0.0241
bob,pair_up,0.2426
bob,teach,0.1426
bob,quick_tip,0.1028
bob,delegate,0.0000
bob,joke_deflect,0.2472
bob,polite_decline,0.0000
bob,ignore,0.0000
