circumstance,style,early_pct,late_pct,shift
work,drop_everything,0.2269,0.2500,0.0231
work,help_after_task,0.0139,0.0231,0.0093
work,pair_up,0.2222,0.2407,0.0185
work,teach,0.1343,0.1528,0.0185
work,quick_tip,0.1157,0.0926,-0.0231
work,delegate,0.0000,0.0000,0.0000
work,joke_deflect,0.2870,0.2407,-0.0463
work,polite_decline,0.0000,0.0000,0.0000
work,ignore,0.0000,0.0000,0.0000
home,drop_everything,0.2500,0.2593,0.0093
home,help_after_task,0.0185,0.0046,-0.0139
home,pair_up,0.2361,0.2778,0.0417
home,teach,0.1713,0.1481,-0.0231
home,quick_tip,0.0741,0.0648,-0.0093
home,delegate,0.0000,0.0000,0.0000
home,joke_deflect,0.2500,0.2454,-0.0046
home,polite_decline,0.0000,0.0000,0.0000
home,ignore,0.0000,0.0000,0.0000
conference,drop_everything,0.2454,0.2454,0.0000
conference,help_after_task,0.0185,0.0324,0.0139
conference,pair_up,0.1898,0.2361,0.0463
conference,teach,0.1481,0.1019,-0.0463
conference,quick_tip,0.1019,0.1157,0.0139
conference,delegate,0.0000,0.0000,0.0000
conference,joke_deflect,0.2963,0.2685,-0.0278
conference,polite_decline,0.0000,0.0000,0.0000
conference,ignore,0.0000,0.0000,0.0000
