episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
1,27,-27.1790,-1.0066,1.7527,2.0588,1.8366
2,27,-17.5870,-0.6514,2.2880,2.3083,2.3936
3,27,-34.6970,-1.2851,2.3892,2.4519,2.4353
4,27,-37.6590,-1.3948,2.4982,2.4979,2.4749
5,27,-25.2730,-0.9360,2.5771,2.4689,2.5020
6,27,-27.3170,-1.0117,2.6685,2.4903,2.5311
7,27,-7.2990,-0.2703,2.6519,2.4819,2.5324
8,27,-35.1170,-1.3006,2.6596,2.4634,2.6157
9,27,-16.9270,-0.6269,2.6972,2.5128,2.5845
10,27,-29.3850,-1.0883,2.6821,2.5581,2.6098
11,27,-17.3710,-0.6434,2.6737,2.5809,2.6337
12,27,-19.8950,-0.7369,2.6403,2.5372,2.6175
13,27,-24.8710,-0.9211,2.6281,2.5382,2.6292
14,27,-32.0170,-1.1858,2.5818,2.5419,2.6606
15,27,-14.8110,-0.5486,2.5339,2.5333,2.6792
16,27,-7.5810,-0.2808,2.4957,2.5192,2.6566
17,27,-22.1490,-0.8203,2.4797,2.5030,2.6487
18,27,-2.6710,-0.0989,2.4411,2.4531,2.6506
19,27,-0.0930,-0.0034,2.3384,2.4460,2.6761
20,27,-29.5470,-1.0943,2.3392,2.4345,2.6127
21,27,-42.1070,-1.5595,2.3838,2.4477,2.6870
22,27,-10.0990,-0.3740,2.4030,2.4527,2.6620
23,27,-24.4810,-0.9067,2.4131,2.3929,2.6926
24,27,-14.8950,-0.5517,2.4451,2.3749,2.6666
25,27,-20.0870,-0.7440,2.4071,2.3635,2.6618
26,27,-25.2910,-0.9367,2.4183,2.3745,2.6309
27,27,-20.1110,-0.7449,2.4442,2.3687,2.6228
28,27,-14.4390,-0.5348,2.4282,2.4133,2.5929
29,27,-37.3710,-1.3841,2.3598,2.4327,2.6843
30,27,3.3070,0.1225,2.3582,2.3738,2.7107
31,27,-17.7130,-0.6560,2.3495,2.3135,2.6189
32,27,-32.3770,-1.1991,2.3593,2.3447,2.6329
33,27,-24.9670,-0.9247,2.3375,2.3415,2.5832
34,27,-29.6370,-1.0977,2.3294,2.3486,2.6126
35,27,-27.5870,-1.0217,2.3096,2.3476,2.6075
36,27,-27.3170,-1.0117,2.2914,2.3452,2.6046
37,27,-17.7070,-0.6558,2.3345,2.3981,2.4793
38,27,-10.5190,-0.3896,2.2798,2.3934,2.4571
39,27,-34.7090,-1.2855,2.3140,2.3340,2.4140
