episode,circumstance,interactions,outcome
1,work,9,-1.9444
1,home,9,0.0000
1,conference,9,-0.2778
2,work,9,-1.3889
2,home,9,0.5556
2,conference,9,-0.8333
3,work,9,-1.9444
3,home,9,-0.2778
3,conference,9,0.8333
4,work,9,-1.9444
4,home,9,-0.2778
4,conference,9,-1.3889
5,work,9,-2.5000
5,home,9,0.0000
5,conference,9,-1.1111
6,work,9,-1.6667
6,home,9,1.1111
6,conference,9,-1.1111
7,work,9,-0.8333
7,home,9,-0.5556
7,conference,9,0.5556
8,work,9,-1.6667
8,home,9,1.3889
8,conference,9,-0.2778
9,work,9,-2.5000
9,home,9,0.2778
9,conference,9,0.8333
10,work,9,-0.8333
10,home,9,-0.5556
10,conference,9,0.0000
11,work,9,-0.5556
11,home,9,0.2778
11,conference,9,-1.1111
12,work,9,-0.5556
12,home,9,0.5556
12,conference,9,-0.5556
13,work,9,-1.6667
13,home,9,0.0000
13,conference,9,-1.1111
14,work,9,-1.3889
14,home,9,-1.1111
14,conference,9,-0.8333
15,work,9,-1.9444
15,home,9,0.0000
15,conference,9,0.0000
16,work,9,-2.2222
16,home,9,0.0000
16,conference,9,-0.2778
17,work,9,-1.6667
17,home,9,0.5556
17,conference,9,0.0000
18,work,9,-1.3889
18,home,9,0.5556
18,conference,9,0.0000
19,work,9,-1.6667
19,home,9,1.1111
19,conference,9,0.2778
20,work,9,-1.6667
20,home,9,-0.2778
20,conference,9,0.2778
21,work,9,-1.1111
21,home,9,-0.2778
21,conference,9,-1.9444
22,work,9,-1.3889
22,home,9,-1.1111
22,conference,9,-0.5556
23,work,9,-2.2222
23,home,9,0.5556
23,conference,9,-1.1111
24,work,9,-1.3889
24,home,9,0.8333
24,conference,9,0.2778
25,work,9,-0.8333
25,home,9,-0.2778
25,conference,9,-0.2778
26,work,9,-1.9444
26,home,9,-0.2778
26,conference,9,-0.8333
27,work,9,-2.2222
27,home,9,0.8333
27,conference,9,-1.1111
28,work,9,-1.3889
28,home,9,0.2778
28,conference,9,-0.2778
29,work,9,-1.9444
29,home,9,0.0000
29,conference,9,-0.5556
30,work,9,-0.5556
30,home,9,-0.2778
30,conference,9,0.5556
31,work,9,-0.2778
31,home,9,-0.5556
31,conference,9,-0.2778
32,work,9,-1.6667
32,home,9,-0.2778
32,conference,9,0.0000
33,work,9,-1.1111
33,home,9,0.5556
33,conference,9,-0.2778
34,work,9,-1.1111
34,home,9,-0.5556
34,conference,9,0.0000
35,work,9,-1.9444
35,home,9,-0.5556
35,conference,9,-0.5556
36,work,9,-1.1111
36,home,9,-0.2778
36,conference,9,-0.2778
37,work,9,-1.1111
37,home,9,0.5556
37,conference,9,0.2778
38,work,9,-1.9444
38,home,9,0.2778
38,conference,9,0.2778
39,work,9,-0.8333
39,home,9,0.8333
39,conference,9,-0.8333
40,work,9,-0.8333
40,home,9,0.5556
40,conference,9,0.2778
41,work,9,-0.8333
41,home,9,-0.5556
41,conference,9,-1.1111
42,work,9,-0.5556
42,home,9,-0.2778
42,conference,9,0.8333
43,work,9,-1.1111
43,home,9,-0.5556
43,conference,9,-0.2778
44,work,9,-0.8333
44,home,9,0.0000
44,conference,9,-0.8333
45,work,9,-1.6667
45,home,9,0.8333
45,conference,9,-0.5556
46,work,9,-1.1111
46,home,9,1.3889
46,conference,9,-0.2778
47,work,9,-1.9444
47,home,9,0.2778
47,conference,9,0.0000
48,work,9,-1.6667
48,home,9,0.5556
48,conference,9,0.0000
49,work,9,-1.1111
49,home,9,1.1111
49,conference,9,0.5556
50,work,9,-0.8333
50,home,9,-1.1111
50,conference,9,-1.3889
51,work,9,-1.3889
51,home,9,0.5556
51,conference,9,-0.8333
52,work,9,-0.8333
52,home,9,0.5556
52,conference,9,-0.2778
53,work,9,-1.1111
53,home,9,0.0000
53,conference,9,0.0000
54,work,9,-1.3889
54,home,9,0.0000
54,conference,9,-0.8333
55,work,9,-1.3889
55,home,9,0.8333
55,conference,9,-0.5556
56,work,9,-1.3889
56,home,9,-0.2778
56,conference,9,0.2778
57,work,9,0.0000
57,home,9,-0.8333
57,conference,9,0.0000
58,work,9,-0.8333
58,home,9,1.6667
58,conference,9,0.2778
59,work,9,-1.9444
59,home,9,-0.2778
59,conference,9,-0.8333
