circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.3906,0.1594
work,mask_work,c,0.3500,0.0440,0.3940
work,mask_work,e,0.5000,-0.5000,0.0000
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3265,0.0000
home,mask_home,o,0.5500,-0.3460,0.2040
home,mask_home,c,0.3500,-0.3203,0.0297
home,mask_home,e,0.5000,-0.2761,0.2239
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3613,0.0000
conference,mask_conference,o,0.5500,-0.1163,0.4337
conference,mask_conference,c,0.3500,-0.0690,0.2810
conference,mask_conference,e,0.5000,-0.2307,0.2693
conference,mask_conference,a,0.7500,-0.4604,0.2896
conference,mask_conference,n,0.3000,-0.4462,0.0000
