episode,mask,o,c,e,a,n,norm
0,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_work,-0.03388,-0.01038,-0.03593,-0.04000,-0.02764,0.07008
1,mask_home,0.01229,-0.04000,0.01985,-0.02888,-0.04000,0.06767
1,mask_conference,0.00154,-0.01106,0.02120,-0.00729,-0.04000,0.04719
2,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2,mask_work,-0.06330,-0.02041,-0.06803,-0.07680,-0.05323,0.13336
2,mask_home,0.02219,-0.07631,0.03883,-0.05121,-0.07680,0.12784
2,mask_conference,0.00030,-0.01658,0.03238,-0.01965,-0.07680,0.08722
3,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
3,mask_work,-0.09331,-0.02789,-0.09974,-0.11066,-0.07548,0.19332
3,mask_home,0.03113,-0.10906,0.05636,-0.07125,-0.11066,0.18265
3,mask_conference,-0.00267,-0.01026,0.02581,-0.03992,-0.11066,0.12090
4,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
4,mask_work,-0.12236,-0.03343,-0.13018,-0.14180,-0.09539,0.24948
4,mask_home,0.03826,-0.13606,0.07244,-0.08776,-0.14180,0.23029
4,mask_conference,-0.00281,-0.00053,0.01639,-0.05820,-0.14180,0.15418
5,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
5,mask_work,-0.15121,-0.03599,-0.15976,-0.17046,-0.11283,0.30244
5,mask_home,0.04363,-0.15975,0.08608,-0.10331,-0.17046,0.27306
5,mask_conference,-0.00505,0.00766,0.00573,-0.07744,-0.16953,0.18670
6,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
6,mask_work,-0.17911,-0.03631,-0.18698,-0.19682,-0.12802,0.35141
6,mask_home,0.04707,-0.18056,0.09693,-0.11858,-0.19682,0.31147
6,mask_conference,-0.00812,0.01542,-0.00597,-0.09674,-0.19434,0.21787
7,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7,mask_work,-0.20478,-0.03368,-0.21202,-0.22108,-0.14126,0.39605
7,mask_home,0.04816,-0.19865,0.10520,-0.13210,-0.22108,0.34522
7,mask_conference,-0.01538,0.02259,-0.01937,-0.11698,-0.21625,0.24813
8,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
8,mask_work,-0.22840,-0.03121,-0.23506,-0.24339,-0.15347,0.43725
8,mask_home,0.04442,-0.21715,0.10718,-0.14769,-0.24339,0.37638
8,mask_conference,-0.02191,0.02986,-0.03201,-0.13333,-0.23713,0.27641
9,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9,mask_work,-0.25013,-0.02910,-0.25626,-0.26392,-0.16464,0.47522
9,mask_home,0.03723,-0.23434,0.10468,-0.16463,-0.26392,0.40499
9,mask_conference,-0.02700,0.03664,-0.04253,-0.14555,-0.25735,0.30215
10,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
10,mask_work,-0.27012,-0.02700,-0.27576,-0.28281,-0.17498,0.51023
10,mask_home,0.02768,-0.24922,0.09957,-0.18089,-0.28281,0.43069
10,mask_conference,-0.03189,0.04305,-0.05146,-0.15597,-0.27639,0.32594
11,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
11,mask_work,-0.28851,-0.02528,-0.29370,-0.30018,-0.18440,0.54244
11,mask_home,0.01609,-0.26216,0.09196,-0.19710,-0.29904,0.45356
11,mask_conference,-0.03675,0.04922,-0.05992,-0.16559,-0.29392,0.34809
12,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
12,mask_work,-0.30543,-0.02371,-0.31020,-0.31617,-0.19303,0.57210
12,mask_home,0.00298,-0.27372,0.08226,-0.21356,-0.31251,0.47431
12,mask_conference,-0.04155,0.05553,-0.06831,-0.17454,-0.31002,0.36885
13,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
13,mask_work,-0.32099,-0.02219,-0.32538,-0.33087,-0.20103,0.59941
13,mask_home,-0.00947,-0.28402,0.07269,-0.22972,-0.32479,0.49427
13,mask_conference,-0.04653,0.06119,-0.07627,-0.18307,-0.32472,0.38818
14,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
14,mask_work,-0.33531,-0.02094,-0.33935,-0.34440,-0.20830,0.62453
14,mask_home,-0.02201,-0.29353,0.06253,-0.24568,-0.33546,0.51327
14,mask_conference,-0.05148,0.06654,-0.08433,-0.19146,-0.33799,0.40631
15,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
15,mask_work,-0.34849,-0.01986,-0.35220,-0.35685,-0.21498,0.64765
15,mask_home,-0.03442,-0.30176,0.05196,-0.26192,-0.34492,0.53152
15,mask_conference,-0.05626,0.07150,-0.09174,-0.19915,-0.35023,0.42310
16,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
16,mask_work,-0.36061,-0.01873,-0.36403,-0.36830,-0.22116,0.66893
16,mask_home,-0.04706,-0.30898,0.04097,-0.27745,-0.35289,0.54852
16,mask_conference,-0.06026,0.07608,-0.09823,-0.20593,-0.36161,0.43846
17,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
17,mask_work,-0.37171,-0.01755,-0.37491,-0.37884,-0.22691,0.68850
17,mask_home,-0.05923,-0.31510,0.03042,-0.29168,-0.35991,0.56421
17,mask_conference,-0.06367,0.07991,-0.10429,-0.21250,-0.37190,0.45253
18,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18,mask_work,-0.38184,-0.01629,-0.38491,-0.38853,-0.23227,0.70649
18,mask_home,-0.07118,-0.32105,0.01984,-0.30520,-0.36585,0.57924
18,mask_conference,-0.06637,0.08362,-0.10945,-0.21808,-0.38157,0.46533
19,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
19,mask_work,-0.39112,-0.01506,-0.39412,-0.39745,-0.23722,0.72303
19,mask_home,-0.08232,-0.32621,0.01006,-0.31745,-0.37122,0.59319
19,mask_conference,-0.06856,0.08703,-0.11397,-0.22301,-0.39055,0.47700
20,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
20,mask_work,-0.39963,-0.01384,-0.40259,-0.40565,-0.24179,0.73824
20,mask_home,-0.09243,-0.33106,0.00119,-0.32870,-0.37625,0.60643
20,mask_conference,-0.07057,0.09016,-0.11803,-0.22747,-0.39885,0.48772
21,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
21,mask_work,-0.40725,-0.01263,-0.41038,-0.41320,-0.24602,0.75213
21,mask_home,-0.10205,-0.33529,-0.00740,-0.33959,-0.38076,0.61902
21,mask_conference,-0.07233,0.09316,-0.12174,-0.23147,-0.40654,0.49758
22,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
22,mask_work,-0.41409,-0.01132,-0.41755,-0.42014,-0.24998,0.76483
22,mask_home,-0.11111,-0.33930,-0.01549,-0.34951,-0.38472,0.63078
22,mask_conference,-0.07373,0.09599,-0.12501,-0.23499,-0.41369,0.50659
23,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
23,mask_work,-0.42029,-0.00990,-0.42415,-0.42653,-0.25367,0.77648
23,mask_home,-0.12015,-0.34263,-0.02367,-0.35904,-0.38798,0.64174
23,mask_conference,-0.07476,0.09842,-0.12803,-0.23835,-0.42018,0.51481
24,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
24,mask_work,-0.42584,-0.00851,-0.43022,-0.43241,-0.25711,0.78714
24,mask_home,-0.12876,-0.34529,-0.03142,-0.36784,-0.39083,0.65180
24,mask_conference,-0.07597,0.10033,-0.13089,-0.24171,-0.42602,0.52238
25,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
25,mask_work,-0.43092,-0.00708,-0.43580,-0.43782,-0.26031,0.79694
25,mask_home,-0.13682,-0.34762,-0.03867,-0.37591,-0.39336,0.66114
25,mask_conference,-0.07735,0.10182,-0.13365,-0.24510,-0.43126,0.52940
26,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
26,mask_work,-0.43553,-0.00574,-0.44094,-0.44279,-0.26325,0.80592
26,mask_home,-0.14443,-0.34945,-0.04571,-0.38407,-0.39569,0.67018
26,mask_conference,-0.07862,0.10293,-0.13600,-0.24821,-0.43607,0.53576
27,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
27,mask_work,-0.43966,-0.00445,-0.44566,-0.44737,-0.26597,0.81413
27,mask_home,-0.15147,-0.35090,-0.05228,-0.39184,-0.39787,0.67871
27,mask_conference,-0.07980,0.10396,-0.13812,-0.25103,-0.44052,0.54160
28,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
28,mask_work,-0.44332,-0.00317,-0.45001,-0.45158,-0.26851,0.82163
28,mask_home,-0.15825,-0.35173,-0.05858,-0.39912,-0.39974,0.68650
28,mask_conference,-0.08062,0.10502,-0.14003,-0.25353,-0.44466,0.54693
29,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
29,mask_work,-0.44664,-0.00189,-0.45401,-0.45545,-0.27088,0.82851
29,mask_home,-0.16511,-0.35243,-0.06510,-0.40634,-0.40111,0.69405
29,mask_conference,-0.08158,0.10561,-0.14196,-0.25621,-0.44827,0.55186
30,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
30,mask_work,-0.44947,-0.00055,-0.45769,-0.45902,-0.27312,0.83474
30,mask_home,-0.17129,-0.35286,-0.07095,-0.41296,-0.40248,0.70100
30,mask_conference,-0.08229,0.10603,-0.14371,-0.25875,-0.45154,0.55634
31,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
31,mask_work,-0.45210,0.00069,-0.46107,-0.46230,-0.27518,0.84049
31,mask_home,-0.17733,-0.35318,-0.07680,-0.41950,-0.40356,0.70775
31,mask_conference,-0.08269,0.10657,-0.14550,-0.26114,-0.45451,0.56048
32,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
32,mask_work,-0.45444,0.00192,-0.46419,-0.46531,-0.27712,0.84575
