partner,style,share
carol,drop_everything,0.1444
carol,help_after_task,0.1352
carol,pair_up,0.2213
carol,teach,0.2407
carol,quick_tip,0.1037
carol,delegate,0.0463
carol,joke_deflect,0.1065
carol,polite_decline,0.0019
carol,ignore,0.0000
dave,drop_everything,0.1111
dave,help_after_task,0.1278
dave,pair_up,0.2370
dave,teach,0.2676
dave,quick_tip,0.1028
dave,delegate,0.0435
dave,joke_deflect,0.1074
dave,polite_decline,0.0028
dave,ignore,0.0000
bob,drop_everything,0.1269
bob,help_after_task,0.1370
bob,pair_up,0.2333
bob,teach,0.2417
bob,quick_tip,0.1120
bob,delegate,0.0426
bob,joke_deflect,0.1056
bob,polite_decline,0.0009
bob,ignore,0.0000
