circumstance,style,early_pct,late_pct,shift
work,drop_everything,0.1528,0.0556,-0.0972
work,help_after_task,0.1296,0.2500,0.1204
work,pair_up,0.2037,0.2083,0.0046
work,teach,0.2685,0.3056,0.0370
work,quick_tip,0.1620,0.0926,-0.0694
work,delegate,0.0370,0.0833,0.0463
work,joke_deflect,0.0463,0.0000,-0.0463
work,polite_decline,0.0000,0.0046,0.0046
work,ignore,0.0000,0.0000,0.0000
home,drop_everything,0.1944,0.2083,0.0139
home,help_after_task,0.0602,0.0509,-0.0093
home,pair_up,0.2315,0.2731,0.0417
home,teach,0.2176,0.1806,-0.0370
home,quick_tip,0.0880,0.0972,0.0093
home,delegate,0.0093,0.0000,-0.0093
home,joke_deflect,0.1991,0.1898,-0.0093
home,polite_decline,0.0000,0.0000,0.0000
home,ignore,0.0000,0.0000,0.0000
conference,drop_everything,0.1204,0.1019,-0.0185
conference,help_after_task,0.1343,0.1435,0.0093
conference,pair_up,0.1991,0.2361,0.0370
conference,teach,0.2222,0.2269,0.0046
conference,quick_tip,0.1389,0.1204,-0.0185
conference,delegate,0.0370,0.0741,0.0370
conference,joke_deflect,0.1481,0.0972,-0.0509
conference,polite_decline,0.0000,0.0000,0.0000
conference,ignore,0.0000,0.0000,0.0000
