episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
1,27,-27.3170,-1.0117,2.1972,2.5033,1.8911
2,27,-22.1310,-0.8197,2.6633,2.4886,2.1714
3,27,-52.6710,-1.9508,2.6098,2.6296,2.2358
4,27,-21.9150,-0.8117,2.6835,2.6405,2.2405
5,27,-29.8410,-1.1052,2.6790,2.6422,2.3046
6,27,-12.2930,-0.4553,2.6729,2.6688,2.2243
7,27,-27.1070,-1.0040,2.6296,2.6614,2.3153
8,27,-19.5470,-0.7240,2.6690,2.6393,2.3192
9,27,-30.1530,-1.1168,2.6803,2.6351,2.3785
10,27,-12.1610,-0.4504,2.6590,2.6172,2.4038
11,27,-12.3830,-0.4586,2.6833,2.5483,2.3649
12,27,-19.9010,-0.7371,2.6476,2.4856,2.4392
13,27,-20.4830,-0.7586,2.6313,2.4778,2.4474
14,27,-16.7830,-0.6216,2.6576,2.4683,2.4620
15,27,-29.7750,-1.1028,2.6294,2.4655,2.5729
16,27,-25.1350,-0.9309,2.6062,2.3974,2.6013
17,27,-26.8130,-0.9931,2.6248,2.3990,2.6255
18,27,-17.7790,-0.6585,2.5754,2.4181,2.6260
19,27,-17.4550,-0.6465,2.5459,2.4347,2.6093
20,27,-22.0230,-0.8157,2.5068,2.4726,2.5963
21,27,-15.1530,-0.5612,2.3900,2.4956,2.6446
22,27,-34.5470,-1.2795,2.3673,2.5028,2.6387
23,27,-17.4550,-0.6465,2.3709,2.4888,2.6268
24,27,-17.2990,-0.6407,2.2816,2.5092,2.6153
25,27,-20.2670,-0.7506,2.2537,2.5016,2.5692
26,27,-14.7390,-0.5459,2.2611,2.4655,2.5832
27,27,-7.5030,-0.2779,2.2602,2.4657,2.5415
28,27,-24.9070,-0.9225,2.3406,2.4888,2.5673
29,27,-12.9650,-0.4802,2.3364,2.4752,2.5384
30,27,-9.6490,-0.3574,2.3094,2.4411,2.5602
31,27,-34.9670,-1.2951,2.2971,2.4430,2.5709
32,27,-27.4790,-1.0177,2.3495,2.4261,2.5575
33,27,-27.3110,-1.0115,2.2857,2.4224,2.5555
34,27,-19.7450,-0.7313,2.2969,2.4081,2.4879
35,27,-7.3530,-0.2723,2.2711,2.4163,2.4719
36,27,-10.1170,-0.3747,2.2624,2.4054,2.4736
37,27,-19.9430,-0.7386,2.2406,2.4369,2.5034
38,27,-24.0010,-0.8889,2.2142,2.3927,2.5918
39,27,-1.8850,-0.0698,2.2383,2.3960,2.5964
40,27,-30.5190,-1.1303,2.2878,2.3632,2.6094
41,27,-17.5450,-0.6498,2.2968,2.3344,2.5699
42,27,-32.1490,-1.1907,2.3780,2.3782,2.5300
43,27,-30.3150,-1.1228,2.4061,2.3715,2.4990
44,27,-6.5370,-0.2421,2.4131,2.3867,2.5430
45,27,-22.3170,-0.8266,2.3903,2.4270,2.5758
46,27,-4.8590,-0.1800,2.4342,2.3783,2.5928
47,27,-11.8190,-0.4377,2.4444,2.3367,2.5801
48,27,-14.6550,-0.5428,2.4264,2.3365,2.5114
49,27,-10.1230,-0.3749,2.3874,2.3494,2.5370
50,27,-24.9310,-0.9234,2.4118,2.3493,2.5710
51,27,-17.4910,-0.6478,2.3813,2.3933,2.6101
52,27,-17.0950,-0.6331,2.2779,2.3762,2.6459
53,27,-19.9250,-0.7380,2.3341,2.3333,2.6446
54,27,-26.9270,-0.9973,2.3901,2.3355,2.6526
55,27,-26.9450,-0.9980,2.4225,2.3792,2.6502
56,27,-30.0570,-1.1132,2.4113,2.4350,2.6341
57,27,-32.6590,-1.2096,2.4480,2.4642,2.6075
58,27,-17.5750,-0.6509,2.4641,2.4462,2.6035
59,27,-15.1170,-0.5599,2.4888,2.4642,2.6184
60,27,-19.8950,-0.7369,2.4519,2.4371,2.6016
