circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.3853,0.1647
work,mask_work,c,0.3500,0.0937,0.4437
work,mask_work,e,0.5000,-0.4821,0.0179
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3460,0.0000
home,mask_home,o,0.5500,-0.3399,0.2101
home,mask_home,c,0.3500,-0.3504,0.0000
home,mask_home,e,0.5000,-0.2800,0.2200
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3670,0.0000
conference,mask_conference,o,0.5500,-0.2419,0.3081
conference,mask_conference,c,0.3500,-0.0883,0.2617
conference,mask_conference,e,0.5000,-0.3094,0.1906
conference,mask_conference,a,0.7500,-0.5000,0.2500
conference,mask_conference,n,0.3000,-0.4124,0.0000
