episode,mask,o,c,e,a,n,norm
0,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,mask_work,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,mask_home,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,mask_conference,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_work,-0.04000,0.00937,-0.04000,-0.04000,-0.02683,0.07488
1,mask_home,-0.01645,-0.04000,-0.01611,-0.04000,-0.03484,0.07031
1,mask_conference,-0.04000,-0.02044,-0.03934,-0.04000,-0.02320,0.07552
2,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2,mask_work,-0.07680,0.01610,-0.07680,-0.07680,-0.05063,0.14324
2,mask_home,-0.03774,-0.07680,-0.03900,-0.07680,-0.06401,0.13725
2,mask_conference,-0.07680,-0.03306,-0.07322,-0.07680,-0.04753,0.14321
3,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
3,mask_work,-0.11066,0.02292,-0.11066,-0.11066,-0.07193,0.20599
3,mask_home,-0.05752,-0.11066,-0.06041,-0.11066,-0.09097,0.19931
3,mask_conference,-0.10696,-0.04403,-0.09809,-0.11066,-0.07231,0.20118
4,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
4,mask_work,-0.14180,0.02801,-0.14180,-0.14180,-0.09112,0.26346
4,mask_home,-0.07594,-0.14180,-0.07931,-0.14180,-0.11544,0.25613
4,mask_conference,-0.13198,-0.05201,-0.12035,-0.14180,-0.09584,0.25279
5,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
5,mask_work,-0.17046,0.03286,-0.17046,-0.17046,-0.10881,0.31637
5,mask_home,-0.09258,-0.16952,-0.09514,-0.17046,-0.13805,0.30736
5,mask_conference,-0.15429,-0.05856,-0.14104,-0.17046,-0.11763,0.30003
6,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
6,mask_work,-0.19583,0.03776,-0.19682,-0.19682,-0.12545,0.36468
6,mask_home,-0.10916,-0.19553,-0.11097,-0.19682,-0.15794,0.35517
6,mask_conference,-0.17437,-0.06367,-0.16083,-0.19682,-0.13762,0.34352
7,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7,mask_work,-0.21834,0.04230,-0.22108,-0.22108,-0.14082,0.40871
7,mask_home,-0.12478,-0.21931,-0.12557,-0.22108,-0.17599,0.39910
7,mask_conference,-0.19341,-0.06594,-0.17916,-0.22108,-0.15567,0.38336
8,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
8,mask_work,-0.23824,0.04651,-0.24339,-0.24339,-0.15503,0.44882
8,mask_home,-0.14034,-0.23976,-0.13950,-0.24339,-0.19183,0.43895
8,mask_conference,-0.21101,-0.06715,-0.19551,-0.24339,-0.17226,0.41972
9,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9,mask_work,-0.25641,0.05041,-0.26392,-0.26392,-0.16799,0.48560
9,mask_home,-0.15668,-0.25762,-0.15395,-0.26392,-0.20512,0.47576
9,mask_conference,-0.22600,-0.06897,-0.20969,-0.26392,-0.18804,0.45256
10,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
10,mask_work,-0.27293,0.05382,-0.28281,-0.28281,-0.17982,0.51931
10,mask_home,-0.17234,-0.27361,-0.16726,-0.28281,-0.21682,0.50944
10,mask_conference,-0.23824,-0.07135,-0.22152,-0.28281,-0.20321,0.48186
11,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
11,mask_work,-0.28787,0.05705,-0.30018,-0.30018,-0.19070,0.55019
11,mask_home,-0.18695,-0.28764,-0.17922,-0.30018,-0.22741,0.54003
11,mask_conference,-0.24819,-0.07468,-0.23119,-0.30018,-0.21760,0.50802
12,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
12,mask_work,-0.30163,0.06000,-0.31617,-0.31617,-0.20071,0.57861
12,mask_home,-0.20052,-0.30069,-0.19024,-0.31617,-0.23703,0.56829
12,mask_conference,-0.25629,-0.07855,-0.23945,-0.31617,-0.23126,0.53164
13,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
13,mask_work,-0.31425,0.06273,-0.33087,-0.33087,-0.20991,0.60473
13,mask_home,-0.21334,-0.31268,-0.20056,-0.33087,-0.24562,0.59440
13,mask_conference,-0.26256,-0.08293,-0.24627,-0.33087,-0.24431,0.55284
