circumstance,style,early_pct,late_pct,shift
work,drop_everything,0.1296,0.0046,-0.1250
work,help_after_task,0.2130,0.2917,0.0787
work,pair_up,0.2037,0.1944,-0.0093
work,teach,0.2500,0.2778,0.0278
work,quick_tip,0.0926,0.0833,-0.0093
work,delegate,0.0694,0.0972,0.0278
work,joke_deflect,0.0417,0.0000,-0.0417
work,polite_decline,0.0000,0.0509,0.0509
work,ignore,0.0000,0.0000,0.0000
home,drop_everything,0.1620,0.2407,0.0787
home,help_after_task,0.0741,0.0370,-0.0370
home,pair_up,0.2685,0.2731,0.0046
home,teach,0.1759,0.1667,-0.0093
home,quick_tip,0.1435,0.1019,-0.0417
home,delegate,0.0139,0.0000,-0.0139
home,joke_deflect,0.1620,0.1806,0.0185
home,polite_decline,0.0000,0.0000,0.0000
home,ignore,0.0000,0.0000,0.0000
conference,drop_everything,0.1065,0.0833,-0.0231
conference,help_after_task,0.1435,0.1481,0.0046
conference,pair_up,0.3056,0.2593,-0.0463
conference,teach,0.1944,0.2176,0.0231
conference,quick_tip,0.1435,0.1111,-0.0324
conference,delegate,0.0278,0.0370,0.0093
conference,joke_deflect,0.0787,0.1435,0.0648
conference,polite_decline,0.0000,0.0000,0.0000
conference,ignore,0.0000,0.0000,0.0000
