episode,mask,o,c,e,a,n,norm
0,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,mask_work,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,mask_home,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,mask_conference,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_work,-0.00335,0.02094,-0.00149,-0.01950,0.01802,0.03401
1,mask_home,0.00411,0.01107,0.00855,-0.02151,0.01319,0.02914
1,mask_conference,-0.00568,0.03034,0.00007,-0.01566,0.01194,0.03661
2,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2,mask_work,-0.00394,0.04247,-0.00258,-0.03725,0.03425,0.06624
2,mask_home,0.01767,0.01984,0.02709,-0.02991,0.02005,0.05231
2,mask_conference,-0.01119,0.05412,-0.00113,-0.03455,0.02448,0.06963
3,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
3,mask_work,-0.00206,0.06671,-0.00187,-0.05400,0.04741,0.09809
3,mask_home,0.03422,0.02887,0.04948,-0.03129,0.02406,0.07753
3,mask_conference,-0.01723,0.07428,-0.00406,-0.05365,0.03699,0.10039
4,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
4,mask_work,0.00155,0.08936,0.00126,-0.06809,0.05859,0.12672
4,mask_home,0.05022,0.03544,0.07018,-0.03364,0.02733,0.10287
4,mask_conference,-0.02445,0.09196,-0.00956,-0.07186,0.04929,0.12938
5,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
5,mask_work,0.00577,0.11020,0.00548,-0.08025,0.06833,0.15270
5,mask_home,0.06464,0.04121,0.08863,-0.03635,0.03055,0.12644
5,mask_conference,-0.03130,0.10778,-0.01502,-0.08889,0.06072,0.15624
6,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
6,mask_work,0.01073,0.12960,0.01042,-0.09059,0.07678,0.17641
6,mask_home,0.07782,0.04632,0.10538,-0.03914,0.03357,0.14820
6,mask_conference,-0.03862,0.12223,-0.02112,-0.10535,0.07177,0.18201
7,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7,mask_work,0.01635,0.14812,0.01616,-0.09882,0.08394,0.19819
7,mask_home,0.09041,0.05071,0.12122,-0.04110,0.03611,0.16862
7,mask_conference,-0.04491,0.13459,-0.02637,-0.12067,0.08176,0.20511
8,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
8,mask_work,0.02314,0.16628,0.02289,-0.10422,0.08963,0.21819
8,mask_home,0.10203,0.05489,0.13592,-0.04272,0.03843,0.18761
8,mask_conference,-0.05050,0.14576,-0.03123,-0.13482,0.09095,0.22632
9,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9,mask_work,0.03025,0.18368,0.02996,-0.10802,0.09437,0.23691
9,mask_home,0.11253,0.05915,0.14937,-0.04398,0.04066,0.20509
9,mask_conference,-0.05579,0.15637,-0.03608,-0.14787,0.09957,0.24626
10,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
10,mask_work,0.03689,0.19969,0.03644,-0.11126,0.09866,0.25431
10,mask_home,0.12221,0.06318,0.16182,-0.04502,0.04270,0.22128
10,mask_conference,-0.05915,0.16664,-0.03941,-0.15859,0.10684,0.26342
11,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
11,mask_work,0.04306,0.21456,0.04235,-0.11401,0.10253,0.27055
11,mask_home,0.13104,0.06702,0.17324,-0.04591,0.04462,0.23617
11,mask_conference,-0.06046,0.17758,-0.04096,-0.16628,0.11253,0.27781
12,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
12,mask_work,0.04860,0.22835,0.04769,-0.11640,0.10604,0.28561
12,mask_home,0.13918,0.07064,0.18379,-0.04665,0.04638,0.24993
12,mask_conference,-0.05952,0.18896,-0.04007,-0.17053,0.11645,0.28895
13,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
13,mask_work,0.05374,0.24117,0.05255,-0.11839,0.10919,0.29959
13,mask_home,0.14664,0.07403,0.19351,-0.04727,0.04801,0.26262
13,mask_conference,-0.05657,0.20050,-0.03695,-0.17180,0.11877,0.29730
14,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
14,mask_work,0.05836,0.25307,0.05694,-0.12008,0.11204,0.31252
14,mask_home,0.15346,0.07731,0.20246,-0.04773,0.04953,0.27432
