partner,style,share
carol,drop_everything,0.1222
carol,help_after_task,0.1306
carol,pair_up,0.1481
carol,teach,0.1463
carol,quick_tip,0.1148
carol,delegate,0.0926
carol,joke_deflect,0.1176
carol,polite_decline,0.0741
carol,ignore,0.0537
dave,drop_everything,0.1093
dave,help_after_task,0.1185
dave,pair_up,0.1472
dave,teach,0.1556
dave,quick_tip,0.1148
dave,delegate,0.0981
dave,joke_deflect,0.1231
dave,polite_decline,0.0898
dave,ignore,0.0435
bob,drop_everything,0.1306
bob,help_after_task,0.1009
bob,pair_up,0.1343
bob,teach,0.1435
bob,quick_tip,0.1139
bob,delegate,0.1333
bob,joke_deflect,0.1083
bob,polite_decline,0.0833
bob,ignore,0.0519
