circumstance,style,early_pct,late_pct,shift
work,drop_everything,0.0926,0.1574,0.0648
work,help_after_task,0.1111,0.1065,-0.0046
work,pair_up,0.1991,0.1574,-0.0417
work,teach,0.1343,0.1713,0.0370
work,quick_tip,0.0787,0.1111,0.0324
work,delegate,0.1296,0.1204,-0.0093
work,joke_deflect,0.1250,0.0787,-0.0463
work,polite_decline,0.0833,0.0509,-0.0324
work,ignore,0.0463,0.0463,0.0000
home,drop_everything,0.1204,0.1157,-0.0046
home,help_after_task,0.1204,0.1019,-0.0185
home,pair_up,0.1667,0.1528,-0.0139
home,teach,0.1389,0.1296,-0.0093
home,quick_tip,0.0880,0.1481,0.0602
home,delegate,0.0787,0.1157,0.0370
home,joke_deflect,0.1343,0.0880,-0.0463
home,polite_decline,0.0880,0.0833,-0.0046
home,ignore,0.0648,0.0648,0.0000
conference,drop_everything,0.1389,0.0926,-0.0463
conference,help_after_task,0.0880,0.1019,0.0139
conference,pair_up,0.1157,0.1204,0.0046
conference,teach,0.1991,0.1528,-0.0463
conference,quick_tip,0.1157,0.1296,0.0139
conference,delegate,0.1019,0.1065,0.0046
conference,joke_deflect,0.1481,0.1806,0.0324
conference,polite_decline,0.0602,0.0648,0.0046
conference,ignore,0.0324,0.0509,0.0185
