episode,interactions,total_reward,mean_reward,entropy_work,entropy_home,entropy_conference
1,27,-43.2320,-1.6012,2.4194,2.4194,0.9864
2,27,-34.3300,-1.2715,2.3276,2.5918,0.9864
3,27,-41.2480,-1.5277,2.2063,2.4748,1.6507
4,27,-21.2840,-0.7883,2.3554,2.4154,1.6253
5,27,-29.7900,-1.1033,2.5058,2.4734,2.1013
6,27,-20.2400,-0.7496,2.6526,2.5164,2.1653
7,27,-10.5820,-0.3919,2.5840,2.5937,2.4139
8,27,-27.5960,-1.0221,2.5647,2.6950,2.5108
9,27,-24.3900,-0.9033,2.4921,2.6056,2.4757
10,27,-13.1720,-0.4879,2.4921,2.6025,2.4342
11,27,6.2820,0.2327,2.4100,2.5397,2.5293
12,27,-30.5580,-1.1318,2.4936,2.6072,2.6365
13,27,1.8340,0.0679,2.5603,2.6244,2.6823
14,27,-28.3520,-1.0501,2.5316,2.6726,2.7402
15,27,-13.1420,-0.4867,2.5285,2.6153,2.7186
16,27,-18.5920,-0.6886,2.3964,2.5451,2.7260
17,27,-18.3700,-0.6804,2.4202,2.5638,2.6631
18,27,-23.9280,-0.8862,2.4290,2.4137,2.5626
19,27,-21.0200,-0.7785,2.4197,2.4997,2.5729
20,27,-25.3780,-0.9399,2.3935,2.5411,2.6112
21,27,-16.3980,-0.6073,2.3334,2.5180,2.6097
22,27,-23.0940,-0.8553,2.2779,2.4865,2.6660
23,27,-20.7200,-0.7674,2.3944,2.4283,2.5586
24,27,-4.8080,-0.1781,2.5132,2.4411,2.6397
25,27,-17.6860,-0.6550,2.4774,2.5571,2.5909
26,27,-7.6920,-0.2849,2.5450,2.5953,2.5943
27,27,-17.8960,-0.6628,2.6027,2.6037,2.5896
28,27,-25.3480,-0.9388,2.6313,2.6255,2.6968
29,27,-10.6480,-0.3944,2.7031,2.5851,2.6968
30,27,-28.3460,-1.0499,2.7877,2.4598,2.6498
31,27,-23.7240,-0.8787,2.8011,2.4757,2.6268
32,27,-7.9140,-0.2931,2.8284,2.5325,2.5734
33,27,-21.5540,-0.7983,2.6976,2.5428,2.6669
34,27,-8.5500,-0.3167,2.6474,2.4920,2.5729
35,27,-2.9620,-0.1097,2.6750,2.4943,2.5206
36,27,-27.5960,-1.0221,2.6489,2.5481,2.5704
37,27,-20.9900,-0.7774,2.6602,2.5486,2.5133
38,27,2.1640,0.0801,2.7321,2.5387,2.4531
39,27,-27.8420,-1.0312,2.6861,2.5489,2.5738
40,27,-27.5960,-1.0221,2.6707,2.5608,2.6100
41,27,-8.3340,-0.3087,2.7487,2.5208,2.6060
42,27,-13.2260,-0.4899,2.6876,2.4634,2.6458
43,27,-18.4480,-0.6833,2.7416,2.5567,2.5670
44,27,-20.7320,-0.7679,2.6717,2.6199,2.6886
45,27,-3.5380,-0.1310,2.5872,2.5891,2.7012
46,27,-27.6560,-1.0243,2.6875,2.4465,2.7395
47,27,-5.5040,-0.2039,2.6875,2.4524,2.7932
48,27,-25.0540,-0.9279,2.7518,2.4710,2.8083
49,27,-16.0800,-0.5956,2.7789,2.4451,2.6861
50,27,-17.5900,-0.6515,2.7988,2.4917,2.5926
51,27,-32.2660,-1.1950,2.8292,2.6083,2.6184
52,27,-10.6120,-0.3930,2.8272,2.6433,2.5673
53,27,-15.0420,-0.5571,2.8906,2.5770,2.6256
54,27,-28.0280,-1.0381,2.9370,2.5026,2.5370
55,27,-25.8940,-0.9590,2.9616,2.5099,2.5443
56,27,-15.3180,-0.5673,2.9589,2.5358,2.4087
57,27,-10.5400,-0.3904,2.9651,2.5398,2.3874
58,27,-16.1400,-0.5978,2.8710,2.6272,2.3724
59,27,-35.7500,-1.3241,2.8744,2.6525,2.3756
60,27,-31.2240,-1.1564,2.7934,2.6088,2.4302
61,27,-17.9440,-0.6646,2.7114,2.5865,2.4918
62,27,-23.8440,-0.8831,2.6651,2.6191,2.4455
63,27,-12.8780,-0.4770,2.5989,2.6200,2.4193
64,27,-24.6160,-0.9117,2.6178,2.7153,2.5084
65,27,-18.2260,-0.6750,2.5932,2.7367,2.5225
66,27,-33.1900,-1.2293,2.4910,2.7504,2.4849
67,27,-13.9040,-0.5150,2.4449,2.6908,2.4308
68,27,7.0440,0.2609,2.5415,2.6157,2.4335
69,27,-28.5920,-1.0590,2.4740,2.5512,2.4162
70,27,-13.2020,-0.4890,2.4441,2.5258,2.4141
71,27,-32.5360,-1.2050,2.4825,2.6038,2.4399
72,27,-23.8740,-0.8842,2.5320,2.5329,2.5530
73,27,-20.7200,-0.7674,2.5496,2.5076,2.5200
74,27,-15.4680,-0.5729,2.5199,2.4739,2.4393
75,27,-33.5920,-1.2441,2.5266,2.4804,2.3774
76,27,-17.1460,-0.6350,2.6240,2.5366,2.4624
77,27,-20.4440,-0.7572,2.7399,2.6006,2.5077
78,27,-20.1020,-0.7445,2.7541,2.6121,2.5673
79,27,-28.1000,-1.0407,2.7207,2.6470,2.6034
80,27,-30.5340,-1.1309,2.7548,2.7258,2.5763
81,27,-26.2240,-0.9713,2.7637,2.6227,2.4874
82,27,-31.0320,-1.1493,2.7676,2.6398,2.4829
83,27,-35.4260,-1.3121,2.7112,2.6818,2.5606
84,27,-20.3120,-0.7523,2.6962,2.6596,2.5568
85,27,-35.6840,-1.3216,2.7077,2.6593,2.5881
86,27,-22.3800,-0.8289,2.6313,2.6385,2.6007
87,27,-28.7660,-1.0654,2.5967,2.5868,2.6265
88,27,-9.3640,-0.3468,2.5438,2.6600,2.5889
89,27,-20.4260,-0.7565,2.6580,2.6858,2.5656
90,27,-15.3840,-0.5698,2.6689,2.6370,2.5180
91,27,-25.2880,-0.9366,2.6558,2.6781,2.5597
92,27,-28.3520,-1.0501,2.6812,2.7139,2.5031
93,27,-23.1840,-0.8587,2.7480,2.6958,2.4023
94,27,-18.0940,-0.6701,2.7566,2.6632,2.3742
95,27,-26.0080,-0.9633,2.7052,2.7033,2.3658
96,27,-24.5100,-0.9078,2.6178,2.6304,2.2574
97,27,-23.3700,-0.8656,2.6721,2.5992,2.1977
98,27,-12.5900,-0.4663,2.7446,2.6183,2.0484
99,27,-28.5080,-1.0559,2.6989,2.5948,2.0153
100,27,-3.3760,-0.1250,2.6721,2.5692,2.1224
101,27,-28.3520,-1.0501,2.6198,2.5320,2.1652
102,27,-20.6300,-0.7641,2.6372,2.4306,2.3070
103,27,-1.1100,-0.0411,2.6372,2.3966,2.3617
104,27,1.4500,0.0537,2.5820,2.3672,2.3731
105,27,-18.3640,-0.6801,2.5319,2.3322,2.4854
106,27,-22.6980,-0.8407,2.6143,2.3998,2.4908
107,27,-21.3140,-0.7894,2.5640,2.4108,2.4923
108,27,-20.5040,-0.7594,2.3900,2.4106,2.5502
109,27,-28.3220,-1.0490,2.4186,2.4664,2.5023
110,27,-39.1140,-1.4487,2.2659,2.5042,2.3778
111,27,-22.7880,-0.8440,2.2996,2.4333,2.4506
112,27,-35.7260,-1.3232,2.1377,2.4944,2.4132
113,27,-25.0360,-0.9273,2.2528,2.5316,2.4521
114,27,-18.0580,-0.6688,2.2304,2.5396,2.4541
115,27,-16.1160,-0.5969,2.2885,2.4825,2.4356
116,27,-20.9060,-0.7743,2.3267,2.4817,2.4590
117,27,-32.7580,-1.2133,2.3914,2.5577,2.5251
118,27,-17.4880,-0.6477,2.3865,2.5912,2.5537
119,27,-5.6300,-0.2085,2.4008,2.5107,2.6929
120,27,-40.7800,-1.5104,2.5215,2.4943,2.7602
