partner,style,share
carol,drop_everything,0.4185
carol,help_after_task,0.0787
carol,pair_up,0.1019
carol,teach,0.1148
carol,quick_tip,0.0815
carol,delegate,0.0685
carol,joke_deflect,0.0676
carol,polite_decline,0.0380
carol,ignore,0.0306
dave,drop_everything,0.4296
dave,help_after_task,0.0593
dave,pair_up,0.0889
dave,teach,0.1463
dave,quick_tip,0.0981
dave,delegate,0.0509
dave,joke_deflect,0.0787
dave,polite_decline,0.0333
dave,ignore,0.0148
bob,drop_everything,0.4157
bob,help_after_task,0.0824
bob,pair_up,0.0972
bob,teach,0.1102
bob,quick_tip,0.1056
bob,delegate,0.0565
bob,joke_deflect,0.0704
bob,polite_decline,0.0296
bob,ignore,0.0324
