episode,mask,o,c,e,a,n,norm
0,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,mask_work,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,mask_home,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0,mask_conference,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,mask_work,-0.00122,0.04407,0.00051,-0.04199,0.02979,0.06778
1,mask_home,0.03009,0.04168,0.05118,0.00313,0.01357,0.07387
1,mask_conference,-0.00487,0.04997,-0.00135,-0.04025,0.03165,0.07173
2,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2,mask_work,-0.00364,0.08635,-0.00038,-0.08075,0.05786,0.13168
2,mask_home,0.04812,0.08006,0.08595,-0.00523,0.03119,0.13081
2,mask_conference,-0.00462,0.09560,0.00488,-0.07041,0.05827,0.13243
3,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
3,mask_work,-0.00924,0.12940,-0.00454,-0.11695,0.08545,0.19450
3,mask_home,0.06005,0.11648,0.11199,-0.01836,0.04945,0.18027
3,mask_conference,-0.00191,0.13592,0.01339,-0.09751,0.08117,0.18642
4,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
4,mask_work,-0.01663,0.17141,-0.00999,-0.15018,0.11146,0.25443
4,mask_home,0.06229,0.15015,0.12508,-0.03896,0.07059,0.22039
4,mask_conference,0.00060,0.17244,0.02063,-0.12421,0.10235,0.23678
5,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
5,mask_work,-0.02425,0.21161,-0.01572,-0.18035,0.13558,0.31069
5,mask_home,0.06393,0.17693,0.13672,-0.05742,0.09169,0.25649
5,mask_conference,0.00280,0.20528,0.02655,-0.15027,0.12256,0.28364
6,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
6,mask_work,-0.03110,0.24897,-0.02086,-0.20769,0.15758,0.36243
6,mask_home,0.06734,0.19935,0.14954,-0.07396,0.11107,0.29059
6,mask_conference,0.00422,0.23597,0.03120,-0.17471,0.14146,0.32743
7,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7,mask_work,-0.03756,0.28366,-0.02570,-0.23275,0.17776,0.41025
7,mask_home,0.07028,0.22118,0.16086,-0.09072,0.12870,0.32331
7,mask_conference,0.00602,0.26496,0.03566,-0.19653,0.15886,0.36793
8,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
8,mask_work,-0.04331,0.31569,-0.03015,-0.25577,0.19631,0.45431
8,mask_home,0.07364,0.24269,0.17187,-0.10679,0.14420,0.35504
8,mask_conference,0.00788,0.29166,0.03930,-0.21719,0.17540,0.40572
9,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9,mask_work,-0.04854,0.34500,-0.03436,-0.27723,0.21350,0.49498
9,mask_home,0.07542,0.26268,0.18023,-0.12363,0.15911,0.38441
9,mask_conference,0.01075,0.31650,0.04276,-0.23601,0.19085,0.44073
10,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
10,mask_work,-0.05341,0.37170,-0.03838,-0.29738,0.22951,0.53254
10,mask_home,0.07692,0.28150,0.18751,-0.13994,0.17279,0.41202
10,mask_conference,0.01405,0.33983,0.04575,-0.25333,0.20541,0.47344
11,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
11,mask_work,-0.05761,0.39620,-0.04204,-0.31594,0.24427,0.56705
11,mask_home,0.07887,0.29821,0.19449,-0.15456,0.18515,0.43720
11,mask_conference,0.01731,0.36176,0.04821,-0.26929,0.21905,0.50398
12,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
12,mask_work,-0.06127,0.41881,-0.04537,-0.33296,0.25783,0.59879
12,mask_home,0.08033,0.31278,0.20002,-0.16903,0.19678,0.45998
12,mask_conference,0.02114,0.38197,0.05098,-0.28346,0.23143,0.53184
13,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
13,mask_work,-0.06439,0.43972,-0.04838,-0.34852,0.27026,0.62797
13,mask_home,0.08224,0.32529,0.20537,-0.18238,0.20721,0.48058
13,mask_conference,0.02569,0.40143,0.05382,-0.29563,0.24274,0.55769
14,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
14,mask_work,-0.06705,0.45897,-0.05110,-0.36279,0.28169,0.65477
14,mask_home,0.08387,0.33647,0.20990,-0.19505,0.21692,0.49941
