circumstance,style,early_pct,late_pct,shift
work,drop_everything,0.1019,0.0000,-0.1019
work,help_after_task,0.1759,0.2361,0.0602
work,pair_up,0.2361,0.1898,-0.0463
work,teach,0.3056,0.3333,0.0278
work,quick_tip,0.0509,0.0602,0.0093
work,delegate,0.0509,0.1250,0.0741
work,joke_deflect,0.0602,0.0000,-0.0602
work,polite_decline,0.0185,0.0556,0.0370
work,ignore,0.0000,0.0000,0.0000
home,drop_everything,0.1389,0.1435,0.0046
home,help_after_task,0.0833,0.0324,-0.0509
home,pair_up,0.3148,0.2778,-0.0370
home,teach,0.1620,0.1806,0.0185
home,quick_tip,0.0741,0.1019,0.0278
home,delegate,0.0000,0.0139,0.0139
home,joke_deflect,0.2269,0.2500,0.0231
home,polite_decline,0.0000,0.0000,0.0000
home,ignore,0.0000,0.0000,0.0000
conference,drop_everything,0.1620,0.0602,-0.1019
conference,help_after_task,0.0880,0.1574,0.0694
conference,pair_up,0.3056,0.2778,-0.0278
conference,teach,0.1806,0.2731,0.0926
conference,quick_tip,0.1019,0.1019,0.0000
conference,delegate,0.0324,0.0556,0.0231
conference,joke_deflect,0.1296,0.0741,-0.0556
conference,polite_decline,0.0000,0.0000,0.0000
conference,ignore,0.0000,0.0000,0.0000
