episode,total_reward,mask_default,mask_work,mask_home,mask_concert
0,0.0000,0.000000,0.000000,0.000000,0.000000
1,17.3000,0.796630,0.353765,0.841448,0.895491
2,19.0000,0.823736,0.373418,0.871976,0.898795
3,17.8000,0.832892,0.379970,0.882273,0.899933
4,19.9000,0.837492,0.383245,0.887443,0.900509
5,15.9000,0.840258,0.385211,0.890552,0.900856
6,15.7000,0.842106,0.386521,0.892627,0.901089
7,15.3000,0.843426,0.387457,0.894111,0.901256
8,16.8000,0.844418,0.388159,0.895224,0.901381
9,19.9000,0.845189,0.388705,0.896091,0.901479
10,19.0000,0.845806,0.389141,0.896784,0.901557
11,16.4000,0.846312,0.389499,0.897267,0.901621
12,19.6000,0.846733,0.389796,0.897527,0.901674
13,19.8000,0.847090,0.390048,0.897747,0.901719
14,19.9000,0.847395,0.390264,0.897936,0.901758
15,17.1000,0.847660,0.390452,0.898099,0.901792
16,20.6000,0.847892,0.390615,0.898242,0.901821
17,18.0000,0.848097,0.390760,0.898369,0.901847
18,18.9000,0.848279,0.390888,0.898481,0.901870
19,15.2000,0.848441,0.391003,0.898582,0.901891
20,17.8000,0.848588,0.391107,0.898672,0.901910
21,18.7000,0.848720,0.391200,0.898754,0.901926
22,20.0000,0.848841,0.391285,0.898829,0.901942
23,20.0000,0.848951,0.391363,0.898897,0.901956
24,19.6000,0.849052,0.391434,0.898959,0.901968
25,20.7000,0.849145,0.391500,0.899016,0.901980
26,23.3000,0.849230,0.391560,0.899069,0.901991
27,20.9000,0.849310,0.391616,0.899118,0.902001
28,19.3000,0.849383,0.391668,0.899164,0.902011
29,15.6000,0.849452,0.391717,0.899206,0.902019
30,17.3000,0.849516,0.391762,0.899246,0.902027
31,18.3000,0.849576,0.391804,0.899283,0.902035
32,19.3000,0.849632,0.391844,0.899318,0.902042
33,17.1000,0.849685,0.391881,0.899350,0.902049
34,19.3000,0.849735,0.391916,0.899381,0.902055
35,19.7000,0.849781,0.391949,0.899410,0.902061
36,19.8000,0.849826,0.391980,0.899437,0.902067
37,17.6000,0.849867,0.392010,0.899463,0.902072
38,19.3000,0.849907,0.392038,0.899488,0.902077
39,19.0000,0.849945,0.392064,0.899511,0.902082
40,18.3000,0.849980,0.392089,0.899533,0.902086
41,16.5000,0.850014,0.392113,0.899554,0.902091
42,19.6000,0.850047,0.392136,0.899574,0.902095
43,18.9000,0.850078,0.392158,0.899593,0.902099
44,21.3000,0.850107,0.392179,0.899611,0.902103
45,16.0000,0.850135,0.392199,0.899629,0.902106
46,18.3000,0.850162,0.392217,0.899645,0.902110
47,16.3000,0.850188,0.392236,0.899661,0.902113
48,14.8000,0.850213,0.392253,0.899677,0.902116
49,21.1000,0.850236,0.392270,0.899691,0.902119
50,23.4000,0.850259,0.392286,0.899705,0.902122
51,19.2000,0.850281,0.392301,0.899719,0.902125
52,18.9000,0.850302,0.392316,0.899732,0.902127
53,23.1000,0.850322,0.392330,0.899744,0.902130
54,18.2000,0.850342,0.392344,0.899756,0.902132
55,16.0000,0.850360,0.392357,0.899768,0.902135
56,18.2000,0.850378,0.392370,0.899779,0.902137
57,17.6000,0.850396,0.392382,0.899790,0.902139
58,18.3000,0.850413,0.392394,0.899800,0.902141
59,21.0000,0.850429,0.392406,0.899810,0.902144
60,19.9000,0.850445,0.392417,0.899820,0.902146
61,16.5000,0.850460,0.392428,0.899830,0.902147
62,16.7000,0.850475,0.392438,0.899839,0.902149
63,16.8000,0.850489,0.392448,0.899848,0.902151
64,16.8000,0.850503,0.392458,0.899856,0.902153
65,19.1000,0.850516,0.392467,0.899864,0.902155
66,16.6000,0.850529,0.392476,0.899872,0.902156
67,17.9000,0.850542,0.392485,0.899880,0.902158
68,17.6000,0.850554,0.392494,0.899888,0.902159
69,13.4000,0.850566,0.392502,0.899895,0.902161
70,22.3000,0.850578,0.392510,0.899902,0.902162
71,16.7000,0.850589,0.392518,0.899909,0.902164
72,15.3000,0.850600,0.392526,0.899916,0.902165
73,17.6000,0.850610,0.392534,0.899922,0.902167
74,19.2000,0.850621,0.392541,0.899929,0.902168
75,21.2000,0.850631,0.392548,0.899935,0.902169
76,18.5000,0.850640,0.392555,0.899941,0.902170
77,18.9000,0.850650,0.392562,0.899947,0.902172
78,20.4000,0.850659,0.392568,0.899953,0.902173
79,21.7000,0.850668,0.392574,0.899958,0.902174
80,15.5000,0.850677,0.392581,0.899964,0.902175
81,17.7000,0.850686,0.392587,0.899969,0.902176
82,16.1000,0.850694,0.392593,0.899974,0.902177
83,19.0000,0.850702,0.392598,0.899979,0.902178
84,18.2000,0.850710,0.392604,0.899984,0.902179
85,17.3000,0.850718,0.392610,0.899989,0.902180
86,22.2000,0.850726,0.392615,0.899994,0.902181
87,21.0000,0.850733,0.392620,0.899998,0.902182
88,19.4000,0.850740,0.392625,0.900003,0.902183
89,16.1000,0.850748,0.392630,0.900007,0.902184
90,19.6000,0.850754,0.392635,0.900012,0.902185
91,18.0000,0.850761,0.392640,0.900016,0.902186
92,17.0000,0.850768,0.392645,0.900020,0.902187
93,17.2000,0.850774,0.392649,0.900024,0.902187
94,17.1000,0.850781,0.392654,0.900028,0.902188
95,20.2000,0.850787,0.392658,0.900032,0.902189
96,18.9000,0.850793,0.392663,0.900036,0.902190
97,19.3000,0.850799,0.392667,0.900039,0.902191
98,18.8000,0.850805,0.392671,0.900043,0.902191
99,21.8000,0.850811,0.392675,0.900047,0.902192
100,16.2000,0.850816,0.392679,0.900050,0.902193
101,18.7000,0.850822,0.392683,0.900053,0.902194
102,19.6000,0.850827,0.392687,0.900057,0.902194
103,16.8000,0.850833,0.392690,0.900060,0.902195
104,18.0000,0.850838,0.392694,0.900063,0.902196
105,20.0000,0.850843,0.392698,0.900066,0.902196
106,17.1000,0.850848,0.392701,0.900070,0.902197
107,16.9000,0.850853,0.392705,0.900073,0.902197
108,16.9000,0.850858,0.392708,0.900076,0.902198
109,19.9000,0.850862,0.392711,0.900078,0.902199
110,18.3000,0.850867,0.392715,0.900081,0.902199
111,17.8000,0.850872,0.392718,0.900084,0.902200
112,19.1000,0.850876,0.392721,0.900087,0.902200
113,18.0000,0.850881,0.392724,0.900090,0.902201
114,17.9000,0.850885,0.392727,0.900092,0.902202
115,17.1000,0.850889,0.392730,0.900095,0.902202
116,20.0000,0.850893,0.392733,0.900098,0.902203
117,18.5000,0.850897,0.392736,0.900100,0.902203
118,20.0000,0.850901,0.392739,0.900103,0.902204
119,17.8000,0.850905,0.392742,0.900105,0.902204
120,19.5000,0.850909,0.392744,0.900108,0.902205
121,21.3000,0.850913,0.392747,0.900110,0.902205
122,20.2000,0.850917,0.392750,0.900112,0.902206
123,18.2000,0.850921,0.392752,0.900115,0.902206
124,21.4000,0.850924,0.392755,0.900117,0.902207
125,25.0000,0.850928,0.392758,0.900119,0.902207
126,18.2000,0.850931,0.392760,0.900121,0.902207
127,15.6000,0.850935,0.392762,0.900123,0.902208
128,19.4000,0.850938,0.392765,0.900125,0.902208
129,21.9000,0.850942,0.392767,0.900128,0.902209
130,17.4000,0.850945,0.392770,0.900130,0.902209
131,15.4000,0.850948,0.392772,0.900132,0.902210
132,19.3000,0.850952,0.392774,0.900134,0.902210
133,19.5000,0.850955,0.392776,0.900136,0.902210
134,19.6000,0.850958,0.392779,0.900138,0.902211
135,18.2000,0.850961,0.392781,0.900139,0.902211
136,19.9000,0.850964,0.392783,0.900141,0.902212
137,19.3000,0.850967,0.392785,0.900143,0.902212
138,20.4000,0.850970,0.392787,0.900145,0.902212
139,18.2000,0.850973,0.392789,0.900147,0.902213
140,21.2000,0.850976,0.392791,0.900149,0.902213
141,17.3000,0.850979,0.392793,0.900150,0.902213
142,19.8000,0.850981,0.392795,0.900152,0.902214
143,16.1000,0.850984,0.392797,0.900154,0.902214
144,19.6000,0.850987,0.392799,0.900155,0.902215
145,14.7000,0.850989,0.392801,0.900157,0.902215
146,20.6000,0.850992,0.392803,0.900159,0.902215
147,17.9000,0.850995,0.392805,0.900160,0.902216
148,20.5000,0.850997,0.392806,0.900162,0.902216
149,17.1000,0.851000,0.392808,0.900163,0.902216
150,20.6000,0.851002,0.392810,0.900165,0.902216
