iter,avg_external_regret
1,0.907519
100,0.011577
200,0.005789
300,0.003859
400,0.002894
500,0.002315
600,0.001930
700,0.001654
800,0.001447
900,0.001286
1000,0.001158
1100,0.001052
1200,0.000965
1300,0.000891
1400,0.000827
1500,0.000772
1600,0.000724
1700,0.000681
1800,0.000643
1900,0.000609
2000,0.000579
2100,0.000551
2200,0.000526
2300,0.000503
2400,0.000482
2500,0.000463
2600,0.000445
2700,0.000429
2800,0.000413
2900,0.000399
3000,0.000386
3100,0.000373
3200,0.000362
3300,0.000351
3400,0.000341
3500,0.000331
3600,0.000322
3700,0.000313
3800,0.000305
3900,0.000297
4000,0.000289
4100,0.000282
4200,0.000276
4300,0.000269
4400,0.000263
4500,0.000257
4600,0.000252
4700,0.000246
4800,0.000241
4900,0.000236
5000,0.000232
5100,0.000227
5200,0.000223
5300,0.000218
5400,0.000214
5500,0.000210
5600,0.000207
5700,0.000203
5800,0.000200
5900,0.000196
6000,0.000193
6100,0.000190
6200,0.000187
6300,0.000184
6400,0.000181
6500,0.000178
6600,0.000175
6700,0.000173
6800,0.000170
6900,0.000168
7000,0.000165
7100,0.000163
7200,0.000161
7300,0.000159
7400,0.000156
7500,0.000154
7600,0.000152
7700,0.000150
7800,0.000148
7900,0.000147
8000,0.000145
8100,0.000143
8200,0.000141
8300,0.000139
8400,0.000138
8500,0.000136
8600,0.000135
8700,0.000133
8800,0.000132
8900,0.000130
9000,0.000129
9100,0.000127
9200,0.000126
9300,0.000124
9400,0.000123
9500,0.000122
9600,0.000121
9700,0.000119
9800,0.000118
9900,0.000117
10000,0.000116
10100,0.000115
10200,0.000114
10300,0.000112
10400,0.000111
10500,0.000110
10600,0.000109
10700,0.000108
10800,0.000107
10900,0.000106
11000,0.000105
11100,0.000104
11200,0.000103
11300,0.000102
11400,0.000102
11500,0.000101
11600,0.000100
11700,0.000099
11800,0.000098
11900,0.000097
12000,0.000096
12100,0.000096
12200,0.000095
12300,0.000094
12400,0.000093
12500,0.000093
12600,0.000092
12700,0.000091
12800,0.000090
12900,0.000090
13000,0.000089
13100,0.000088
13200,0.000088
13300,0.000087
13400,0.000086
13500,0.000086
13600,0.000085
13700,0.000085
13800,0.000084
13900,0.000083
14000,0.000083
14100,0.000082
14200,0.000082
14300,0.000081
14400,0.000080
14500,0.000080
14600,0.000079
14700,0.000079
14800,0.000078
14900,0.000078
15000,0.000077
15100,0.000077
15200,0.000076
15300,0.000076
15400,0.000075
15500,0.000075
15600,0.000074
15700,0.000074
15800,0.000073
15900,0.000073
16000,0.000072
16100,0.000072
16200,0.000071
16300,0.000071
16400,0.000071
16500,0.000070
16600,0.000070
16700,0.000069
16800,0.000069
16900,0.000069
17000,0.000068
17100,0.000068
17200,0.000067
17300,0.000067
17400,0.000067
17500,0.000066
17600,0.000066
17700,0.000065
17800,0.000065
17900,0.000065
18000,0.000064
18100,0.000064
18200,0.000064
18300,0.000063
18400,0.000063
18500,0.000063
18600,0.000062
18700,0.000062
18800,0.000062
18900,0.000061
19000,0.000061
19100,0.000061
19200,0.000060
19300,0.000060
19400,0.000060
19500,0.000059
19600,0.000059
19700,0.000059
19800,0.000058
19900,0.000058
20000,0.000058
20100,0.000058
20200,0.000057
20300,0.000057
20400,0.000057
20500,0.000056
20600,0.000056
20700,0.000056
20800,0.000056
20900,0.000055
21000,0.000055
21100,0.000055
21200,0.000055
21300,0.000054
21400,0.000054
21500,0.000054
21600,0.000054
21700,0.000053
21800,0.000053
21900,0.000053
22000,0.000053
22100,0.000052
22200,0.000052
22300,0.000052
22400,0.000052
22500,0.000051
22600,0.000051
22700,0.000051
22800,0.000051
22900,0.000051
23000,0.000050
23100,0.000050
23200,0.000050
23300,0.000050
23400,0.000049
23500,0.000049
23600,0.000049
23700,0.000049
23800,0.000049
23900,0.000048
24000,0.000048
24100,0.000048
24200,0.000048
24300,0.000048
24400,0.000047
24500,0.000047
24600,0.000047
24700,0.000047
24800,0.000047
24900,0.000046
25000,0.000046
25100,0.000046
25200,0.000046
25300,0.000046
25400,0.000046
25500,0.000045
25600,0.000045
25700,0.000045
25800,0.000045
25900,0.000045
26000,0.000045
26100,0.000044
26200,0.000044
26300,0.000044
26400,0.000044
26500,0.000044
26600,0.000044
26700,0.000043
26800,0.000043
26900,0.000043
27000,0.000043
27100,0.000043
27200,0.000043
27300,0.000042
27400,0.000042
27500,0.000042
27600,0.000042
27700,0.000042
27800,0.000042
27900,0.000041
28000,0.000041
28100,0.000041
28200,0.000041
28300,0.000041
28400,0.000041
28500,0.000041
28600,0.000040
28700,0.000040
28800,0.000040
28900,0.000040
29000,0.000040
29100,0.000040
29200,0.000040
29300,0.000040
29400,0.000039
29500,0.000039
29600,0.000039
29700,0.000039
29800,0.000039
29900,0.000039
30000,0.000039
30100,0.000038
30200,0.000038
30300,0.000038
30400,0.000038
30500,0.000038
30600,0.000038
30700,0.000038
30800,0.000038
30900,0.000037
31000,0.000037
31100,0.000037
31200,0.000037
31300,0.000037
31400,0.000037
31500,0.000037
31600,0.000037
31700,0.000037
31800,0.000036
31900,0.000036
32000,0.000036
32100,0.000036
32200,0.000036
32300,0.000036
32400,0.000036
32500,0.000036
32600,0.000036
32700,0.000035
32800,0.000035
32900,0.000035
33000,0.000035
33100,0.000035
33200,0.000035
33300,0.000035
33400,0.000035
33500,0.000035
33600,0.000034
33700,0.000034
33800,0.000034
33900,0.000034
34000,0.000034
34100,0.000034
34200,0.000034
34300,0.000034
34400,0.000034
34500,0.000034
34600,0.000033
34700,0.000033
34800,0.000033
34900,0.000033
35000,0.000033
35100,0.000033
35200,0.000033
35300,0.000033
35400,0.000033
35500,0.000033
35600,0.000033
35700,0.000032
35800,0.000032
35900,0.000032
36000,0.000032
36100,0.000032
36200,0.000032
36300,0.000032
36400,0.000032
36500,0.000032
36600,0.000032
36700,0.000032
36800,0.000031
36900,0.000031
37000,0.000031
37100,0.000031
37200,0.000031
37300,0.000031
37400,0.000031
37500,0.000031
37600,0.000031
37700,0.000031
37800,0.000031
37900,0.000031
38000,0.000030
38100,0.000030
38200,0.000030
38300,0.000030
38400,0.000030
38500,0.000030
38600,0.000030
38700,0.000030
38800,0.000030
38900,0.000030
39000,0.000030
39100,0.000030
39200,0.000030
39300,0.000029
39400,0.000029
39500,0.000029
39600,0.000029
39700,0.000029
39800,0.000029
39900,0.000029
40000,0.000029
40100,0.000029
40200,0.000029
40300,0.000029
40400,0.000029
40500,0.000029
40600,0.000029
40700,0.000028
40800,0.000028
40900,0.000028
41000,0.000028
41100,0.000028
41200,0.000028
41300,0.000028
41400,0.000028
41500,0.000028
41600,0.000028
41700,0.000028
41800,0.000028
41900,0.000028
42000,0.000028
42100,0.000027
42200,0.000027
42300,0.000027
42400,0.000027
42500,0.000027
42600,0.000027
42700,0.000027
42800,0.000027
42900,0.000027
43000,0.000027
43100,0.000027
43200,0.000027
43300,0.000027
43400,0.000027
43500,0.000027
43600,0.000027
43700,0.000026
43800,0.000026
43900,0.000026
44000,0.000026
44100,0.000026
44200,0.000026
44300,0.000026
44400,0.000026
44500,0.000026
44600,0.000026
44700,0.000026
44800,0.000026
44900,0.000026
45000,0.000026
45100,0.000026
45200,0.000026
45300,0.000026
45400,0.000026
45500,0.000025
45600,0.000025
45700,0.000025
45800,0.000025
45900,0.000025
46000,0.000025
46100,0.000025
46200,0.000025
46300,0.000025
46400,0.000025
46500,0.000025
46600,0.000025
46700,0.000025
46800,0.000025
46900,0.000025
47000,0.000025
47100,0.000025
47200,0.000025
47300,0.000024
47400,0.000024
47500,0.000024
47600,0.000024
47700,0.000024
47800,0.000024
47900,0.000024
48000,0.000024
48100,0.000024
48200,0.000024
48300,0.000024
48400,0.000024
48500,0.000024
48600,0.000024
48700,0.000024
48800,0.000024
48900,0.000024
49000,0.000024
49100,0.000024
49200,0.000024
49300,0.000023
49400,0.000023
49500,0.000023
49600,0.000023
49700,0.000023
49800,0.000023
49900,0.000023
50000,0.000023
