episode,mean_reward
500,1.0306
1000,1.1624
1500,1.1760
2000,1.1836
2500,1.1780
3000,1.1752
3500,1.1936
4000,1.1524
4500,1.1692
5000,1.1740
5500,1.1724
6000,1.1644
6500,1.1892
7000,1.1472
7500,1.1300
8000,1.1620
8500,1.1576
9000,1.1328
9500,1.1612
10000,1.1500
10500,1.1788
11000,1.1488
11500,1.1412
12000,1.1664
12500,1.1708
13000,1.1644
13500,1.1552
14000,1.1756
14500,1.1936
15000,1.1624
15500,1.1680
16000,1.1988
16500,1.1516
17000,1.1796
17500,1.1636
18000,1.1340
18500,1.1292
19000,1.1584
19500,1.1540
20000,1.1636
20500,1.1596
21000,1.1780
21500,1.1432
22000,1.1944
22500,1.1432
23000,1.1396
23500,1.1628
24000,1.1516
24500,1.1724
25000,1.1680
25500,1.1556
26000,1.1704
26500,1.1588
27000,1.1560
27500,1.1496
28000,1.1588
28500,1.1588
29000,1.1788
29500,1.1864
30000,1.1632
30500,1.1556
31000,1.1788
31500,1.1604
32000,1.1944
32500,1.1892
33000,1.1524
33500,1.1516
34000,1.1648
34500,1.1600
35000,1.1676
35500,1.1712
36000,1.1632
36500,1.1700
37000,1.1664
37500,1.1508
38000,1.1560
38500,1.1656
39000,1.1536
39500,1.1708
40000,1.1576
