episode,agent,context,formal,casual,enthusiastic,quiet,entropy
500,alice,work,0.2955,0.2910,0.1455,0.2680,0.9759
500,alice,home,0.0548,0.5687,0.3565,0.0200,0.6680
500,alice,concert,0.1208,0.4274,0.3719,0.0798,0.8571
500,alice,default,0.1889,0.3544,0.2757,0.1810,0.9717
500,bob,work,0.5211,0.0053,0.0044,0.4691,0.5385
500,bob,home,0.5245,0.0209,0.0108,0.4438,0.5978
500,bob,concert,0.5046,0.0143,0.0110,0.4701,0.5844
500,bob,default,0.3525,0.2079,0.1381,0.3016,0.9587
500,carol,work,0.0110,0.5587,0.4211,0.0092,0.5643
500,carol,home,0.0091,0.5752,0.4083,0.0074,0.5501
500,carol,concert,0.0085,0.4866,0.4974,0.0075,0.5592
500,carol,default,0.1404,0.3860,0.3447,0.1289,0.9192
500,dave,work,0.0093,0.4704,0.5119,0.0084,0.5636
500,dave,home,0.0085,0.5010,0.4834,0.0071,0.5579
500,dave,concert,0.0078,0.3948,0.5903,0.0072,0.5419
500,dave,default,0.1324,0.3874,0.3567,0.1236,0.9097
1000,alice,work,0.3103,0.3289,0.0885,0.2724,0.9361
1000,alice,home,0.0399,0.6289,0.3209,0.0103,0.6003
1000,alice,concert,0.1181,0.4898,0.3238,0.0683,0.8298
1000,alice,default,0.1669,0.3735,0.3051,0.1545,0.9503
1000,bob,work,0.5201,0.0026,0.0022,0.4750,0.5214
1000,bob,home,0.5370,0.0108,0.0056,0.4466,0.5567
1000,bob,concert,0.5078,0.0069,0.0053,0.4800,0.5474
1000,bob,default,0.4302,0.1091,0.0690,0.3917,0.8340
1000,carol,work,0.0055,0.5891,0.4008,0.0046,0.5275
1000,carol,home,0.0047,0.5929,0.3986,0.0038,0.5215
1000,carol,concert,0.0041,0.5160,0.4762,0.0037,0.5323
1000,carol,default,0.0716,0.4601,0.4037,0.0646,0.7856
1000,dave,work,0.0046,0.4027,0.5885,0.0042,0.5238
1000,dave,home,0.0044,0.4464,0.5455,0.0037,0.5303
1000,dave,concert,0.0038,0.3139,0.6788,0.0035,0.4814
1000,dave,default,0.0662,0.4547,0.4172,0.0618,0.7754
1500,alice,work,0.3158,0.3550,0.0599,0.2693,0.9043
1500,alice,home,0.0337,0.6938,0.2657,0.0068,0.5438
1500,alice,concert,0.1201,0.5584,0.2600,0.0616,0.7947
1500,alice,default,0.1458,0.3968,0.3259,0.1315,0.9231
1500,bob,work,0.5166,0.0018,0.0015,0.4801,0.5154
1500,bob,home,0.5419,0.0071,0.0037,0.4473,0.5392
1500,bob,concert,0.5057,0.0046,0.0035,0.4861,0.5340
1500,bob,default,0.4575,0.0727,0.0460,0.4238,0.7602
1500,carol,work,0.0037,0.6288,0.3644,0.0031,0.5036
1500,carol,home,0.0031,0.6085,0.3859,0.0025,0.5068
1500,carol,concert,0.0028,0.5437,0.4512,0.0024,0.5203
1500,carol,default,0.0477,0.4869,0.4223,0.0431,0.7178
